date,YVR (ACTUALS),YVR (NORMALS),YVR (DIFF)
2010-01,182.8,168.4,14.4
2010-02,102.2,104.6,-2.4
2010-03,108.2,113.9,-5.7
2010-04,88,88.5,-0.5
2010-05,54.2,65,-10.8
2010-06,48.4,53.8,-5.4
2010-07,0.6,35.6,-35.0
2010-08,69.6,36.7,32.9
2010-09,166.4,50.9,115.5
2010-10,76.2,120.8,-44.6
2010-11,143,188.9,-45.9
2010-12,167.4,161.9,5.5
2011-01,186.3,168.4,17.9
2011-02,89.4,104.6,-15.2
2011-03,152,113.9,38.1
2011-04,95.6,88.5,7.1
2011-05,93.8,65,28.8
2011-06,41,53.8,-12.8
2011-07,37.6,35.6,2.0
2011-08,19.6,36.7,-17.1
2011-09,69.6,50.9,18.7
2011-10,73.6,120.8,-47.2
2011-11,123.4,188.9,-65.5
2011-12,86.6,161.9,-75.3
2012-01,135.6,168.4,-32.8
2012-02,133.6,104.6,29.0
2012-03,111.6,113.9,-2.3
2012-04,93.2,88.5,4.7
2012-05,42.6,65,-22.4
2012-06,76.8,53.8,23.0
2012-07,27.8,35.6,-7.8
2012-08,2.9,36.7,-33.8
2012-09,5,50.9,-45.9
2012-10,197,120.8,76.2
2012-11,162.8,188.9,-26.1
2012-12,222.4,161.9,60.5
2013-01,100.4,168.4,-68.0
2013-02,74.4,104.6,-30.2
2013-03,108,113.9,-5.9
2013-04,115.8,88.5,27.3
2013-05,66,65,1
2013-06,44.6,53.8,-9.2
2013-07,0,35.6,-35.6
2013-08,57,36.7,20.3
2013-09,130.6,50.9,79.7
2013-10,37.4,120.8,-83.4
2013-11,123.2,188.9,-65.7
2013-12,70,161.9,-91.9
2014-01,142.2,168.4,-26.2
2014-02,141.8,104.6,37.2
2014-03,160,113.9,46.1
2014-04,82,88.5,-6.5
2014-05,71.4,65,6.40000000000001
2014-06,36.8,53.8,-17.0
2014-07,16.4,35.6,-19.2
2014-08,16.6,36.7,-20.1
2014-09,61.2,50.9,10.3
2014-10,183.8,120.8,63.0
2014-11,180.8,188.9,-8.1
2014-12,167.6,161.9,5.7
