station_name,lat,lng,elevation,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
ABBOTSFORD A,49.03,-122.36,59.10,199.00,129.40,120.20,93.90,149.60,50.60,1.20,58.90,192.30,108.60,159.60,231.70,328.20,87.70,150.80,164.40,135.20,49.10,75.20,16.10,91.00,107.00,165.70,92.10,180.90,152.80,206.20,141.00,71.30,138.40,52.70,3.80,6.60,261.80,160.20,161.20,135.70,102.80,214.90,144.30,103.30,81.00,3.80,25.70,122.50,63.10,217.50,118.00,137.90,100.30,283.10,121.60,123.20,42.20,35.10,7.60,97.70,230.80,232.50,214.20
ABBOTSFORD A NORMALS,49.03,-122.36,59.10,211.70,132.30,149.30,117.80,99.80,74.80,43.20,45.90,75.50,152.70,248.20,186.60,211.70,132.30,149.30,117.80,99.80,74.80,43.20,45.90,75.50,152.70,248.20,186.60,211.70,132.30,149.30,117.80,99.80,74.80,43.20,45.90,75.50,152.70,248.20,186.60,211.70,132.30,149.30,117.80,99.80,74.80,43.20,45.90,75.50,152.70,248.20,186.60,211.70,132.30,149.30,117.80,99.80,74.80,43.20,45.90,75.50,152.70,248.20,186.60
ADDENBROKE ISLAND,51.60,-127.86,21.30,291.30,133.00,244.40,210.50,97.20,117.40,24.20,103.20,455.00,606.00,355.00,401.70,613.60,395.30,213.40,228.00,125.40,136.00,175.10,191.80,474.10,394.40,489.60,604.40,706.40,164.20,406.30,177.40,167.70,185.20,49.50,101.80,135.20,281.60,325.40,403.00,255.00,434.60,282.20,221.40,79.90,163.40,14.20,146.60,243.00,209.20,407.60,581.40,299.60,214.00,367.80,239.70,159.00,156.80,129.40,79.20,114.40,575.40,481.80,351.20
ADDENBROKE ISLAND NORMALS,51.60,-127.86,21.30,405.70,266.10,263.20,236.10,162.40,158.00,108.70,138.20,228.10,432.00,496.40,367.40,405.70,266.10,263.20,236.10,162.40,158.00,108.70,138.20,228.10,432.00,496.40,367.40,405.70,266.10,263.20,236.10,162.40,158.00,108.70,138.20,228.10,432.00,496.40,367.40,405.70,266.10,263.20,236.10,162.40,158.00,108.70,138.20,228.10,432.00,496.40,367.40,405.70,266.10,263.20,236.10,162.40,158.00,108.70,138.20,228.10,432.00,496.40,367.40
ATLIN,59.57,-133.70,673.60,55.90,9.50,14.40,1.00,13.10,20.60,10.60,47.50,70.40,56.10,39.00,43.20,42.30,21.40,4.70,0.50,31.70,15.90,7.40,68.30,67.40,25.20,50.60,24.10,56.20,16.20,20.90,10.80,25.00,30.40,19.80,41.20,48.40,20.30,58.40,34.40,25.00,8.70,7.40,14.90,16.90,29.80,37.80,25.70,30.10,26.70,43.60,73.50,16.50,3.90,19.30,20.80,27.60,37.00,60.30,23.50,64.90,42.30,19.60,12.00
ATLIN NORMALS,59.57,-133.70,673.60,45.60,25.40,17.40,9.40,18.20,29.70,32.80,34.20,42.00,37.40,36.10,36.40,45.60,25.40,17.40,9.40,18.20,29.70,32.80,34.20,42.00,37.40,36.10,36.40,45.60,25.40,17.40,9.40,18.20,29.70,32.80,34.20,42.00,37.40,36.10,36.40,45.60,25.40,17.40,9.40,18.20,29.70,32.80,34.20,42.00,37.40,36.10,36.40,45.60,25.40,17.40,9.40,18.20,29.70,32.80,34.20,42.00,37.40,36.10,36.40
BLUE RIVER A,52.13,-119.29,690.40,89.80,33.90,54.20,38.00,55.00,108.80,41.00,63.10,102.60,84.80,94.80,48.80,163.20,82.80,70.90,41.00,85.00,112.30,170.40,36.90,62.30,146.80,146.80,65.70,108.80,45.70,111.20,122.80,50.30,213.20,132.20,44.00,25.80,147.50,95.20,139.70,67.60,71.00,73.20,79.60,62.60,71.20,42.80,119.80,80.60,66.50,71.40,116.30,124.20,65.20,103.60,50.80,125.00,74.00,52.00,91.40,112.80,149.00,180.20,106.40
BLUE RIVER A NORMALS,52.13,-119.29,690.40,105.40,53.80,64.70,58.70,75.80,98.80,107.30,82.40,71.30,102.50,115.20,88.40,105.40,53.80,64.70,58.70,75.80,98.80,107.30,82.40,71.30,102.50,115.20,88.40,105.40,53.80,64.70,58.70,75.80,98.80,107.30,82.40,71.30,102.50,115.20,88.40,105.40,53.80,64.70,58.70,75.80,98.80,107.30,82.40,71.30,102.50,115.20,88.40,105.40,53.80,64.70,58.70,75.80,98.80,107.30,82.40,71.30,102.50,115.20,88.40
BOAT BLUFF,52.64,-128.52,10.70,555.80,330.20,596.80,301.80,145.10,230.50,9.70,186.80,587.20,943.60,617.00,555.20,717.20,631.20,519.80,292.00,238.60,179.20,323.30,299.30,832.20,655.20,937.60,837.80,1029.60,323.20,554.60,319.80,339.60,373.60,75.80,134.20,274.00,357.20,643.40,603.00,415.20,677.20,267.80,365.80,241.20,141.20,32.20,212.80,459.60,282.80,472.00,885.40,367.60,313.60,404.40,597.40,291.80,256.20,208.20,134.40,148.80,943.00,550.40,532.60
BOAT BLUFF NORMALS,52.64,-128.52,10.70,601.90,428.50,428.40,389.10,257.70,226.20,179.80,231.40,366.00,631.80,677.80,628.10,601.90,428.50,428.40,389.10,257.70,226.20,179.80,231.40,366.00,631.80,677.80,628.10,601.90,428.50,428.40,389.10,257.70,226.20,179.80,231.40,366.00,631.80,677.80,628.10,601.90,428.50,428.40,389.10,257.70,226.20,179.80,231.40,366.00,631.80,677.80,628.10,601.90,428.50,428.40,389.10,257.70,226.20,179.80,231.40,366.00,631.80,677.80,628.10
