"Station Name","BLUE RIVER A"
"Province","BRITISH COLUMBIA"
"Latitude","52.13"
"Longitude","-119.29"
"Elevation","690.40"
"Climate Identifier","1160899"
"WMO Identifier",""
"TC Identifier","YCP"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2011-01-01","2011","01","01","†","-13.0","","-25.5","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"2011-01-02","2011","01","02","†","-8.8","","-15.5","","-12.2","","30.2","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"2011-01-03","2011","01","03","†","-6.9","","-14.1","","-10.5","","28.5","","0.0","","0.0","","1.2","","0.9","","35","","","","",""
"2011-01-04","2011","01","04","†","-4.3","","-8.3","","-6.3","","24.3","","0.0","","0.0","","3.6","","2.1","","36","","","","",""
"2011-01-05","2011","01","05","†","-0.9","","-5.9","","-3.4","","21.4","","0.0","","0.0","","18.7","","17.1","","39","","","","",""
"2011-01-06","2011","01","06","†","0.8","","-3.7","","-1.5","","19.5","","0.0","","0.0","","6.4","","5.0","","57","","","","",""
"2011-01-07","2011","01","07","†","2.1","","-3.4","","-0.7","","18.7","","0.0","","0.5","","4.8","","5.0","","61","","","","",""
"2011-01-08","2011","01","08","†","-2.2","","-5.8","","-4.0","","22.0","","0.0","","0.0","","0.4","","0.2","","63","","","","",""
"2011-01-09","2011","01","09","†","-6.0","","-10.2","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","63","","","","",""
"2011-01-10","2011","01","10","†","-11.1","","-25.7","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"2011-01-11","2011","01","11","†","-9.8","","-21.1","","-15.5","","33.5","","0.0","","0.0","","3.4","","3.2","","62","","","","",""
"2011-01-12","2011","01","12","†","-10.5","","-20.6","","-15.6","","33.6","","0.0","","0.0","","42.1","","19.3","","64","","","","",""
"2011-01-13","2011","01","13","†","-9.5","","-12.4","","-11.0","","29.0","","0.0","","0.0","","26.0","","18.7","","97","","","","",""
"2011-01-14","2011","01","14","†","-10.2","","-14.6","","-12.4","","30.4","","0.0","","0.0","","13.2","","8.6","","110","","","","",""
"2011-01-15","2011","01","15","†","-2.0","","-13.6","","-7.8","","25.8","","0.0","","5.4","","2.0","","7.4","","105","","","","",""
"2011-01-16","2011","01","16","†","0.7","","-7.5","","-3.4","","21.4","","0.0","","12.4","","2.0","","14.4","","98","","","","",""
"2011-01-17","2011","01","17","†","5.7","","-0.1","","2.8","","15.2","","0.0","","0.6","","0.0","","0.6","","95","","","","",""
"2011-01-18","2011","01","18","†","-3.6","","-15.4","","-9.5","","27.5","","0.0","","0.0","","0.2","","0.0","T","82","","","","",""
"2011-01-19","2011","01","19","†","-6.2","","-19.4","","-12.8","","30.8","","0.0","","0.0","","9.0","","7.8","","79","","","","",""
"2011-01-20","2011","01","20","†","-3.6","","-8.7","","-6.2","","24.2","","0.0","","0.0","","10.2","","7.1","","86","","","","",""
"2011-01-21","2011","01","21","†","-2.0","","-6.6","","-4.3","","22.3","","0.0","","0.0","","10.0","","8.2","","96","","","","",""
"2011-01-22","2011","01","22","†","3.1","","-7.1","","-2.0","","20.0","","0.0","","0.0","","0.8","","0.2","","104","","","","",""
"2011-01-23","2011","01","23","†","3.0","","-4.5","","-0.8","","18.8","","0.0","","0.0","","7.6","","6.4","","100","","","","",""
"2011-01-24","2011","01","24","†","-0.3","","-6.0","","-3.2","","21.2","","0.0","","0.0","","11.2","","9.8","","107","","","","",""
"2011-01-25","2011","01","25","†","3.5","","-2.4","","0.6","","17.4","","0.0","","7.8","","0.0","T","7.8","","107","","","","",""
"2011-01-26","2011","01","26","†","1.2","","-0.2","","0.5","","17.5","","0.0","","7.4","","0.0","T","7.4","","102","","","","",""
"2011-01-27","2011","01","27","†","1.0","","-0.9","","0.1","","17.9","","0.0","","0.5","","0.6","","0.8","","93","","","","",""
"2011-01-28","2011","01","28","†","-1.1","","-2.1","","-1.6","","19.6","","0.0","","0.0","","8.7","","5.2","","92","","","","",""
"2011-01-29","2011","01","29","†","-3.4","","-5.8","","-4.6","","22.6","","0.0","","0.0","","0.2","","0.0","T","97","","","","",""
"2011-01-30","2011","01","30","†","-6.6","","-13.6","","-10.1","","28.1","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"2011-01-31","2011","01","31","†","-12.2","","-29.0","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"2011-02-01","2011","02","01","†","-10.2","","-29.7","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","90","","","","",""
"2011-02-02","2011","02","02","†","-8.0","","-24.6","","-16.3","","34.3","","0.0","","0.0","","0.8","","0.6","","90","","","","",""
"2011-02-03","2011","02","03","†","-3.0","","-10.4","","-6.7","","24.7","","0.0","","0.0","","20.2","","19.0","","89","","","","",""
"2011-02-04","2011","02","04","†","0.6","","-5.3","","-2.4","","20.4","","0.0","","0.3","","1.5","","1.6","","105","","","","",""
