"Station Name","CASTLEGAR A"
"Province","BRITISH COLUMBIA"
"Latitude","49.30"
"Longitude","-117.63"
"Elevation","495.60"
"Climate Identifier","1141455"
"WMO Identifier",""
"TC Identifier","YCG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","2.0","","-2.2","","-0.1","","18.1","","0.0","","3.2","","5.2","","8.4","","16","","","","",""
"2010-01-02","2010","01","02","†","3.4","","0.2","","1.8","","16.2","","0.0","","1.6","","0.0","","1.6","","16","","","","",""
"2010-01-03","2010","01","03","†","3.3","","1.1","","2.2","","15.8","","0.0","","0.4","","3.4","","3.8","","9","","","","",""
"2010-01-04","2010","01","04","†","0.9","","0.0","","0.5","","17.5","","0.0","","1.0","","8.2","","9.2","","5","","","","",""
"2010-01-05","2010","01","05","†","3.1","","-0.1","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"2010-01-06","2010","01","06","†","-0.3","","-3.9","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2010-01-07","2010","01","07","†","-3.7","","-7.3","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2010-01-08","2010","01","08","†","-2.3","","-10.5","","-6.4","","24.4","","0.0","","0.0","","0.2","","0.2","","8","","","","",""
"2010-01-09","2010","01","09","†","-0.7","","-4.1","","-2.4","","20.4","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2010-01-10","2010","01","10","†","1.1","","-1.7","","-0.3","","18.3","","0.0","","3.2","","0.0","T","3.2","","8","","","","",""
