"Station Name","CHATHAM POINT"
"Province","BRITISH COLUMBIA"
"Latitude","50.33"
"Longitude","-125.45"
"Elevation","22.90"
"Climate Identifier","1021480"
"WMO Identifier",""
"TC Identifier","WFM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","8.5","","2.5","","5.5","","12.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2012-01-02","2012","01","02","†","9.5","","5.0","","7.3","","10.7","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2012-01-03","2012","01","03","†","9.5","","7.0","","8.3","","9.7","","0.0","","73.8","","0.0","","73.8","","0","","","","",""
"2012-01-04","2012","01","04","†","9.5","","7.5","","8.5","","9.5","","0.0","","16.6","","0.0","","16.6","","0","","","","",""
"2012-01-05","2012","01","05","†","7.0","","4.5","","5.8","","12.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2012-01-06","2012","01","06","†","5.0","","3.0","","4.0","","14.0","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"2012-01-07","2012","01","07","†","7.0","","3.0","","5.0","","13.0","","0.0","","23.0","","0.0","","23.0","","0","","","","",""
"2012-01-08","2012","01","08","†","9.5","","4.5","","7.0","","11.0","","0.0","","19.2","","0.0","","19.2","","0","","","","",""
"2012-01-09","2012","01","09","†","9.0","","4.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-10","2012","01","10","†","4.0","","2.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-11","2012","01","11","†","4.0","","0.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-12","2012","01","12","†","4.0","","0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-13","2012","01","13","†","3.0","","1.0","","2.0","","16.0","","0.0","","3.2","","0.4","","3.6","","0","","","","",""
"2012-01-14","2012","01","14","†","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"2012-01-15","2012","01","15","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2012-01-16","2012","01","16","†","0.0","","-2.0","","-1.0","","19.0","","0.0","","0.0","","4.0","","4.0","","0","","","","",""
"2012-01-17","2012","01","17","†","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"2012-01-18","2012","01","18","†","-5.5","","-9.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2012-01-19","2012","01","19","†","-1.0","","-8.0","","-4.5","","22.5","","0.0","","0.0","","0.4","","0.4","","2","","","","",""
"2012-01-20","2012","01","20","†","3.0","","-3.5","","-0.3","","18.3","","0.0","","15.0","","4.4","","19.4","","2","","","","",""
"2012-01-21","2012","01","21","†","4.5","","1.5","","3.0","","15.0","","0.0","","0.2","","0.0","","0.2","","2","","","","",""
"2012-01-22","2012","01","22","†","6.5","","1.0","","3.8","","14.2","","0.0","","20.4","","0.0","","20.4","","2","","","","",""
"2012-01-23","2012","01","23","†","7.0","","3.0","","5.0","","13.0","","0.0","","17.6","","0.0","","17.6","","0","","","","",""
"2012-01-24","2012","01","24","†","7.5","","3.5","","5.5","","12.5","","0.0","","30.6","","0.0","","30.6","","0","","","","",""
"2012-01-25","2012","01","25","†","6.5","","2.5","","4.5","","13.5","","0.0","","8.0","","0.0","","8.0","","0","","","","",""
"2012-01-26","2012","01","26","†","4.5","","1.0","","2.8","","15.2","","0.0","","0.4","","0.0","T","0.4","","0","","","","",""
"2012-01-27","2012","01","27","†","5.0","","1.5","","3.3","","14.7","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"2012-01-28","2012","01","28","†","6.5","","2.0","","4.3","","13.7","","0.0","","23.4","","0.0","","23.4","","0","","","","",""
"2012-01-29","2012","01","29","†","7.5","","4.0","","5.8","","12.2","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"2012-01-30","2012","01","30","†","7.5","","4.0","","5.8","","12.2","","0.0","","9.2","","0.0","","9.2","","0","","","","",""
"2012-01-31","2012","01","31","†","7.5","","5.5","","6.5","","11.5","","0.0","","20.8","","0.0","","20.8","","0","","","","",""
"2012-02-01","2012","02","01","†","7.0","","3.5","","5.3","","12.7","","0.0","","4.2","","0.0","","4.2","","0","","","","",""
"2012-02-02","2012","02","02","†","6.5","","4.0","","5.3","","12.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2012-02-03","2012","02","03","†","4.5","","2.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-04","2012","02","04","†","4.5","","2.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-05","2012","02","05","†","6.5","","2.5","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-06","2012","02","06","†","6.5","","1.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-07","2012","02","07","†","7.0","","1.0","","4.0","","14.0","","0.0","","2.6","","0.0","","2.6","","0","","","","",""
