"Station Name","COWICHAN LAKE FORESTRY"
"Province","BRITISH COLUMBIA"
"Latitude","48.82"
"Longitude","-124.13"
"Elevation","176.80"
"Climate Identifier","1012040"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-02","2010","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-03","2010","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-04","2010","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-05","2010","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-06","2010","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-07","2010","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-08","2010","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-09","2010","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-10","2010","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-11","2010","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-12","2010","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-13","2010","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-14","2010","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-15","2010","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-16","2010","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-17","2010","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-18","2010","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-19","2010","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-20","2010","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-21","2010","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-22","2010","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-23","2010","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-24","2010","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-25","2010","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-26","2010","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-27","2010","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-28","2010","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-29","2010","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-30","2010","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"2010-01-31","2010","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"2010-02-01","2010","02","01","†","7.0","","5.0","","6.0","","12.0","","0.0","","6.8","","0.0","","6.8","","0","","","","",""
"2010-02-02","2010","02","02","†","8.0","","5.5","","6.8","","11.2","","0.0","","0.2","","0.0","","0.2","","","M","","","",""
"2010-02-03","2010","02","03","†","7.0","","4.5","","5.8","","12.2","","0.0","","4.0","","0.0","","4.0","","","M","","","",""
"2010-02-04","2010","02","04","†","9.0","","5.0","","7.0","","11.0","","0.0","","8.0","","0.0","","8.0","","","M","","","",""
"2010-02-05","2010","02","05","†","9.5","","6.0","","7.8","","10.2","","0.0","","0.4","","0.0","","0.4","","","M","","","",""
"2010-02-06","2010","02","06","†","","","","","","","","","","","1.4","","0.0","","1.4","","","M","","","",""
"2010-02-07","2010","02","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-08","2010","02","08","†","9.0","","2.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-09","2010","02","09","†","5.0","","-0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-10","2010","02","10","†","","","","","","","","","","","6.8","","0.0","","6.8","","","M","","","",""
"2010-02-11","2010","02","11","†","9.0","","4.5","","6.8","","11.2","","0.0","","29.6","","0.0","","29.6","","","M","","","",""
"2010-02-12","2010","02","12","†","7.0","","3.5","","5.3","","12.7","","0.0","","30.0","","0.0","","30.0","","","M","","","",""
"2010-02-13","2010","02","13","†","","","","","","","","","","","38.0","","0.0","","38.0","","","M","","","",""
"2010-02-14","2010","02","14","†","10.0","","5.5","","7.8","","10.2","","0.0","","3.4","","0.0","","3.4","","","M","","","",""
"2010-02-15","2010","02","15","†","7.5","","1.0","","4.3","","13.7","","0.0","","19.0","","0.0","","19.0","","","M","","","",""
"2010-02-16","2010","02","16","†","","","","","","","","","","","0.4","","0.0","","0.4","","","M","","","",""
"2010-02-17","2010","02","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-18","2010","02","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-19","2010","02","19","†","13.0","","-2.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-20","2010","02","20","†","13.5","","-2.5","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-21","2010","02","21","†","12.5","","-2.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-02-22","2010","02","22","†","11.5","","-2.5","","4.5","","13.5","","0.0","","0.0","T","0.0","","0.0","T","","M","","","",""
"2010-02-23","2010","02","23","†","5.0","","1.0","","3.0","","15.0","","0.0","","14.6","","0.0","","14.6","","","M","","","",""
"2010-02-24","2010","02","24","†","","","","","","","","","","","19.6","","0.0","","19.6","","","M","","","",""
"2010-02-25","2010","02","25","†","","","","","","","","","","","19.9","","0.0","","19.9","","","M","","","",""
"2010-02-26","2010","02","26","†","8.0","","5.5","","6.8","","11.2","","0.0","","17.3","","0.0","","17.3","","","M","","","",""
"2010-02-27","2010","02","27","†","","","","","","","","","","","3.6","","0.0","","3.6","","","M","","","",""
"2010-02-28","2010","02","28","†","10.5","","5.0","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-03-01","2010","03","01","†","","","","","","","","","","","5.9","","0.0","","5.9","","0","","","","",""
"2010-03-02","2010","03","02","†","10.0","","6.0","","8.0","","10.0","","0.0","","2.0","","0.0","","2.0","","","M","","","",""
"2010-03-03","2010","03","03","†","14.0","","2.5","","8.3","","9.7","","0.0","","0.8","","0.0","","0.8","","","M","","","",""
"2010-03-04","2010","03","04","†","10.0","","4.5","","7.3","","10.7","","0.0","","0.4","","0.0","","0.4","","","M","","","",""
"2010-03-05","2010","03","05","†","13.5","","1.5","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-06","2010","03","06","†","14.0","","-1.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-07","2010","03","07","†","","","","","","","","","","","6.6","","0.0","","6.6","","","M","","","",""
"2010-03-08","2010","03","08","†","8.5","","-2.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-09","2010","03","09","†","","","","","","","","","","","3.2","","0.0","","3.2","","","M","","","",""
"2010-03-10","2010","03","10","†","","","","","","","","","","","20.0","","0.0","","20.0","","","M","","","",""
"2010-03-11","2010","03","11","†","","","","","","","","","","","31.0","","0.0","","31.0","","3","","","","",""
"2010-03-12","2010","03","12","†","6.8","","0.5","","3.7","","14.3","","0.0","","28.0","","0.0","","28.0","","0","T","","","",""
"2010-03-13","2010","03","13","†","6.5","","0.0","","3.3","","14.7","","0.0","","7.2","","0.0","","7.2","","0","T","","","",""
"2010-03-14","2010","03","14","†","5.5","","2.5","","4.0","","14.0","","0.0","","18.1","","0.0","","18.1","","","M","","","",""
"2010-03-15","2010","03","15","†","10.5","","2.5","","6.5","","11.5","","0.0","","3.0","","0.0","","3.0","","","M","","","",""
"2010-03-16","2010","03","16","†","","","","","","","","","","","23.0","","0.0","","23.0","","","M","","","",""
"2010-03-17","2010","03","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-18","2010","03","18","†","11.5","","-2.0","","4.8","","13.2","","0.0","","0.4","","0.0","","0.4","","","M","","","",""
"2010-03-19","2010","03","19","†","14.5","","-1.5","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-20","2010","03","20","†","13.5","","-1.5","","6.0","","12.0","","0.0","","2.2","","0.0","","2.2","","","M","","","",""
"2010-03-21","2010","03","21","†","8.5","","1.0","","4.8","","13.2","","0.0","","6.4","","0.0","","6.4","","","M","","","",""
"2010-03-22","2010","03","22","†","","","","","","","","","","","0.0","T","0.0","","0.0","T","","M","","","",""
"2010-03-23","2010","03","23","†","12.5","","3.0","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"2010-03-24","2010","03","24","†","16.0","","0.5","","8.3","","9.7","","0.0","","3.0","","0.0","","3.0","","","M","","","",""
"2010-03-25","2010","03","25","†","16.0","","6.5","","11.3","","6.7","","0.0","","10.4","","0.0","","10.4","","","M","","","",""
"2010-03-26","2010","03","26","†","10.5","","4.0","","7.3","","10.7","","0.0","","8.3","","0.0","","8.3","","","M","","","",""
"2010-03-27","2010","03","27","†","12.0","","4.0","","8.0","","10.0","","0.0","","14.4","","0.0","","14.4","","","M","","","",""
"2010-03-28","2010","03","28","†","9.0","","4.0","","6.5","","11.5","","0.0","","51.9","","0.0","","51.9","","","M","","","",""
"2010-03-29","2010","03","29","†","6.0","","4.0","","5.0","","13.0","","0.0","","32.6","","0.0","","32.6","","","M","","","",""
"2010-03-30","2010","03","30","†","","","","","","","","","","","4.3","","0.0","","4.3","","","M","","","",""
"2010-03-31","2010","03","31","†","11.0","","0.0","","5.5","","12.5","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-04-01","2010","04","01","†","8.0","","1.0","","4.5","","13.5","","0.0","","38.2","","0.0","","38.2","","0","","","","",""
"2010-04-02","2010","04","02","†","","","","","","","","","","","51.0","","0.0","","51.0","","","M","","","",""
"2010-04-03","2010","04","03","†","5.0","","1.0","","3.0","","15.0","","0.0","","6.8","","0.0","","6.8","","","M","","","",""
