"Station Name","CRANBROOK A"
"Province","BRITISH COLUMBIA"
"Latitude","49.61"
"Longitude","-115.78"
"Elevation","940.00"
"Climate Identifier","1152102"
"WMO Identifier","71880"
"TC Identifier","YXC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","","-3.9","","-9.6","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-01-02","2012","01","02","","-1.4","","-11.8","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-01-03","2012","01","03","","5.1","","-5.6","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-01-04","2012","01","04","","9.2","","2.8","","6.0","","12.0","","0.0","","0.4","","0.0","","0.4","","0","","14","E","35","E"
"2012-01-05","2012","01","05","","8.7","","-2.1","","3.3","","14.7","","0.0","","0.2","","0.6","","0.8","","0","","","","<31",""
"2012-01-06","2012","01","06","","2.0","","-5.2","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2012-01-07","2012","01","07","","0.6","","-8.9","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2012-01-08","2012","01","08","","3.9","","-2.7","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2012-01-09","2012","01","09","","7.4","","2.9","","5.2","","12.8","","0.0","","0.0","","0.0","","0.0","","0","","14","E","37","E"
"2012-01-10","2012","01","10","","3.9","","-6.0","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","0","","35","E","44","E"
"2012-01-11","2012","01","11","","-4.6","","-12.1","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2012-01-12","2012","01","12","","-6.8","","-14.2","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2012-01-13","2012","01","13","","-4.2","","-15.1","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2012-01-14","2012","01","14","","1.5","","-7.9","","-3.2","","21.2","","0.0","","0.0","","2.0","","2.0","","1","","15","E","33","E"
"2012-01-15","2012","01","15","","-2.8","","-12.6","","-7.7","","25.7","","0.0","","0.0","","0.6","","0.6","","1","","","","<31",""
"2012-01-16","2012","01","16","","-5.7","","-17.0","","-11.4","","29.4","","0.0","","0.0","","0.2","","0.2","","2","","","","<31",""
"2012-01-17","2012","01","17","","-7.2","","-19.0","","-13.1","","31.1","","0.0","","0.0","","3.4","","3.0","","2","","","","<31",""
"2012-01-18","2012","01","18","","-17.0","","-24.8","","-20.9","","38.9","","0.0","","0.0","","1.4","","1.2","","4","","","","<31",""
"2012-01-19","2012","01","19","","-16.3","","-20.2","","-18.3","","36.3","","0.0","","0.0","","0.8","","0.2","","6","","","","<31",""
"2012-01-20","2012","01","20","","-11.8","","-16.7","","-14.3","","32.3","","0.0","","0.0","","2.6","","2.0","","6","","","","<31",""
"2012-01-21","2012","01","21","","2.8","","-12.3","","-4.8","","22.8","","0.0","","0.0","","9.2","","6.2","","12","","","","<31",""
"2012-01-22","2012","01","22","","0.0","","-8.9","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","16","","","","<31",""
"2012-01-23","2012","01","23","","3.0","","-11.8","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"2012-01-24","2012","01","24","","-1.0","","-11.2","","-6.1","","24.1","","0.0","","0.0","","5.2","","5.0","","12","","12","E","32","E"
"2012-01-25","2012","01","25","","5.1","","-5.6","","-0.3","","18.3","","0.0","","0.0","","0.4","","0.4","","10","","22","E","50","E"
"2012-01-26","2012","01","26","","4.1","","-3.6","","0.3","","17.7","","0.0","","0.0","","0.8","","0.8","","8","","24","E","35","E"
"2012-01-27","2012","01","27","","0.4","","-8.3","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"2012-01-28","2012","01","28","","-1.0","","-11.4","","-6.2","","24.2","","0.0","","0.0","","0.4","","0.2","","8","","15","E","33","E"
"2012-01-29","2012","01","29","","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","T","0.4","","0.4","","7","","14","E","44","E"
"2012-01-30","2012","01","30","","6.9","","-3.1","","1.9","","16.1","","0.0","","0.0","T","0.0","","0.0","T","2","","","","<31",""
"2012-01-31","2012","01","31","","6.5","","-0.6","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-02-01","2012","02","01","","2.8","","-2.1","","0.4","","17.6","","0.0","","0.0","","0.2","","0.2","","1","","","","<31",""
"2012-02-02","2012","02","02","","4.4","","-3.7","","0.4","","17.6","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"2012-02-03","2012","02","03","","2.2","","-7.0","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-02-04","2012","02","04","","0.8","","-11.6","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-02-05","2012","02","05","","-4.3","","-11.6","","-8.0","","26.0","","0.0","","0.2","","0.2","","0.4","","1","","","","<31",""
"2012-02-06","2012","02","06","","-2.7","","-9.5","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-02-07","2012","02","07","","0.3","","-13.4","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"2012-02-08","2012","02","08","","-5.3","","-15.6","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"2012-02-09","2012","02","09","","-1.5","","-8.1","","-4.8","","22.8","","0.0","","0.0","","0.4","","0.2","","1","","","","<31",""
"2012-02-10","2012","02","10","","0.7","","-3.6","","-1.5","","19.5","","0.0","","0.0","","0.2","","0.2","","1","","","","<31",""
"2012-02-11","2012","02","11","","2.0","","-2.9","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2012-02-12","2012","02","12","","3.1","","-1.9","","0.6","","17.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2012-02-13","2012","02","13","","4.4","","-1.7","","1.4","","16.6","","0.0","","0.8","","1.0","","1.8","","0","T","36","E","33","E"
"2012-02-14","2012","02","14","","1.9","","-7.6","","-2.9","","20.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2012-02-15","2012","02","15","","1.1","","-12.7","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
