"Station Name","DARFIELD"
"Province","BRITISH COLUMBIA"
"Latitude","51.30"
"Longitude","-120.18"
"Elevation","412.00"
"Climate Identifier","1162265"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","†","0.0","","-2.0","","-1.0","","19.0","","0.0","","0.0","","2.0","","2.0","","30","","","","",""
"2014-01-02","2014","01","02","†","1.0","","-2.0","","-0.5","","18.5","","0.0","","3.0","","0.0","","3.0","","31","","","","",""
"2014-01-03","2014","01","03","†","-1.5","","-1.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"2014-01-04","2014","01","04","†","-3.0","","-7.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-05","2014","01","05","†","-12.5","","-14.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-06","2014","01","06","†","-10.0","","-16.5","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2014-01-07","2014","01","07","†","-5.5","","-16.5","","-11.0","","29.0","","0.0","","0.0","","0.5","","0.5","","27","","","","",""
"2014-01-08","2014","01","08","†","-2.0","","-11.0","","-6.5","","24.5","","0.0","","0.0","","5.5","","5.5","","26","","","","",""
"2014-01-09","2014","01","09","†","1.5","","-5.5","","-2.0","","20.0","","0.0","","0.0","","2.0","","2.0","","31","","","","",""
"2014-01-10","2014","01","10","†","4.0","","-3.0","","0.5","","17.5","","0.0","","3.0","","0.0","","3.0","","30","","","","",""
"2014-01-11","2014","01","11","†","6.0","","-1.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"2014-01-12","2014","01","12","†","2.0","","-3.5","","-0.8","","18.8","","0.0","","0.0","","3.0","","3.0","","28","","","","",""
"2014-01-13","2014","01","13","†","3.5","","-3.5","","0.0","","18.0","","0.0","","1.6","","0.0","","1.6","","31","","","","",""
"2014-01-14","2014","01","14","†","-1.0","","-2.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"2014-01-15","2014","01","15","†","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-16","2014","01","16","†","-0.5","","-5.0","","-2.8","","20.8","","0.0","","0.0","","0.5","","0.5","","28","","","","",""
"2014-01-17","2014","01","17","†","-1.0","","-2.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-18","2014","01","18","†","-2.0","","-4.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-19","2014","01","19","†","-1.0","","-5.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-20","2014","01","20","†","-2.0","","-4.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-01-21","2014","01","21","†","-2.0","","-5.0","","-3.5","","21.5","","0.0","","0.0","","1.0","","1.0","","27","","","","",""
"2014-01-22","2014","01","22","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2014-01-23","2014","01","23","†","2.0","","-0.5","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"2014-01-24","2014","01","24","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"2014-01-25","2014","01","25","†","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2014-01-26","2014","01","26","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2014-01-27","2014","01","27","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2014-01-28","2014","01","28","†","-2.0","","-2.5","","-2.3","","20.3","","0.0","","0.0","","1.5","","1.5","","26","","","","",""
"2014-01-29","2014","01","29","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","5.0","","5.0","","27","","","","",""
"2014-01-30","2014","01","30","†","-2.0","","-3.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"2014-01-31","2014","01","31","†","-6.5","","-17.0","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"2014-02-01","2014","02","01","†","-7.0","","-20.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"2014-02-02","2014","02","02","†","-6.0","","-18.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"2014-02-03","2014","02","03","†","-8.0","","-12.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"2014-02-04","2014","02","04","†","-11.0","","-14.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2014-02-05","2014","02","05","†","-11.0","","-23.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
