"Station Name","ESTEVAN POINT"
"Province","BRITISH COLUMBIA"
"Latitude","49.38"
"Longitude","-126.54"
"Elevation","5.80"
"Climate Identifier","1032730"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","7.0","","2.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-02","2013","01","02","†","8.0","","3.0","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-03","2013","01","03","†","8.5","","1.0","","4.8","","13.2","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"2013-01-04","2013","01","04","†","8.5","","5.5","","7.0","","11.0","","0.0","","4.6","","0.0","","4.6","","0","","","","",""
"2013-01-05","2013","01","05","†","9.0","","3.5","","6.3","","11.7","","0.0","","20.0","","0.0","","20.0","","0","","","","",""
"2013-01-06","2013","01","06","†","8.5","","5.0","","6.8","","11.2","","0.0","","38.0","","0.0","","38.0","","0","","","","",""
"2013-01-07","2013","01","07","†","9.0","","6.5","","7.8","","10.2","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"2013-01-08","2013","01","08","†","9.0","","4.0","","6.5","","11.5","","0.0","","22.4","","0.0","","22.4","","0","","","","",""
"2013-01-09","2013","01","09","†","7.5","","4.5","","6.0","","12.0","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"2013-01-10","2013","01","10","†","6.0","","0.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-11","2013","01","11","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-12","2013","01","12","†","5.5","","0.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-13","2013","01","13","†","4.5","","-1.0","","1.8","","16.2","","0.0","","2.6","","0.0","","2.6","","0","","","","",""
"2013-01-14","2013","01","14","†","5.5","","3.0","","4.3","","13.7","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2013-01-15","2013","01","15","†","6.5","","4.0","","5.3","","12.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2013-01-16","2013","01","16","†","6.0","","3.0","","4.5","","13.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2013-01-17","2013","01","17","†","7.0","","2.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-18","2013","01","18","†","7.0","","3.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-19","2013","01","19","†","7.0","","0.5","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-20","2013","01","20","†","8.0","","0.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-21","2013","01","21","†","8.0","","0.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-22","2013","01","22","†","10.5","","5.0","","7.8","","10.2","","0.0","","13.6","","0.0","","13.6","","0","","","","",""
"2013-01-23","2013","01","23","†","7.5","","6.0","","6.8","","11.2","","0.0","","16.2","","0.0","","16.2","","0","","","","",""
"2013-01-24","2013","01","24","†","6.5","","2.5","","4.5","","13.5","","0.0","","20.2","","0.0","","20.2","","0","","","","",""
"2013-01-25","2013","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-26","2013","01","26","†","7.5","","3.0","","5.3","","12.7","","0.0","","4.6","","0.0","","4.6","","0","","","","",""
"2013-01-27","2013","01","27","†","6.0","","3.0","","4.5","","13.5","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"2013-01-28","2013","01","28","†","6.5","","3.5","","5.0","","13.0","","0.0","","11.0","","0.0","","11.0","","0","","","","",""
"2013-01-29","2013","01","29","†","8.0","","4.5","","6.3","","11.7","","0.0","","11.4","","0.0","","11.4","","0","","","","",""
"2013-01-30","2013","01","30","†","8.0","","6.0","","7.0","","11.0","","0.0","","15.4","","0.0","","15.4","","0","","","","",""
"2013-01-31","2013","01","31","†","8.0","","6.5","","7.3","","10.7","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2013-02-01","2013","02","01","†","8.0","","5.0","","6.5","","11.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2013-02-02","2013","02","02","†","8.0","","2.0","","5.0","","13.0","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2013-02-03","2013","02","03","†","8.0","","6.0","","7.0","","11.0","","0.0","","28.2","","0.0","","28.2","","0","","","","",""
"2013-02-04","2013","02","04","†","8.0","","7.0","","7.5","","10.5","","0.0","","30.2","","0.0","","30.2","","0","","","","",""
"2013-02-05","2013","02","05","†","8.5","","6.5","","7.5","","10.5","","0.0","","10.0","","0.0","","10.0","","0","","","","",""
"2013-02-06","2013","02","06","†","7.0","","5.5","","6.3","","11.7","","0.0","","56.4","","0.0","","56.4","","0","","","","",""
"2013-02-07","2013","02","07","†","7.5","","2.0","","4.8","","13.2","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"2013-02-08","2013","02","08","†","6.5","","0.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-02-09","2013","02","09","†","8.5","","4.0","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-02-10","2013","02","10","†","8.0","","5.5","","6.8","","11.2","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2013-02-11","2013","02","11","†","7.5","","3.5","","5.5","","12.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2013-02-12","2013","02","12","†","8.5","","5.5","","7.0","","11.0","","0.0","","8.8","","0.0","","8.8","","0","","","","",""
"2013-02-13","2013","02","13","†","8.5","","6.0","","7.3","","10.7","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"2013-02-14","2013","02","14","†","8.5","","5.0","","6.8","","11.2","","0.0","","3.8","","0.0","","3.8","","0","","","","",""
"2013-02-15","2013","02","15","†","8.0","","7.0","","7.5","","10.5","","0.0","","5.0","","0.0","","5.0","","0","","","","",""
"2013-02-16","2013","02","16","†","8.0","","6.0","","7.0","","11.0","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2013-02-17","2013","02","17","†","8.0","","1.0","","4.5","","13.5","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"2013-02-18","2013","02","18","†","4.5","","2.5","","3.5","","14.5","","0.0","","10.2","","0.0","","10.2","","0","","","","",""
"2013-02-19","2013","02","19","†","9.0","","2.0","","5.5","","12.5","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"2013-02-20","2013","02","20","†","7.0","","1.5","","4.3","","13.7","","0.0","","13.6","","0.0","","13.6","","0","","","","",""
"2013-02-21","2013","02","21","†","7.5","","3.5","","5.5","","12.5","","0.0","","41.6","","0.0","","41.6","","0","","","","",""
"2013-02-22","2013","02","22","†","8.0","","2.0","","5.0","","13.0","","0.0","","13.0","","0.0","T","13.0","","0","","","","",""
"2013-02-23","2013","02","23","†","9.0","","4.0","","6.5","","11.5","","0.0","","14.0","","0.0","","14.0","","0","","","","",""
"2013-02-24","2013","02","24","†","8.0","","4.0","","6.0","","12.0","","0.0","","38.4","","0.0","","38.4","","0","","","","",""
"2013-02-25","2013","02","25","†","8.5","","4.5","","6.5","","11.5","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2013-02-26","2013","02","26","†","7.0","","3.5","","5.3","","12.7","","0.0","","28.6","","0.0","T","28.6","","0","","","","",""
"2013-02-27","2013","02","27","†","7.0","","2.0","","4.5","","13.5","","0.0","","5.6","","0.0","","5.6","","0","","","","",""
"2013-02-28","2013","02","28","†","8.5","","3.0","","5.8","","12.2","","0.0","","103.6","","0.0","","103.6","","0","","","","",""
"2013-03-01","2013","03","01","†","8.5","","8.0","","8.3","","9.7","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"2013-03-02","2013","03","02","†","8.0","","5.5","","6.8","","11.2","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"2013-03-03","2013","03","03","†","8.5","","1.5","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-04","2013","03","04","†","9.0","","0.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-05","2013","03","05","†","8.5","","2.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-06","2013","03","06","†","10.5","","0.5","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-07","2013","03","07","†","10.0","","3.5","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-08","2013","03","08","†","10.0","","1.5","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-09","2013","03","09","†","9.0","","1.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-10","2013","03","10","†","10.0","","4.5","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-11","2013","03","11","†","8.0","","2.5","","5.3","","12.7","","0.0","","42.4","","0.0","","42.4","","0","","","","",""
"2013-03-12","2013","03","12","†","9.0","","5.0","","7.0","","11.0","","0.0","","52.2","","0.0","","52.2","","0","","","","",""
"2013-03-13","2013","03","13","†","9.0","","7.5","","8.3","","9.7","","0.0","","47.8","","0.0","","47.8","","0","","","","",""
"2013-03-14","2013","03","14","†","9.0","","8.0","","8.5","","9.5","","0.0","","42.4","","0.0","","42.4","","0","","","","",""
"2013-03-15","2013","03","15","†","8.5","","6.0","","7.3","","10.7","","0.0","","8.2","","0.0","","8.2","","0","","","","",""
"2013-03-16","2013","03","16","†","6.0","","4.5","","5.3","","12.7","","0.0","","5.0","","0.0","","5.0","","0","","","","",""
"2013-03-17","2013","03","17","†","7.0","","3.0","","5.0","","13.0","","0.0","","6.2","","0.0","","6.2","","0","","","","",""
"2013-03-18","2013","03","18","†","9.0","","4.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-19","2013","03","19","†","8.0","","1.5","","4.8","","13.2","","0.0","","41.5","","0.0","","41.5","","0","","","","",""
"2013-03-20","2013","03","20","†","8.0","","4.5","","6.3","","11.7","","0.0","","5.8","","1.0","","6.8","","0","","","","",""
"2013-03-21","2013","03","21","†","6.5","","0.5","","3.5","","14.5","","0.0","","6.1","","0.0","T","6.1","","0","T","","","",""
"2013-03-22","2013","03","22","†","8.5","","-1.0","","3.8","","14.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2013-03-23","2013","03","23","†","6.5","","2.5","","4.5","","13.5","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"2013-03-24","2013","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2013-03-25","2013","03","25","†","11.5","","5.5","","8.5","","9.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2013-03-26","2013","03","26","†","10.0","","6.0","","8.0","","10.0","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2013-03-27","2013","03","27","†","12.0","","6.0","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-03-28","2013","03","28","†","11.0","","5.0","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
