"Station Name","FORT NELSON A"
"Province","BRITISH COLUMBIA"
"Latitude","58.84"
"Longitude","-122.60"
"Elevation","381.90"
"Climate Identifier","1192946"
"WMO Identifier","71945"
"TC Identifier","YYE"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","-18.4","","-27.7","","-23.1","","41.1","","0.0","","0.0","","1.0","","0.6","","79","","","M","<31",""
"2014-01-02","2014","01","02","‡","-16.0","","-21.4","","-18.7","","36.7","","0.0","","0.0","T","0.0","","0.0","T","77","","","M","43",""
"2014-01-03","2014","01","03","‡","-20.3","","-31.2","","-25.8","","43.8","","0.0","","0.0","","1.2","","1.0","","74","","","M","<31",""
"2014-01-04","2014","01","04","‡","-30.2","","-38.5","","-34.4","","52.4","","0.0","","0.0","","0.0","","0.0","","74","","","M","<31",""
"2014-01-05","2014","01","05","‡","-21.8","","-37.6","","-29.7","","47.7","","0.0","","0.0","","4.8","","4.8","","74","","","M","<31",""
"2014-01-06","2014","01","06","‡","-16.4","","-22.1","","-19.3","","37.3","","0.0","","0.0","","6.0","","7.0","","78","","","M","<31",""
"2014-01-07","2014","01","07","‡","-17.2","","-18.8","","-18.0","","36.0","","0.0","","0.0","","1.0","","1.0","","78","","","M","<31",""
"2014-01-08","2014","01","08","‡","-16.0","","-23.1","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","78","","","M","<31",""
"2014-01-09","2014","01","09","‡","-13.6","","-17.1","","-15.4","","33.4","","0.0","","0.6","","2.0","","2.4","","78","","","M","<31",""
"2014-01-10","2014","01","10","‡","-14.8","","-18.4","","-16.6","","34.6","","0.0","","0.0","T","0.0","","0.0","T","77","","","M","<31",""
