"Station Name","FORT ST JOHN A"
"Province","BRITISH COLUMBIA"
"Latitude","56.24"
"Longitude","-120.74"
"Elevation","694.90"
"Climate Identifier","1183000"
"WMO Identifier","71943"
"TC Identifier","YXJ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","","-7.6","","-12.8","","-10.2","","28.2","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"2012-01-02","2012","01","02","","2.8","","-10.5","","-3.9","","21.9","","0.0","","0.0","","0.0","","0.0","","3","","24","E","37","E"
"2012-01-03","2012","01","03","","3.8","","-0.9","","1.5","","16.5","","0.0","","1.0","","0.4","","1.4","","2","","22","E","37","E"
"2012-01-04","2012","01","04","","6.1","","0.1","","3.1","","14.9","","0.0","","2.8","","0.0","","2.8","","2","","23","","37",""
"2012-01-05","2012","01","05","","4.0","","0.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","2","","24","E","46","E"
"2012-01-06","2012","01","06","","0.0","","-3.8","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","0","T","23","E","46","E"
"2012-01-07","2012","01","07","","4.7","","-3.2","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","T","24","E","46","E"
"2012-01-08","2012","01","08","","5.9","","3.4","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","0","T","22","E","65","E"
"2012-01-09","2012","01","09","","6.5","","-1.2","","2.7","","15.3","","0.0","","0.0","T","1.2","","1.0","","0","T","25","E","56","E"
"2012-01-10","2012","01","10","","-1.0","","-13.2","","-7.1","","25.1","","0.0","","0.0","","2.2","","1.9","","2","","35","E","37","E"
"2012-01-11","2012","01","11","","-1.0","","-10.6","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","2","","22","E","56","E"
"2012-01-12","2012","01","12","","0.5","","-2.9","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","2","","23","E","46","E"
"2012-01-13","2012","01","13","","0.3","","-5.1","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","2","","24","E","46","E"
"2012-01-14","2012","01","14","","-4.4","","-22.8","","-13.6","","31.6","","0.0","","0.0","","1.4","","1.4","","1","","33","E","50","E"
"2012-01-15","2012","01","15","","-22.8","","-27.5","","-25.2","","43.2","","0.0","","0.0","","0.8","","0.8","","2","","34","E","41","E"
"2012-01-16","2012","01","16","","-26.1","","-31.2","","-28.7","","46.7","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"2012-01-17","2012","01","17","","-27.3","","-33.6","","-30.5","","48.5","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"2012-01-18","2012","01","18","","-22.5","","-30.2","","-26.4","","44.4","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"2012-01-19","2012","01","19","","-23.4","","-29.0","","-26.2","","44.2","","0.0","","0.0","","0.0","T","0.0","T","3","","","","<31",""
"2012-01-20","2012","01","20","","-22.0","","-28.9","","-25.5","","43.5","","0.0","","0.0","","3.7","","3.3","","3","","","","<31",""
"2012-01-21","2012","01","21","","-18.3","","-22.1","","-20.2","","38.2","","0.0","","0.0","","5.2","","5.2","","8","","","","<31",""
"2012-01-22","2012","01","22","","-3.0","","-22.2","","-12.6","","30.6","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2012-01-23","2012","01","23","","-1.4","","-13.0","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"2012-01-24","2012","01","24","","0.2","","-14.2","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2012-01-25","2012","01","25","","1.5","","-3.7","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","11","","22","E","56","E"
"2012-01-26","2012","01","26","","-2.1","","-7.1","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","10","","24","E","46","E"
"2012-01-27","2012","01","27","","-0.4","","-7.8","","-4.1","","22.1","","0.0","","0.0","","0.8","","0.6","","8","","24","E","46","E"
"2012-01-28","2012","01","28","","-5.5","","-12.1","","-8.8","","26.8","","0.0","","0.0","","8.0","","8.0","","8","","","","<31",""
"2012-01-29","2012","01","29","","-3.3","","-17.5","","-10.4","","28.4","","0.0","","0.0","","8.3","","8.0","","20","","","","<31",""
"2012-01-30","2012","01","30","","2.6","","-17.1","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","22","","24","E","46","E"
"2012-01-31","2012","01","31","","3.9","","-2.2","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"2012-02-01","2012","02","01","","2.7","","-4.4","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"2012-02-02","2012","02","02","","4.0","","-5.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","13","","24","","61",""
"2012-02-03","2012","02","03","","3.8","","-2.3","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"2012-02-04","2012","02","04","","7.8","","-2.3","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"2012-02-05","2012","02","05","","1.5","","-6.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","5","","36","E","37","E"
"2012-02-06","2012","02","06","","-5.8","","-12.5","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"2012-02-07","2012","02","07","","-7.5","","-13.9","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"2012-02-08","2012","02","08","","-7.9","","-14.2","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"2012-02-09","2012","02","09","","-9.5","","-17.9","","-13.7","","31.7","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"2012-02-10","2012","02","10","","-12.5","","-17.3","","-14.9","","32.9","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"2012-02-11","2012","02","11","","-9.9","","-18.3","","-14.1","","32.1","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"2012-02-12","2012","02","12","","6.4","","-12.9","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","5","","24","E","37","E"
"2012-02-13","2012","02","13","","2.5","","-4.3","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-14","2012","02","14","","0.7","","-8.8","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-15","2012","02","15","","3.7","","-4.6","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-16","2012","02","16","","4.2","","-7.4","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-17","2012","02","17","","4.0","","-5.9","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-18","2012","02","18","","-4.1","","-9.8","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-19","2012","02","19","","-2.2","","-12.5","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-20","2012","02","20","","-2.0","","-13.6","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-21","2012","02","21","","4.4","","-2.6","","0.9","","17.1","","0.0","","0.0","","0.0","T","0.0","T","2","","24","E","44","E"
"2012-02-22","2012","02","22","","2.7","","-3.6","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","2","","33","E","33","E"
"2012-02-23","2012","02","23","","0.5","","-5.9","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"2012-02-24","2012","02","24","","-4.1","","-10.7","","-7.4","","25.4","","0.0","","0.0","","0.0","T","0.0","T","2","","5","E","41","E"
"2012-02-25","2012","02","25","","-8.3","","-13.4","","-10.9","","28.9","","0.0","","0.0","","7.1","","6.9","","5","","","","<31",""
"2012-02-26","2012","02","26","","-8.2","","-20.9","","-14.6","","32.6","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"2012-02-27","2012","02","27","","-2.3","","-8.7","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","11","","23","E","37","E"
"2012-02-28","2012","02","28","","1.3","","-6.2","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"2012-02-29","2012","02","29","","-4.3","","-14.2","","-9.3","","27.3","","0.0","","0.0","","2.6","","2.4","","10","","36","E","33","E"
"2012-03-01","2012","03","01","","-9.3","","-17.9","","-13.6","","31.6","","0.0","","0.0","","1.6","","1.6","","14","","","","<31",""
"2012-03-02","2012","03","02","","3.5","","-15.9","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"2012-03-03","2012","03","03","","4.0","","-2.7","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","14","","27","E","43","E"
"2012-03-04","2012","03","04","","2.0","","-4.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
