"Station Name","FORT ST. JOHN A"
"Province","BRITISH COLUMBIA"
"Latitude","56.24"
"Longitude","-120.74"
"Elevation","694.90"
"Climate Identifier","1183001"
"WMO Identifier","71943"
"TC Identifier","YXJ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","-13.4","","-25.3","","-19.4","","37.4","","0.0","","0.0","","1.0","","1.0","","76","","","M","35",""
"2014-01-02","2014","01","02","‡","1.4","","-14.4","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","75","","","M","46",""
"2014-01-03","2014","01","03","‡","-6.2","","-22.0","","-14.1","","32.1","","0.0","","0.0","","6.5","","6.4","","70","","","M","52",""
"2014-01-04","2014","01","04","‡","-21.9","","-30.6","","-26.3","","44.3","","0.0","","0.0","","0.0","T","0.0","T","71","","","M","<31",""
"2014-01-05","2014","01","05","‡","-19.4","","-30.7","","-25.1","","43.1","","0.0","","","M","4.2","","3.2","","70","","","M","37",""
"2014-01-06","2014","01","06","‡","-1.3","","-19.5","","-10.4","","28.4","","0.0","","0.0","","0.0","T","0.0","T","74","","","M","61",""
"2014-01-07","2014","01","07","‡","-8.8","","-17.7","","-13.3","","31.3","","0.0","","0.0","","1.2","","1.2","","72","","","M","35",""
"2014-01-08","2014","01","08","‡","-12.7","","-18.5","","-15.6","","33.6","","0.0","","0.0","","0.0","T","0.0","","72","","","M","<31",""
"2014-01-09","2014","01","09","‡","0.9","","-15.8","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","72","","","M","52",""
"2014-01-10","2014","01","10","‡","-3.6","","-18.2","","-10.9","","28.9","","0.0","","0.0","","0.0","","0.0","","68","","","M","35",""
"2014-01-11","2014","01","11","‡","-4.9","","-20.5","","-12.7","","30.7","","0.0","","0.0","","10.8","","10.0","","66","","","M","59",""
"2014-01-12","2014","01","12","‡","-13.0","","-23.7","","-18.4","","36.4","","0.0","","0.0","","0.0","T","0.0","T","72","","","M","<31",""
"2014-01-13","2014","01","13","‡","0.6","","-16.9","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","70","","","M","52",""
"2014-01-14","2014","01","14","‡","7.2","","0.0","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","66","","","M","119",""
"2014-01-15","2014","01","15","‡","6.2","","-0.1","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","57","","","M","87",""
"2014-01-16","2014","01","16","‡","6.0","","0.8","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","36","","","M","80",""
"2014-01-17","2014","01","17","‡","6.1","","1.2","","3.7","","14.3","","0.0","","0.0","","0.0","","0.0","","26","","","M","72",""
"2014-01-18","2014","01","18","‡","7.1","","0.6","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","21","","","M","65",""
"2014-01-19","2014","01","19","‡","4.2","","-2.1","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","","","","M","57",""
"2014-01-20","2014","01","20","‡","3.2","","-2.7","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","44",""
"2014-01-21","2014","01","21","‡","-0.5","","-6.6","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","16","","","M","<31",""
"2014-01-22","2014","01","22","‡","1.6","","-9.0","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","14","","","M","37",""
"2014-01-23","2014","01","23","‡","7.3","","0.8","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","14","","","M","57",""
"2014-01-24","2014","01","24","‡","10.2","","5.2","","7.7","","10.3","","0.0","","0.0","","0.0","","0.0","","12","","","M","54",""
"2014-01-25","2014","01","25","‡","7.7","","1.2","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","","M","46",""
