"Station Name","GOLD RIVER TOWNSITE"
"Province","BRITISH COLUMBIA"
"Latitude","49.78"
"Longitude","-126.06"
"Elevation","119.00"
"Climate Identifier","1033232"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","5.0","","0.0","","2.5","","15.5","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"2012-01-02","2012","01","02","†","6.5","","1.0","","3.8","","14.2","","0.0","","23.8","","0.0","","23.8","","0","","","","",""
"2012-01-03","2012","01","03","†","9.0","","4.5","","6.8","","11.2","","0.0","","91.2","","0.0","","91.2","","0","","","","",""
"2012-01-04","2012","01","04","†","10.5","","4.5","","7.5","","10.5","","0.0","","60.8","","0.0","","60.8","","0","","","","",""
"2012-01-05","2012","01","05","†","6.5","","2.0","","4.3","","13.7","","0.0","","6.8","","0.0","","6.8","","0","","","","",""
"2012-01-06","2012","01","06","†","5.0","","2.0","","3.5","","14.5","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"2012-01-07","2012","01","07","†","4.0","","1.5","","2.8","","15.2","","0.0","","56.4","","0.0","","56.4","","0","","","","",""
"2012-01-08","2012","01","08","†","8.5","","3.0","","5.8","","12.2","","0.0","","39.4","","0.0","","39.4","","0","","","","",""
"2012-01-09","2012","01","09","†","7.0","","2.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-10","2012","01","10","†","5.5","","-3.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-11","2012","01","11","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-12","2012","01","12","†","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
