"Station Name","HIXON"
"Province","BRITISH COLUMBIA"
"Latitude","53.53"
"Longitude","-122.70"
"Elevation","551.00"
"Climate Identifier","1093474"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","-6.0","","-13.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2013-01-02","2013","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-03","2013","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-04","2013","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-05","2013","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-06","2013","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-07","2013","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-08","2013","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-09","2013","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-10","2013","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-11","2013","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-12","2013","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-13","2013","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-14","2013","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-15","2013","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-16","2013","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-17","2013","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-18","2013","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-19","2013","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-20","2013","01","20","","","","","","","","","","","","","","","","","","","","","","",""
