"Station Name","KAMLOOPS A"
"Province","BRITISH COLUMBIA"
"Latitude","50.70"
"Longitude","-120.44"
"Elevation","345.30"
"Climate Identifier","1163780"
"WMO Identifier","71887"
"TC Identifier","YKA"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","","2.3","","-3.4","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2012-01-02","2012","01","02","","5.0","","-2.6","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","0","","12","E","39","E"
"2012-01-03","2012","01","03","","6.8","","1.9","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","0","","11","E","56","E"
"2012-01-04","2012","01","04","","12.0","","5.1","","8.6","","9.4","","0.0","","0.0","","0.0","","0.0","","0","","19","E","65","E"
"2012-01-05","2012","01","05","","11.9","","-2.4","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","24","E","57","E"
"2012-01-06","2012","01","06","","1.9","","-6.6","","-2.4","","20.4","","0.0","","0.0","","0.2","","0.2","","0","","","","<31",""
"2012-01-07","2012","01","07","","1.5","","-3.4","","-1.0","","19.0","","0.0","","0.0","","2.4","","2.6","","0","T","11","E","32","E"
"2012-01-08","2012","01","08","","4.9","","0.3","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","2","","11","E","52","E"
"2012-01-09","2012","01","09","","11.9","","3.1","","7.5","","10.5","","0.0","","0.4","","0.0","T","0.4","","0","","11","E","56","E"
"2012-01-10","2012","01","10","","5.3","","-6.0","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","0","","32","E","52","E"
