"Station Name","MERRY ISLAND LIGHTSTATION"
"Province","BRITISH COLUMBIA"
"Latitude","49.47"
"Longitude","-123.91"
"Elevation","6.10"
"Climate Identifier","1045100"
"WMO Identifier",""
"TC Identifier","WMR"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","7.5","","4.5","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-02","2012","01","02","†","11.5","","6.5","","9.0","","9.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2012-01-03","2012","01","03","†","12.0","","8.0","","10.0","","8.0","","0.0","","19.4","","0.0","","19.4","","0","","","","",""
"2012-01-04","2012","01","04","†","10.0","","9.0","","9.5","","8.5","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"2012-01-05","2012","01","05","†","8.5","","6.0","","7.3","","10.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2012-01-06","2012","01","06","†","6.0","","4.0","","5.0","","13.0","","0.0","","6.2","","0.0","","6.2","","0","","","","",""
"2012-01-07","2012","01","07","†","7.0","","4.0","","5.5","","12.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2012-01-08","2012","01","08","†","10.0","","5.5","","7.8","","10.2","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"2012-01-09","2012","01","09","†","9.5","","7.0","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-10","2012","01","10","†","6.0","","3.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-11","2012","01","11","†","5.5","","2.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-12","2012","01","12","†","5.5","","2.0","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-13","2012","01","13","†","5.0","","0.0","","2.5","","15.5","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"2012-01-14","2012","01","14","†","5.0","","2.5","","3.8","","14.2","","0.0","","0.0","","2.2","","2.2","","0","","","","",""
"2012-01-15","2012","01","15","†","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2012-01-16","2012","01","16","†","2.5","","0.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-17","2012","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2012-01-18","2012","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2012-01-19","2012","01","19","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","1","","","","",""
"2012-01-20","2012","01","20","†","9.0","","-1.0","","4.0","","14.0","","0.0","","15.8","","0.0","","15.8","","0","","","","",""
"2012-01-21","2012","01","21","†","8.0","","5.5","","6.8","","11.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2012-01-22","2012","01","22","†","7.0","","3.0","","5.0","","13.0","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2012-01-23","2012","01","23","†","7.0","","5.5","","6.3","","11.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2012-01-24","2012","01","24","†","11.0","","4.0","","7.5","","10.5","","0.0","","8.4","","0.0","","8.4","","0","","","","",""
"2012-01-25","2012","01","25","†","7.0","","5.0","","6.0","","12.0","","0.0","","5.4","","0.0","","5.4","","0","","","","",""
"2012-01-26","2012","01","26","†","6.5","","4.0","","5.3","","12.7","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"2012-01-27","2012","01","27","†","6.5","","3.0","","4.8","","13.2","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"2012-01-28","2012","01","28","†","8.0","","2.5","","5.3","","12.7","","0.0","","7.8","","0.0","","7.8","","0","","","","",""
"2012-01-29","2012","01","29","†","8.0","","6.0","","7.0","","11.0","","0.0","","5.8","","0.0","","5.8","","0","","","","",""
"2012-01-30","2012","01","30","†","8.0","","4.5","","6.3","","11.7","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"2012-01-31","2012","01","31","†","7.5","","6.5","","7.0","","11.0","","0.0","","10.4","","0.0","","10.4","","0","","","","",""
"2012-02-01","2012","02","01","†","8.0","","5.0","","6.5","","11.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2012-02-02","2012","02","02","†","9.0","","4.5","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-03","2012","02","03","†","7.5","","3.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-04","2012","02","04","†","4.5","","2.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
