"Station Name","SMITHERS A"
"Province","BRITISH COLUMBIA"
"Latitude","54.82"
"Longitude","-127.18"
"Elevation","521.80"
"Climate Identifier","1077500"
"WMO Identifier",""
"TC Identifier","YYD"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2011-01-01","2011","01","01","†","-6.7","","-11.5","","-9.1","","27.1","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"2011-01-02","2011","01","02","†","-6.5","","-14.6","","-10.6","","28.6","","0.0","","0.0","","0.4","","0.4","","28","","","","",""
"2011-01-03","2011","01","03","†","-2.7","","-10.1","","-6.4","","24.4","","0.0","","0.0","","3.0","","1.2","","28","","","","",""
"2011-01-04","2011","01","04","†","-1.0","","-5.3","","-3.2","","21.2","","0.0","","0.0","","5.6","","3.6","","30","","","","",""
"2011-01-05","2011","01","05","†","6.2","","-10.9","","-2.4","","20.4","","0.0","","0.0","T","2.2","","2.2","","34","","","","",""
"2011-01-06","2011","01","06","†","-3.8","","-8.6","","-6.2","","24.2","","0.0","","0.0","","3.6","","3.4","","34","","","","",""
"2011-01-07","2011","01","07","†","-2.1","","-8.6","","-5.4","","23.4","","0.0","","0.0","","1.4","","1.0","","37","","","","",""
"2011-01-08","2011","01","08","†","-4.5","","-9.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"2011-01-09","2011","01","09","†","-9.5","","-13.6","","-11.6","","29.6","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"2011-01-10","2011","01","10","†","-11.5","","-17.6","","-14.6","","32.6","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"2011-01-11","2011","01","11","†","-10.0","","-19.1","","-14.6","","32.6","","0.0","","0.0","","1.2","","0.6","","27","","","","",""
"2011-01-12","2011","01","12","†","-12.3","","-13.6","","-13.0","","31.0","","0.0","","0.0","","1.6","","0.8","","29","","","","",""
"2011-01-13","2011","01","13","†","-16.3","","-17.9","","-17.1","","35.1","","0.0","","0.0","","1.8","","0.6","","30","","","","",""
"2011-01-14","2011","01","14","†","-17.0","","-20.5","","-18.8","","36.8","","0.0","","0.0","","15.4","","10.2","","30","","","","",""
"2011-01-15","2011","01","15","†","-15.2","","-18.7","","-17.0","","35.0","","0.0","","0.0","","11.2","","10.2","","45","","","","",""
"2011-01-16","2011","01","16","†","-10.4","","-17.3","","-13.9","","31.9","","0.0","","0.0","","4.0","","2.6","","56","","","","",""
"2011-01-17","2011","01","17","†","-9.5","","-16.3","","-12.9","","30.9","","0.0","","0.0","","0.0","T","0.0","T","57","","","","",""
"2011-01-18","2011","01","18","†","-2.9","","-14.8","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","58","","","","",""
"2011-01-19","2011","01","19","†","0.4","","-11.8","","-5.7","","23.7","","0.0","","1.2","","2.0","","3.2","","58","","","","",""
"2011-01-20","2011","01","20","†","6.6","","-1.7","","2.5","","15.5","","0.0","","1.4","","0.0","","1.4","","59","","","","",""
"2011-01-21","2011","01","21","†","6.5","","-1.3","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"2011-01-22","2011","01","22","†","7.5","","-1.5","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","44","","","","",""
"2011-01-23","2011","01","23","†","2.4","","-4.3","","-1.0","","19.0","","0.0","","0.0","T","0.0","T","0.0","T","41","","","","",""
"2011-01-24","2011","01","24","†","2.8","","-2.5","","0.2","","17.8","","0.0","","0.0","","0.4","","0.4","","41","","","","",""
"2011-01-25","2011","01","25","†","5.1","","-2.5","","1.3","","16.7","","0.0","","6.2","","0.0","","6.2","","40","","","","",""
"2011-01-26","2011","01","26","†","6.6","","0.6","","3.6","","14.4","","0.0","","16.0","","0.0","","16.0","","36","","","","",""
"2011-01-27","2011","01","27","†","2.9","","-0.2","","1.4","","16.6","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"2011-01-28","2011","01","28","†","-4.8","","-10.1","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"2011-01-29","2011","01","29","†","-3.9","","-15.8","","-9.9","","27.9","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"2011-01-30","2011","01","30","†","-7.2","","-17.6","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"2011-01-31","2011","01","31","†","-8.0","","-17.4","","-12.7","","30.7","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"2011-02-01","2011","02","01","†","-3.9","","-10.9","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"2011-02-02","2011","02","02","†","2.1","","-7.9","","-2.9","","20.9","","0.0","","0.0","","0.4","","0.4","","30","","","","",""
"2011-02-03","2011","02","03","†","4.7","","-3.0","","0.9","","17.1","","0.0","","5.8","","0.0","","5.8","","30","","","","",""
"2011-02-04","2011","02","04","†","5.2","","1.2","","3.2","","14.8","","0.0","","0.0","T","0.0","","0.0","T","26","","","","",""
"2011-02-05","2011","02","05","†","-0.6","","-9.5","","-5.1","","23.1","","0.0","","0.0","","2.6","","2.6","","26","","","","",""
"2011-02-06","2011","02","06","†","-3.8","","-5.4","","-4.6","","22.6","","0.0","","0.0","","21.8","","14.0","","29","","","","",""
"2011-02-07","2011","02","07","†","-1.8","","-7.3","","-4.6","","22.6","","0.0","","0.0","","0.4","","0.4","","49","","","","",""
"2011-02-08","2011","02","08","†","-4.2","","-14.7","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"2011-02-09","2011","02","09","†","-3.9","","-11.9","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","49","","","","",""
"2011-02-10","2011","02","10","†","0.4","","-8.8","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","48","","","","",""
"2011-02-11","2011","02","11","†","4.6","","-3.6","","0.5","","17.5","","0.0","","0.0","T","0.0","T","0.0","T","45","","","","",""
"2011-02-12","2011","02","12","†","4.5","","0.2","","2.4","","15.6","","0.0","","0.0","","1.4","","1.4","","40","","","","",""
"2011-02-13","2011","02","13","†","1.9","","-2.7","","-0.4","","18.4","","0.0","","0.0","T","0.0","T","0.0","T","40","","","","",""
"2011-02-14","2011","02","14","†","-0.4","","-3.1","","-1.8","","19.8","","0.0","","0.0","","5.8","","5.0","","40","","","","",""
"2011-02-15","2011","02","15","†","2.2","","-3.2","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","46","","","","",""
"2011-02-16","2011","02","16","†","-4.7","","-9.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"2011-02-17","2011","02","17","†","-9.7","","-11.8","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"2011-02-18","2011","02","18","†","-11.8","","-26.5","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"2011-02-19","2011","02","19","†","-11.1","","-25.8","","-18.5","","36.5","","0.0","","0.0","","1.0","","0.8","","44","","","","",""
"2011-02-20","2011","02","20","†","-5.5","","-14.7","","-10.1","","28.1","","0.0","","0.0","","0.4","","0.0","T","43","","","","",""
"2011-02-21","2011","02","21","†","-4.4","","-13.9","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","44","","","","",""
"2011-02-22","2011","02","22","†","-4.0","","-18.6","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"2011-02-23","2011","02","23","†","-10.0","","-15.5","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"2011-02-24","2011","02","24","†","-9.8","","-27.0","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"2011-02-25","2011","02","25","†","-9.0","","-24.7","","-16.9","","34.9","","0.0","","0.0","","0.0","T","0.0","T","44","","","","",""
"2011-02-26","2011","02","26","†","-1.4","","-15.7","","-8.6","","26.6","","0.0","","0.0","","2.2","","1.0","","44","","","","",""
"2011-02-27","2011","02","27","†","-6.8","","-10.9","","-8.9","","26.9","","0.0","","0.0","","0.2","","0.2","","44","","","","",""
"2011-02-28","2011","02","28","†","-15.1","","-19.4","","-17.3","","35.3","","0.0","","0.0","","0.4","","0.0","T","44","","","","",""
"2011-03-01","2011","03","01","†","-15.2","","-21.4","","-18.3","","36.3","","0.0","","0.0","","0.8","","0.6","","44","","","","",""
"2011-03-02","2011","03","02","†","-10.4","","-18.0","","-14.2","","32.2","","0.0","","0.0","","9.0","","7.6","","45","","","","",""
"2011-03-03","2011","03","03","†","-6.9","","-14.2","","-10.6","","28.6","","0.0","","0.0","","1.4","","0.4","","54","","","","",""
"2011-03-04","2011","03","04","†","-4.4","","-14.3","","-9.4","","27.4","","0.0","","0.0","","1.0","","0.6","","55","","","","",""
"2011-03-05","2011","03","05","†","-1.0","","-7.3","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","52","","","","",""
"2011-03-06","2011","03","06","†","-3.2","","-5.8","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","52","","","","",""
"2011-03-07","2011","03","07","†","-2.5","","-8.6","","-5.6","","23.6","","0.0","","0.0","","0.0","T","0.0","T","52","","","","",""
"2011-03-08","2011","03","08","†","-0.6","","-5.5","","-3.1","","21.1","","0.0","","0.0","","0.0","T","0.0","T","50","","","","",""
"2011-03-09","2011","03","09","†","-0.8","","-11.5","","-6.2","","24.2","","0.0","","0.0","","0.4","","0.4","","50","","","","",""
"2011-03-10","2011","03","10","†","5.2","","-5.9","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"2011-03-11","2011","03","11","†","3.3","","-4.2","","-0.5","","18.5","","0.0","","0.0","T","0.0","T","0.0","T","48","","","","",""
"2011-03-12","2011","03","12","†","7.3","","-3.7","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"2011-03-13","2011","03","13","†","2.3","","-1.6","","0.4","","17.6","","0.0","","2.0","","1.2","","5.4","","44","","","","",""
"2011-03-14","2011","03","14","†","5.9","","-0.5","","2.7","","15.3","","0.0","","0.2","","0.0","","0.2","","43","","","","",""
"2011-03-15","2011","03","15","†","5.6","","0.1","","2.9","","15.1","","0.0","","5.2","","0.0","T","5.2","","38","","","","",""
"2011-03-16","2011","03","16","†","6.9","","0.1","","3.5","","14.5","","0.0","","0.8","","0.0","","0.8","","30","","","","",""
"2011-03-17","2011","03","17","†","7.3","","-4.2","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-03-18","2011","03","18","†","7.7","","-8.7","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-03-19","2011","03","19","†","9.7","","-5.5","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"2011-03-20","2011","03","20","†","3.0","","-3.5","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"2011-03-21","2011","03","21","†","3.3","","-2.5","","0.4","","17.6","","0.0","","0.0","","0.0","T","0.0","T","24","","","","",""
"2011-03-22","2011","03","22","†","5.3","","-3.1","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"2011-03-23","2011","03","23","†","7.3","","-5.8","","0.8","","17.2","","0.0","","0.0","T","0.0","T","0.0","T","21","","","","",""
"2011-03-24","2011","03","24","†","9.5","","-1.2","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"2011-03-25","2011","03","25","†","9.0","","-3.9","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"2011-03-26","2011","03","26","†","9.1","","-4.6","","2.3","","15.7","","0.0","","0.2","","0.0","","0.2","","15","","","","",""
"2011-03-27","2011","03","27","†","11.9","","-2.5","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"2011-03-28","2011","03","28","†","10.5","","-2.9","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2011-03-29","2011","03","29","†","9.8","","1.1","","5.5","","12.5","","0.0","","0.2","","0.0","","0.2","","","M","","","",""
"2011-03-30","2011","03","30","†","10.2","","0.4","","5.3","","12.7","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","",""
"2011-03-31","2011","03","31","†","10.1","","-0.4","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-01","2011","04","01","†","9.1","","-4.4","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-02","2011","04","02","†","9.1","","-4.3","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-03","2011","04","03","†","4.0","","-5.7","","-0.9","","18.9","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"2011-04-04","2011","04","04","†","8.1","","0.3","","4.2","","13.8","","0.0","","0.0","","0.2","","0.2","","0","T","","","",""
"2011-04-05","2011","04","05","†","6.2","","-2.9","","1.7","","16.3","","0.0","","0.0","T","0.2","","0.2","","0","T","","","",""
"2011-04-06","2011","04","06","†","7.6","","-3.4","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-07","2011","04","07","†","8.3","","-3.9","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-08","2011","04","08","†","7.6","","-2.1","","2.8","","15.2","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2011-04-09","2011","04","09","†","8.4","","-0.1","","4.2","","13.8","","0.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"2011-04-10","2011","04","10","†","5.4","","-3.1","","1.2","","16.8","","0.0","","0.2","","3.0","","2.4","","0","","","","",""
"2011-04-11","2011","04","11","†","7.4","","-2.4","","2.5","","15.5","","0.0","","0.0","T","0.0","T","0.0","T","3","","","","",""
"2011-04-12","2011","04","12","†","7.7","","-1.4","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-13","2011","04","13","†","10.8","","-2.3","","4.3","","13.7","","0.0","","18.0","","7.0","","43.0","","0","","","","",""
"2011-04-14","2011","04","14","†","5.5","","-1.9","","1.8","","16.2","","0.0","","0.0","T","0.0","T","0.0","T","7","","","","",""
"2011-04-15","2011","04","15","†","6.9","","-1.8","","2.6","","15.4","","0.0","","0.0","","9.6","","8.2","","0","T","","","",""
"2011-04-16","2011","04","16","†","6.1","","-1.8","","2.2","","15.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"2011-04-17","2011","04","17","†","8.0","","-5.7","","1.2","","16.8","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","",""
"2011-04-18","2011","04","18","†","6.8","","-5.3","","0.8","","17.2","","0.0","","0.0","T","0.0","T","0.0","T","0","T","","","",""
"2011-04-19","2011","04","19","†","7.2","","-4.0","","1.6","","16.4","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2011-04-20","2011","04","20","†","7.6","","-4.9","","1.4","","16.6","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2011-04-21","2011","04","21","†","8.0","","-2.8","","2.6","","15.4","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2011-04-22","2011","04","22","†","11.1","","-3.4","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-23","2011","04","23","†","14.1","","-4.6","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-24","2011","04","24","†","15.9","","-5.3","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-25","2011","04","25","†","13.5","","-4.1","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-26","2011","04","26","†","10.9","","-2.4","","4.3","","13.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2011-04-27","2011","04","27","†","7.7","","-1.8","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2011-04-28","2011","04","28","†","13.0","","-1.8","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-29","2011","04","29","†","13.1","","-2.9","","5.1","","12.9","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-04-30","2011","04","30","†","10.4","","0.4","","5.4","","12.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-01","2011","05","01","†","7.3","","-2.4","","2.5","","15.5","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2011-05-02","2011","05","02","†","10.4","","1.8","","6.1","","11.9","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2011-05-03","2011","05","03","†","12.5","","2.9","","7.7","","10.3","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2011-05-04","2011","05","04","†","8.5","","1.9","","5.2","","12.8","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2011-05-05","2011","05","05","†","11.1","","2.9","","7.0","","11.0","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2011-05-06","2011","05","06","†","13.1","","1.4","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-07","2011","05","07","†","16.3","","4.7","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-08","2011","05","08","†","18.1","","-0.6","","8.8","","9.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-09","2011","05","09","†","12.7","","2.5","","7.6","","10.4","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2011-05-10","2011","05","10","†","12.3","","3.5","","7.9","","10.1","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2011-05-11","2011","05","11","†","11.0","","2.0","","6.5","","11.5","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"2011-05-12","2011","05","12","†","12.8","","1.4","","7.1","","10.9","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-13","2011","05","13","†","14.9","","-3.3","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-14","2011","05","14","†","17.2","","1.0","","9.1","","8.9","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2011-05-15","2011","05","15","†","24.4","","8.3","","16.4","","1.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
