"Station Name","SPARWOOD"
"Province","BRITISH COLUMBIA"
"Latitude","49.75"
"Longitude","-114.88"
"Elevation","1137.70"
"Climate Identifier","1157630"
"WMO Identifier",""
"TC Identifier","WSW"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","†","2.1","","-6.1","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"2014-01-02","2014","01","02","†","2.1","","-1.1","","0.5","","17.5","","0.0","","0.0","","7.4","","7.6","","6","","","","",""
"2014-01-03","2014","01","03","†","1.2","","-2.6","","-0.7","","18.7","","0.0","","0.0","","15.0","","9.2","","6","","","","",""
"2014-01-04","2014","01","04","†","-8.3","","-10.9","","-9.6","","27.6","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
"2014-01-05","2014","01","05","†","-14.6","","-20.8","","-17.7","","35.7","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"2014-01-06","2014","01","06","†","-13.5","","-23.0","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"2014-01-07","2014","01","07","†","-7.0","","-16.5","","-11.8","","29.8","","0.0","","0.0","","0.4","","0.4","","15","","","","",""
"2014-01-08","2014","01","08","†","0.0","","-11.5","","-5.8","","23.8","","0.0","","0.0","","2.8","","2.2","","14","","","","",""
"2014-01-09","2014","01","09","†","1.4","","-3.6","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","13","","","","",""
"2014-01-10","2014","01","10","†","3.2","","-3.4","","-0.1","","18.1","","0.0","","0.0","","4.0","","4.0","","12","","","","",""
"2014-01-11","2014","01","11","†","4.0","","0.0","","2.0","","16.0","","0.0","","4.2","","5.0","","8.4","","17","","","","",""
"2014-01-12","2014","01","12","†","5.5","","-2.3","","1.6","","16.4","","0.0","","1.0","","0.2","","1.2","","16","","","","",""
"2014-01-13","2014","01","13","†","5.6","","-2.0","","1.8","","16.2","","0.0","","1.4","","0.0","","1.4","","19","","","","",""
"2014-01-14","2014","01","14","†","4.5","","-7.2","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"2014-01-15","2014","01","15","†","7.1","","1.8","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2014-01-16","2014","01","16","†","4.4","","-7.1","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"2014-01-17","2014","01","17","†","-1.3","","-9.1","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
