"Station Name","STEWART A"
"Province","BRITISH COLUMBIA"
"Latitude","55.94"
"Longitude","-129.99"
"Elevation","7.30"
"Climate Identifier","1067742"
"WMO Identifier",""
"TC Identifier","ZST"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","†","0.3","","-2.3","","-1.0","","19.0","","0.0","","0.0","","3.0","","3.0","","50","","","","",""
"2013-01-02","2013","01","02","†","0.7","","-2.2","","-0.8","","18.8","","0.0","","0.0","","25.0","","25.0","","51","","","","",""
"2013-01-03","2013","01","03","†","0.8","","-0.2","","0.3","","17.7","","0.0","","2.6","","0.1","","2.7","","68","","","","",""
"2013-01-04","2013","01","04","†","1.3","","-0.2","","0.6","","17.4","","0.0","","1.2","","0.0","","1.2","","64","","","","",""
"2013-01-05","2013","01","05","†","1.2","","-1.6","","-0.2","","18.2","","0.0","","1.2","","0.0","","1.2","","61","","","","",""
"2013-01-06","2013","01","06","†","1.0","","-2.1","","-0.6","","18.6","","0.0","","0.0","","3.4","","3.4","","61","","","","",""
"2013-01-07","2013","01","07","†","2.7","","-1.0","","0.9","","17.1","","0.0","","0.6","","3.6","","4.2","","63","","","","",""
"2013-01-08","2013","01","08","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","0.1","","0.1","","64","","","","",""
"2013-01-09","2013","01","09","†","-4.5","","-11.5","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","64","","","","",""
"2013-01-10","2013","01","10","†","-7.8","","-14.7","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","64","","","","",""
"2013-01-11","2013","01","11","†","-5.9","","-13.6","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","63","","","","",""
"2013-01-12","2013","01","12","†","-5.1","","-9.0","","-7.1","","25.1","","0.0","","0.0","","0.2","","0.2","","62","","","","",""
"2013-01-13","2013","01","13","†","-0.7","","-8.1","","-4.4","","22.4","","0.0","","0.0","","0.3","","0.3","","62","","","","",""
"2013-01-14","2013","01","14","†","5.8","","-4.1","","0.9","","17.1","","0.0","","0.6","","0.1","","0.7","","62","","","","",""
"2013-01-15","2013","01","15","†","5.8","","4.5","","5.2","","12.8","","0.0","","15.8","","0.0","","15.8","","48","","","","",""
"2013-01-16","2013","01","16","†","4.4","","0.4","","2.4","","15.6","","0.0","","17.4","","0.0","","17.4","","35","","","","",""
"2013-01-17","2013","01","17","†","5.8","","0.4","","3.1","","14.9","","0.0","","6.4","","0.0","","6.4","","35","","","","",""
"2013-01-18","2013","01","18","†","4.3","","2.2","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
