"Station Name","TERRACE A"
"Province","BRITISH COLUMBIA"
"Latitude","54.47"
"Longitude","-128.58"
"Elevation","217.30"
"Climate Identifier","1068134"
"WMO Identifier","71951"
"TC Identifier","YXT"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","5.2","","2.6","","3.9","","14.1","","0.0","","5.1","","0.0","","5.1","","","","","M","54",""
"2014-01-02","2014","01","02","‡","3.5","","-0.1","","1.7","","16.3","","0.0","","3.8","","6.4","","13.2","","6","","","M","39",""
"2014-01-03","2014","01","03","‡","1.6","","-1.0","","0.3","","17.7","","0.0","","0.0","","0.4","","0.2","","5","","","M","35",""
"2014-01-04","2014","01","04","‡","-0.5","","-2.8","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","33",""
"2014-01-05","2014","01","05","‡","-0.3","","-5.4","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","4","","","M","37",""
"2014-01-06","2014","01","06","‡","-1.4","","-8.2","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","4","","","M","54",""
"2014-01-07","2014","01","07","‡","-1.2","","-2.7","","-2.0","","20.0","","0.0","","0.0","","1.6","","0.8","","5","","","M","52",""
"2014-01-08","2014","01","08","‡","2.3","","-1.6","","0.4","","17.6","","0.0","","1.8","","0.0","T","1.8","","5","","","M","59",""
"2014-01-09","2014","01","09","‡","2.4","","-0.3","","1.1","","16.9","","0.0","","0.8","","0.4","","1.2","","3","","","M","72",""
"2014-01-10","2014","01","10","‡","1.9","","-0.3","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","0","","","M","43",""
