"Station Name","TOFINO A"
"Province","BRITISH COLUMBIA"
"Latitude","49.08"
"Longitude","-125.77"
"Elevation","24.50"
"Climate Identifier","1038205"
"WMO Identifier",""
"TC Identifier","YAZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","13.7","","2.4","","8.1","","9.9","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2012-01-02","2012","01","02","†","13.4","","8.0","","10.7","","7.3","","0.0","","33.8","","0.0","","33.8","","0","","","","",""
"2012-01-03","2012","01","03","†","9.5","","7.2","","8.4","","9.6","","0.0","","180.6","","0.0","","180.6","","0","","","","",""
"2012-01-04","2012","01","04","†","9.8","","8.9","","9.4","","8.6","","0.0","","12.8","","0.0","","12.8","","0","","","","",""
"2012-01-05","2012","01","05","†","8.8","","4.7","","6.8","","11.2","","0.0","","12.4","","0.0","","12.4","","0","","","","",""
"2012-01-06","2012","01","06","†","4.9","","2.2","","3.6","","14.4","","0.0","","12.0","","0.0","","12.0","","0","","","","",""
"2012-01-07","2012","01","07","†","8.3","","3.5","","5.9","","12.1","","0.0","","62.4","","0.0","","62.4","","0","","","","",""
"2012-01-08","2012","01","08","†","9.0","","6.2","","7.6","","10.4","","0.0","","71.2","","0.0","","71.2","","0","","","","",""
"2012-01-09","2012","01","09","†","7.8","","6.2","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-10","2012","01","10","†","6.8","","-2.0","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-11","2012","01","11","†","6.9","","-1.1","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-12","2012","01","12","†","6.4","","-1.1","","2.7","","15.3","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2012-01-13","2012","01","13","†","4.3","","-2.0","","1.2","","16.8","","0.0","","12.4","","0.0","","12.4","","0","","","","",""
"2012-01-14","2012","01","14","†","3.9","","0.3","","2.1","","15.9","","0.0","","0.0","T","2.0","","2.0","","0","","","","",""
"2012-01-15","2012","01","15","†","3.2","","-3.2","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2012-01-16","2012","01","16","†","2.6","","-3.2","","-0.3","","18.3","","0.0","","0.0","","2.6","","2.6","","0","","","","",""
"2012-01-17","2012","01","17","†","1.6","","-4.1","","-1.3","","19.3","","0.0","","0.0","","1.0","","1.0","","3","","","","",""
"2012-01-18","2012","01","18","†","2.9","","-3.9","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"2012-01-19","2012","01","19","†","3.6","","-5.2","","-0.8","","18.8","","0.0","","3.4","","0.0","","3.4","","3","","","","",""
"2012-01-20","2012","01","20","†","8.3","","-0.3","","4.0","","14.0","","0.0","","55.4","","0.0","","55.4","","0","T","","","",""
"2012-01-21","2012","01","21","†","6.9","","4.1","","5.5","","12.5","","0.0","","10.1","","0.0","","10.1","","0","","","","",""
"2012-01-22","2012","01","22","†","6.8","","1.5","","4.2","","13.8","","0.0","","22.2","","0.0","","22.2","","0","","","","",""
"2012-01-23","2012","01","23","†","7.5","","3.6","","5.6","","12.4","","0.0","","34.0","","0.0","","34.0","","0","","","","",""
"2012-01-24","2012","01","24","†","9.9","","3.3","","6.6","","11.4","","0.0","","41.6","","0.0","","41.6","","0","","","","",""
"2012-01-25","2012","01","25","†","7.3","","3.9","","5.6","","12.4","","0.0","","22.2","","0.0","","22.2","","0","","","","",""
"2012-01-26","2012","01","26","†","7.0","","1.8","","4.4","","13.6","","0.0","","1.2","","0.0","T","1.2","","0","","","","",""
"2012-01-27","2012","01","27","†","6.8","","0.8","","3.8","","14.2","","0.0","","5.4","","0.0","","5.4","","0","","","","",""
"2012-01-28","2012","01","28","†","9.0","","2.5","","5.8","","12.2","","0.0","","34.6","","0.0","","34.6","","0","","","","",""
"2012-01-29","2012","01","29","†","8.5","","5.2","","6.9","","11.1","","0.0","","22.0","","0.0","","22.0","","0","","","","",""
"2012-01-30","2012","01","30","†","7.5","","4.3","","5.9","","12.1","","0.0","","16.2","","0.0","","16.2","","0","","","","",""
"2012-01-31","2012","01","31","†","8.1","","6.5","","7.3","","10.7","","0.0","","25.8","","0.0","","25.8","","0","","","","",""
"2012-02-01","2012","02","01","†","8.2","","0.3","","4.3","","13.7","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"2012-02-02","2012","02","02","†","10.3","","4.1","","7.2","","10.8","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2012-02-03","2012","02","03","†","10.6","","2.3","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-04","2012","02","04","†","12.2","","-0.3","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-05","2012","02","05","†","11.1","","3.9","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-06","2012","02","06","†","13.8","","-0.6","","6.6","","11.4","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-07","2012","02","07","†","16.1","","2.8","","9.5","","8.5","","0.0","","5.8","","0.0","","5.8","","0","","","","",""
"2012-02-08","2012","02","08","†","9.2","","6.9","","8.1","","9.9","","0.0","","20.4","","0.0","","20.4","","0","","","","",""
"2012-02-09","2012","02","09","†","11.0","","8.0","","9.5","","8.5","","0.0","","52.8","","0.0","","52.8","","0","","","","",""
"2012-02-10","2012","02","10","†","11.6","","8.8","","10.2","","7.8","","0.0","","5.8","","0.0","","5.8","","0","","","","",""
"2012-02-11","2012","02","11","†","10.1","","7.2","","8.7","","9.3","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"2012-02-12","2012","02","12","†","7.7","","6.7","","7.2","","10.8","","0.0","","28.8","","0.0","","28.8","","0","","","","",""
"2012-02-13","2012","02","13","†","8.6","","1.5","","5.1","","12.9","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
