"Station Name","VICTORIA INT'L A"
"Province","BRITISH COLUMBIA"
"Latitude","48.65"
"Longitude","-123.43"
"Elevation","19.50"
"Climate Identifier","1018620"
"WMO Identifier","71799"
"TC Identifier","YYJ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","","9.7","","3.9","","6.8","","11.2","","0.0","","19.6","","0.0","","19.6","","0","","21","E","41","E"
"2010-01-02","2010","01","02","","11.6","","3.2","","7.4","","10.6","","0.0","","0.6","","0.0","","0.6","","0","","22","E","37","E"
"2010-01-03","2010","01","03","","7.3","","1.1","","4.2","","13.8","","0.0","","3.6","","0.0","","3.6","","0","","","","<31",""
"2010-01-04","2010","01","04","","6.3","","5.5","","5.9","","12.1","","0.0","","29.4","","0.0","","29.4","","0","","","","<31",""
"2010-01-05","2010","01","05","","8.0","","4.3","","6.2","","11.8","","0.0","","3.5","","0.0","","3.5","","0","","5","E","35","E"
"2010-01-06","2010","01","06","","6.8","","0.0","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","6","E","50","E"
"2010-01-07","2010","01","07","","5.4","","-1.8","","1.8","","16.2","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"2010-01-08","2010","01","08","","7.9","","3.7","","5.8","","12.2","","0.0","","12.0","","0.0","","12.0","","0","","14","E","41","E"
"2010-01-09","2010","01","09","","10.4","","5.3","","7.9","","10.1","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"2010-01-10","2010","01","10","","10.8","","5.0","","7.9","","10.1","","0.0","","0.8","","0.0","","0.8","","0","","15","E","48","E"
"2010-01-11","2010","01","11","","12.6","","8.8","","10.7","","7.3","","0.0","","25.0","","0.0","","25.0","","0","","14","E","50","E"
"2010-01-12","2010","01","12","","12.2","","8.0","","10.1","","7.9","","0.0","","5.0","","0.0","","5.0","","0","","17","E","50","E"
"2010-01-13","2010","01","13","","9.4","","6.7","","8.1","","9.9","","0.0","","3.8","","0.0","","3.8","","0","","","","<31",""
"2010-01-14","2010","01","14","","10.6","","7.7","","9.2","","8.8","","0.0","","20.4","","0.0","","20.4","","0","","22","E","46","E"
"2010-01-15","2010","01","15","","10.9","","1.9","","6.4","","11.6","","0.0","","17.0","","0.0","","17.0","","0","","14","E","35","E"
"2010-01-16","2010","01","16","","7.3","","-0.2","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2010-01-17","2010","01","17","","10.4","","3.1","","6.8","","11.2","","0.0","","2.3","","0.0","","2.3","","0","","","","<31",""
"2010-01-18","2010","01","18","","10.8","","4.0","","7.4","","10.6","","0.0","","2.8","","0.0","","2.8","","0","","13","E","83","E"
"2010-01-19","2010","01","19","","12.0","","4.0","","8.0","","10.0","","0.0","","0.0","T","0.0","","0.0","T","0","","13","E","48","E"
"2010-01-20","2010","01","20","","11.0","","5.1","","8.1","","9.9","","0.0","","0.0","T","0.0","","0.0","T","0","","13","E","35","E"
"2010-01-21","2010","01","21","","12.6","","2.8","","7.7","","10.3","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"2010-01-22","2010","01","22","","10.1","","1.9","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2010-01-23","2010","01","23","","10.3","","0.8","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2010-01-24","2010","01","24","","7.5","","1.9","","4.7","","13.3","","0.0","","6.8","","0.0","","6.8","","0","","","","<31",""
"2010-01-25","2010","01","25","","10.6","","2.4","","6.5","","11.5","","0.0","","0.6","","0.0","","0.6","","0","","14","E","46","E"
"2010-01-26","2010","01","26","","9.2","","1.0","","5.1","","12.9","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"2010-01-27","2010","01","27","","8.2","","4.1","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
