"Station Name","WILLIAMS LAKE A"
"Province","BRITISH COLUMBIA"
"Latitude","52.18"
"Longitude","-122.05"
"Elevation","939.70"
"Climate Identifier","1098940"
"WMO Identifier","71104"
"TC Identifier","YWL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","","-0.2","","-10.4","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","28","","14","E","76","E"
"2012-01-02","2012","01","02","","4.4","","-0.4","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","28","","15","E","87","E"
"2012-01-03","2012","01","03","","4.6","","1.4","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","27","","15","E","69","E"
"2012-01-04","2012","01","04","","8.7","","2.7","","5.7","","12.3","","0.0","","0.0","T","0.0","","0.0","T","26","","14","E","69","E"
"2012-01-05","2012","01","05","","3.3","","-4.1","","-0.4","","18.4","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"2012-01-06","2012","01","06","","-2.4","","-10.5","","-6.5","","24.5","","0.0","","0.0","","0.2","","0.2","","17","","","","<31",""
"2012-01-07","2012","01","07","","-0.9","","-8.2","","-4.6","","22.6","","0.0","","0.0","","2.8","","2.8","","17","","14","E","43","E"
"2012-01-08","2012","01","08","","5.7","","-1.4","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","22","","14","E","52","E"
"2012-01-09","2012","01","09","","8.1","","-3.2","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","20","","14","E","59","E"
"2012-01-10","2012","01","10","","-1.6","","-12.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","18","","33","E","50","E"
"2012-01-11","2012","01","11","","-7.2","","-15.5","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"2012-01-12","2012","01","12","","-4.5","","-13.4","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"2012-01-13","2012","01","13","","-4.6","","-13.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"2012-01-14","2012","01","14","","-4.6","","-8.4","","-6.5","","24.5","","0.0","","0.0","","2.8","","1.8","","15","","31","E","32","E"
"2012-01-15","2012","01","15","","-7.1","","-20.1","","-13.6","","31.6","","0.0","","0.0","","16.2","","6.0","","24","","33","E","52","E"
"2012-01-16","2012","01","16","","-19.3","","-25.7","","-22.5","","40.5","","0.0","","0.0","","4.0","","2.0","","25","","","","<31",""
"2012-01-17","2012","01","17","","-25.6","","-31.6","","-28.6","","46.6","","0.0","","0.0","","2.7","","1.0","","26","","","","<31",""
"2012-01-18","2012","01","18","","-28.3","","-38.8","","-33.6","","51.6","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
"2012-01-19","2012","01","19","","-25.5","","-38.1","","-31.8","","49.8","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"2012-01-20","2012","01","20","","-6.6","","-25.6","","-16.1","","34.1","","0.0","","0.0","","1.2","","0.8","","28","","","","<31",""
"2012-01-21","2012","01","21","","-2.8","","-10.6","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"2012-01-22","2012","01","22","","-1.6","","-13.9","","-7.8","","25.8","","0.0","","0.0","","0.4","","0.4","","27","","14","E","65","E"
"2012-01-23","2012","01","23","","1.4","","-6.7","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","28","","13","E","56","E"
"2012-01-24","2012","01","24","","1.8","","-1.8","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","26","","15","E","78","E"
"2012-01-25","2012","01","25","","3.3","","-4.2","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","26","","15","E","37","E"
"2012-01-26","2012","01","26","","-0.3","","-10.1","","-5.2","","23.2","","0.0","","0.0","","0.0","T","0.0","T","21","","27","E","41","E"
"2012-01-27","2012","01","27","","0.8","","-7.7","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","21","","","","<31",""
"2012-01-28","2012","01","28","","-0.3","","-4.6","","-2.5","","20.5","","0.0","","0.0","","27.2","","15.8","","22","","13","E","43","E"
"2012-01-29","2012","01","29","","6.6","","-1.6","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","45","","14","E","43","E"
"2012-01-30","2012","01","30","","4.1","","-2.8","","0.7","","17.3","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"2012-01-31","2012","01","31","","4.4","","-2.7","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","33","","14","E","33","E"
"2012-02-01","2012","02","01","","2.1","","-8.1","","-3.0","","21.0","","0.0","","0.0","","0.4","","0.4","","32","","","","<31",""
"2012-02-02","2012","02","02","","1.9","","-8.2","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"2012-02-03","2012","02","03","","6.7","","-7.1","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","30","","14","E","37","E"
"2012-02-04","2012","02","04","","5.7","","-3.8","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","30","","14","E","37","E"
"2012-02-05","2012","02","05","","4.4","","-10.5","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","30","","14","E","32","E"
"2012-02-06","2012","02","06","","2.4","","-12.6","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"2012-02-07","2012","02","07","","5.7","","-7.0","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","30","","15","E","37","E"
"2012-02-08","2012","02","08","","3.8","","-8.2","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
