station_name,BLUE RIVER A
province,BRITISH COLUMBIA
latitude,52.13
longitude,-119.29
elevation,690.40
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,-4.2,,-10.0,,-7.1,,25.1,,0.0,,0.0,,12.2,,9.2,,58,,,,,
2010-01-02,2010,01,02,†,-0.2,,-7.2,,-3.7,,21.7,,0.0,,0.0,,1.8,,0.6,,67,,,,,
2010-01-03,2010,01,03,†,1.2,,-3.0,,-0.9,,18.9,,0.0,,0.0,,0.2,,0.0,T,63,,,,,
2010-01-04,2010,01,04,†,-2.0,,-4.0,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,58,,,,,
2010-01-05,2010,01,05,†,-2.8,,-12.6,,-7.7,,25.7,,0.0,,0.0,,0.0,,0.0,,56,,,,,
2010-01-06,2010,01,06,†,-10.6,,-25.4,,-18.0,,36.0,,0.0,,0.0,,0.0,,0.0,,54,,,,,
2010-01-07,2010,01,07,†,-11.3,,-26.3,,-18.8,,36.8,,0.0,,0.0,,0.0,,0.0,,54,,,,,
2010-01-08,2010,01,08,†,-5.3,,-21.3,,-13.3,,31.3,,0.0,,0.0,,6.2,,5.4,,54,,,,,
2010-01-09,2010,01,09,†,-1.8,,-7.6,,-4.7,,22.7,,0.0,,0.0,,1.8,,1.0,,58,,,,,
2010-01-10,2010,01,10,†,0.8,,-3.3,,-1.3,,19.3,,0.0,,4.8,,3.0,,7.8,,58,,,,,
2010-01-11,2010,01,11,†,1.2,,-0.8,,0.2,,17.8,,0.0,,13.2,,0.0,,13.2,,53,,,,,
2010-01-12,2010,01,12,†,1.3,,0.1,,0.7,,17.3,,0.0,,1.4,,0.0,,1.4,,50,,,,,
2010-01-13,2010,01,13,†,2.8,,0.2,,1.5,,16.5,,0.0,,5.6,,0.0,,5.6,,45,,,,,
2010-01-14,2010,01,14,†,4.2,,0.3,,2.3,,15.7,,0.0,,13.8,,1.0,,14.8,,44,,,,,
2010-01-15,2010,01,15,†,4.5,,0.0,,2.3,,15.7,,0.0,,13.4,,2.0,,15.4,,40,,,,,
2010-01-16,2010,01,16,†,1.8,,-4.3,,-1.3,,19.3,,0.0,,0.0,,0.4,,0.0,T,38,,,,,
2010-01-17,2010,01,17,†,-2.3,,-9.0,,-5.7,,23.7,,0.0,,0.0,,6.0,,3.8,,38,,,,,
2010-01-18,2010,01,18,†,0.2,,-7.9,,-3.9,,21.9,,0.0,,1.0,,2.0,,2.6,,44,,,,,
2010-01-19,2010,01,19,†,0.8,,-1.2,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-01-20,2010,01,20,†,0.8,,-2.8,,-1.0,,19.0,,0.0,,0.0,,0.4,,0.2,,43,,,,,
2010-01-21,2010,01,21,†,0.4,,-3.0,,-1.3,,19.3,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-01-22,2010,01,22,†,0.6,,-6.8,,-3.1,,21.1,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-01-23,2010,01,23,†,-1.9,,-11.4,,-6.7,,24.7,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-01-24,2010,01,24,†,-6.2,,-16.5,,-11.4,,29.4,,0.0,,0.0,,2.4,,1.0,,43,,,,,
2010-01-25,2010,01,25,†,-5.3,,-17.2,,-11.3,,29.3,,0.0,,0.0,,5.4,,3.2,,45,,,,,
2010-01-26,2010,01,26,†,-2.1,,-8.2,,-5.2,,23.2,,0.0,,0.0,,0.0,,0.0,,50,,,,,
2010-01-27,2010,01,27,†,-2.8,,-13.2,,-8.0,,26.0,,0.0,,0.0,,0.0,,0.0,,48,,,,,
2010-01-28,2010,01,28,†,-3.0,,-13.2,,-8.1,,26.1,,0.0,,0.0,,0.4,,0.2,,47,,,,,
2010-01-29,2010,01,29,†,1.0,,-6.7,,-2.9,,20.9,,0.0,,0.0,,0.0,T,0.0,T,47,,,,,
2010-01-30,2010,01,30,†,1.7,,-5.0,,-1.7,,19.7,,0.0,,0.6,,3.4,,3.0,,47,,,,,
2010-01-31,2010,01,31,†,2.1,,-1.0,,0.6,,17.4,,0.0,,0.0,,2.8,,1.4,,49,,,,,
2010-02-01,2010,02,01,†,2.2,,-1.6,,0.3,,17.7,,0.0,,0.0,,3.8,,3.0,,50,,,,,
2010-02-02,2010,02,02,†,2.8,,0.0,,1.4,,16.6,,0.0,,0.0,T,2.7,,1.6,,51,,,,,
2010-02-03,2010,02,03,†,2.8,,-0.3,,1.3,,16.7,,0.0,,0.0,T,1.2,,0.4,,50,,,,,
2010-02-04,2010,02,04,†,2.0,,-0.6,,0.7,,17.3,,0.0,,0.0,,0.0,T,0.0,T,49,,,,,
2010-02-05,2010,02,05,†,1.4,,-1.3,,0.1,,17.9,,0.0,,0.0,,0.4,,0.2,,48,,,,,
2010-02-06,2010,02,06,†,1.7,,-1.4,,0.2,,17.8,,0.0,,0.0,,0.0,T,0.0,T,48,,,,,
2010-02-07,2010,02,07,†,2.4,,-4.7,,-1.2,,19.2,,0.0,,0.0,,0.2,,0.0,T,48,,,,,
2010-02-08,2010,02,08,†,-0.7,,-9.0,,-4.9,,22.9,,0.0,,0.0,,2.4,,0.6,,48,,,,,
2010-02-09,2010,02,09,†,0.6,,-4.9,,-2.2,,20.2,,0.0,,0.0,,2.8,,1.2,,50,,,,,
2010-02-10,2010,02,10,†,1.7,,-3.0,,-0.7,,18.7,,0.0,,0.0,,2.2,,0.4,,52,,,,,
2010-02-11,2010,02,11,†,2.3,,-1.5,,0.4,,17.6,,0.0,,0.0,T,1.4,,1.0,,53,,,,,
2010-02-12,2010,02,12,†,4.9,,-0.7,,2.1,,15.9,,0.0,,0.6,,0.0,,0.6,,53,,,,,
2010-02-13,2010,02,13,†,5.8,,0.2,,3.0,,15.0,,0.0,,0.4,,0.0,T,0.4,,48,,,,,
2010-02-14,2010,02,14,†,4.2,,-0.5,,1.9,,16.1,,0.0,,4.8,,0.0,T,4.8,,46,,,,,
2010-02-15,2010,02,15,†,6.0,,-0.2,,2.9,,15.1,,0.0,,0.0,,1.8,,1.2,,45,,,,,
2010-02-16,2010,02,16,†,3.8,,-1.5,,1.2,,16.8,,0.0,,5.2,,2.6,,7.8,,45,,,,,
2010-02-17,2010,02,17,†,6.3,,-0.3,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,45,,,,,
2010-02-18,2010,02,18,†,5.0,,-8.8,,-1.9,,19.9,,0.0,,0.0,,0.0,,0.0,,45,,,,,
2010-02-19,2010,02,19,†,3.8,,-8.0,,-2.1,,20.1,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-02-20,2010,02,20,†,3.4,,-9.2,,-2.9,,20.9,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-02-21,2010,02,21,†,3.0,,-10.6,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-02-22,2010,02,22,†,4.3,,-11.3,,-3.5,,21.5,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-02-23,2010,02,23,†,2.3,,-12.4,,-5.1,,23.1,,0.0,,0.0,,1.2,,0.4,,43,,,,,
2010-02-24,2010,02,24,†,3.2,,-2.4,,0.4,,17.6,,0.0,,2.0,,1.3,,3.3,,44,,,,,
