station_name,CHATHAM POINT
province,BRITISH COLUMBIA
latitude,50.33
longitude,-125.45
elevation,22.90
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,8.5,,3.0,,5.8,,12.2,,0.0,,18.2,,0.0,,18.2,,0,,,,,
2010-01-02,2010,01,02,†,6.5,,4.5,,5.5,,12.5,,0.0,,2.8,,0.0,,2.8,,0,,,,,
2010-01-03,2010,01,03,†,6.5,,5.5,,6.0,,12.0,,0.0,,6.0,,0.0,,6.0,,0,,,,,
2010-01-04,2010,01,04,†,6.0,,5.0,,5.5,,12.5,,0.0,,1.8,,0.0,,1.8,,0,,,,,
2010-01-05,2010,01,05,†,7.0,,4.0,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-06,2010,01,06,†,6.0,,4.0,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-07,2010,01,07,†,5.0,,3.5,,4.3,,13.7,,0.0,,6.2,,0.0,,6.2,,0,,,,,
2010-01-08,2010,01,08,†,8.0,,3.5,,5.8,,12.2,,0.0,,24.4,,0.0,,24.4,,0,,,,,
2010-01-09,2010,01,09,†,9.5,,7.0,,8.3,,9.7,,0.0,,6.4,,0.0,,6.4,,0,,,,,
2010-01-10,2010,01,10,†,9.5,,8.5,,9.0,,9.0,,0.0,,34.8,,0.0,,34.8,,0,,,,,
2010-01-11,2010,01,11,†,10.5,,8.5,,9.5,,8.5,,0.0,,58.4,,0.0,,58.4,,0,,,,,
2010-01-12,2010,01,12,†,10.0,,9.0,,9.5,,8.5,,0.0,,17.6,,0.0,,17.6,,0,,,,,
2010-01-13,2010,01,13,†,8.5,,8.0,,8.3,,9.7,,0.0,,12.6,,0.0,,12.6,,0,,,,,
2010-01-14,2010,01,14,†,8.5,,7.0,,7.8,,10.2,,0.0,,82.4,,0.0,,82.4,,0,,,,,
2010-01-15,2010,01,15,†,7.5,,4.0,,5.8,,12.2,,0.0,,3.2,,0.0,,3.2,,0,,,,,
2010-01-16,2010,01,16,†,7.5,,2.5,,5.0,,13.0,,0.0,,5.0,,0.0,,5.0,,0,,,,,
