station_name,DARFIELD
province,BRITISH COLUMBIA
latitude,51.30
longitude,-120.18
elevation,412.00
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,,,,,,,,,,,,,,,,,,,,,,,
2010-01-02,2010,01,02,†,1.5,,-5.0,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,15,,,,,
2010-01-03,2010,01,03,†,2.0,,-4.0,,-1.0,,19.0,,0.0,,0.0,,0.0,T,0.0,T,14,,,,,
2010-01-04,2010,01,04,†,1.5,,-1.0,,0.3,,17.7,,0.0,,0.0,,0.0,,0.0,,12,,,,,
2010-01-05,2010,01,05,†,-3.0,,-5.0,,-4.0,,22.0,,0.0,,0.0,,0.0,,0.0,,12,,,,,
2010-01-06,2010,01,06,†,-7.0,,-10.0,,-8.5,,26.5,,0.0,,0.0,,0.0,,0.0,,12,,,,,
2010-01-07,2010,01,07,†,-9.0,,-19.0,,-14.0,,32.0,,0.0,,0.0,,0.0,,0.0,,12,,,,,
2010-01-08,2010,01,08,†,-2.0,,-18.0,,-10.0,,28.0,,0.0,,0.0,,0.0,,0.0,,12,,,,,
2010-01-09,2010,01,09,†,5.0,,-9.0,,-2.0,,20.0,,0.0,,0.0,,0.0,,0.0,,11,,,,,
2010-01-10,2010,01,10,†,8.0,,-2.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,8,,,,,
2010-01-11,2010,01,11,†,10.0,,-1.0,,4.5,,13.5,,0.0,,0.2,,0.0,,0.2,,2,,,,,
2010-01-12,2010,01,12,†,9.0,,6.5,,7.8,,10.2,,0.0,,0.2,,0.0,,0.2,,0,,,,,
2010-01-13,2010,01,13,†,5.0,,1.5,,3.3,,14.7,,0.0,,3.0,,0.0,,3.0,,0,,,,,
2010-01-14,2010,01,14,†,8.0,,1.0,,4.5,,13.5,,0.0,,0.2,,0.0,,0.2,,0,,,,,
2010-01-15,2010,01,15,†,9.0,,2.0,,5.5,,12.5,,0.0,,1.6,,0.0,,1.6,,0,,,,,
2010-01-16,2010,01,16,†,2.0,,-4.0,,-1.0,,19.0,,0.0,,0.0,,0.0,T,0.0,T,0,,,,,
2010-01-17,2010,01,17,†,5.5,,-4.5,,0.5,,17.5,,0.0,,2.0,,0.0,,2.0,,0,,,,,
2010-01-18,2010,01,18,†,9.0,,-1.0,,4.0,,14.0,,0.0,,0.0,,0.0,T,0.0,T,0,,,,,
2010-01-19,2010,01,19,†,3.0,,-3.0,,0.0,,18.0,,0.0,,0.0,,0.0,T,0.0,T,0,T,,,,
2010-01-20,2010,01,20,†,3.0,,-2.0,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,0,T,,,,
2010-01-21,2010,01,21,†,3.0,,-3.0,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-22,2010,01,22,†,1.5,,-3.0,,-0.8,,18.8,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-23,2010,01,23,†,0.5,,-7.0,,-3.3,,21.3,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-24,2010,01,24,†,1.5,,-5.0,,-1.8,,19.8,,0.0,,0.0,,0.5,,0.5,,0,,,,,
2010-01-25,2010,01,25,†,2.0,,-3.0,,-0.5,,18.5,,0.0,,0.0,,0.0,T,0.0,T,1,,,,,
