station_name,ESTEVAN POINT
province,BRITISH COLUMBIA
latitude,49.38
longitude,-126.54
elevation,5.80
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,9.0,,7.0,,8.0,,10.0,,0.0,,5.0,,0.0,,5.0,,0,,,,,
2010-01-02,2010,01,02,†,8.0,,6.0,,7.0,,11.0,,0.0,,8.0,,0.0,,8.0,,0,,,,,
2010-01-03,2010,01,03,†,7.0,,6.5,,6.8,,11.2,,0.0,,15.4,,0.0,,15.4,,0,,,,,
2010-01-04,2010,01,04,†,9.5,,6.0,,7.8,,10.2,,0.0,,1.8,,0.0,,1.8,,0,,,,,
2010-01-05,2010,01,05,†,9.5,,7.0,,8.3,,9.7,,0.0,,0.6,,0.0,,0.6,,0,,,,,
2010-01-06,2010,01,06,†,10.0,,7.5,,8.8,,9.2,,0.0,,1.0,,0.0,,1.0,,0,,,,,
2010-01-07,2010,01,07,†,10.0,,7.5,,8.8,,9.2,,0.0,,19.6,,0.0,,19.6,,0,,,,,
2010-01-08,2010,01,08,†,9.5,,8.5,,9.0,,9.0,,0.0,,31.8,,0.0,,31.8,,0,,,,,
2010-01-09,2010,01,09,†,9.5,,9.0,,9.3,,8.7,,0.0,,4.6,,0.0,,4.6,,0,,,,,
2010-01-10,2010,01,10,†,10.5,,9.0,,9.8,,8.2,,0.0,,49.6,,0.0,,49.6,,0,,,,,
