station_name,FORT NELSON A
province,BRITISH COLUMBIA
latitude,58.84
longitude,-122.60
elevation,381.90
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,,-22.3,,-35.3,,-28.8,,46.8,,0.0,,0.0,,0.0,T,0.0,T,31,,,,,
2010-01-02,2010,01,02,,-22.4,,-32.3,,-27.4,,45.4,,0.0,,0.0,,0.0,T,0.0,T,31,,,,,
2010-01-03,2010,01,03,,-26.7,,-33.1,,-29.9,,47.9,,0.0,,0.0,,0.0,,0.0,,31,,,,,
2010-01-04,2010,01,04,,-24.9,,-31.8,,-28.4,,46.4,,0.0,,0.0,,0.0,,0.0,,31,,,,,
2010-01-05,2010,01,05,,-25.3,,-33.0,,-29.2,,47.2,,0.0,,0.0,,0.0,,0.0,,31,,,,,
2010-01-06,2010,01,06,,-24.4,,-30.8,,-27.6,,45.6,,0.0,,0.0,,0.0,,0.0,,30,,,,,
2010-01-07,2010,01,07,,-18.3,,-26.4,,-22.4,,40.4,,0.0,,0.0,,0.0,,0.0,,30,,,,,
2010-01-08,2010,01,08,,-7.8,,-19.8,,-13.8,,31.8,,0.0,,0.0,T,0.0,T,0.0,T,30,,,,,
2010-01-09,2010,01,09,,-13.7,,-18.1,,-15.9,,33.9,,0.0,,0.0,,2.2,,1.6,,30,,,,,
2010-01-10,2010,01,10,,-17.5,,-19.9,,-18.7,,36.7,,0.0,,0.0,,2.2,,2.2,,31,,,,,
2010-01-11,2010,01,11,,-19.9,,-27.4,,-23.7,,41.7,,0.0,,0.0,,1.0,,0.0,T,33,,,,,
2010-01-12,2010,01,12,,-25.9,,-27.0,,-26.5,,44.5,,0.0,,0.0,,3.8,,4.0,,33,,,,,
2010-01-13,2010,01,13,,-23.5,,-26.0,,-24.8,,42.8,,0.0,,0.0,,0.0,T,0.0,T,36,,,,,
2010-01-14,2010,01,14,,-20.6,,-25.1,,-22.9,,40.9,,0.0,,0.0,,0.0,T,0.0,T,36,,,,,
2010-01-15,2010,01,15,,-17.4,,-21.1,,-19.3,,37.3,,0.0,,0.0,,0.0,T,0.0,T,36,,,,,
2010-01-16,2010,01,16,,-17.7,,-24.0,,-20.9,,38.9,,0.0,,0.0,,0.0,,0.0,,36,,,,,
2010-01-17,2010,01,17,,-15.5,,-22.0,,-18.8,,36.8,,0.0,,0.0,,0.0,,0.0,,36,,,,,
2010-01-18,2010,01,18,,-14.9,,-23.3,,-19.1,,37.1,,0.0,,0.0,,0.0,,0.0,,36,,,,,
2010-01-19,2010,01,19,,-14.6,,-16.5,,-15.6,,33.6,,0.0,,0.0,,0.6,,0.4,,35,,,,,
2010-01-20,2010,01,20,,-12.9,,-15.0,,-14.0,,32.0,,0.0,,0.0,,0.2,,0.0,T,35,,,,,
2010-01-21,2010,01,21,,-12.0,,-15.2,,-13.6,,31.6,,0.0,,0.0,,2.2,,0.2,,37,,,,,
2010-01-22,2010,01,22,,-10.3,,-12.2,,-11.3,,29.3,,0.0,,0.0,,7.2,,2.8,,37,,,,,
2010-01-23,2010,01,23,,-12.0,,-15.2,,-13.6,,31.6,,0.0,,0.0,,5.2,,3.2,,43,,,,,
2010-01-24,2010,01,24,,-14.5,,-16.0,,-15.3,,33.3,,0.0,,0.0,,3.0,,0.8,,46,,,,,
2010-01-25,2010,01,25,,-14.6,,-23.5,,-19.1,,37.1,,0.0,,0.0,,0.0,T,0.0,T,46,,,,,
2010-01-26,2010,01,26,,-19.5,,-28.9,,-24.2,,42.2,,0.0,,0.0,,0.0,,0.0,,46,,,,,
2010-01-27,2010,01,27,,-16.0,,-26.6,,-21.3,,39.3,,0.0,,0.0,,0.0,,0.0,,46,,,,,
2010-01-28,2010,01,28,,-15.3,,-25.5,,-20.4,,38.4,,0.0,,0.0,,2.4,,2.0,,46,,,,,
2010-01-29,2010,01,29,,-13.8,,-15.4,,-14.6,,32.6,,0.0,,0.0,,0.0,T,0.0,T,45,,,,,
2010-01-30,2010,01,30,,-15.3,,-20.7,,-18.0,,36.0,,0.0,,0.0,,4.4,,4.0,,45,,,,,
2010-01-31,2010,01,31,,-18.6,,-21.0,,-19.8,,37.8,,0.0,,0.0,,3.6,,2.2,,48,,,,,
2010-02-01,2010,02,01,,-15.5,,-19.0,,-17.3,,35.3,,0.0,,0.0,,6.6,,5.2,,52,,,,,
2010-02-02,2010,02,02,,-15.9,,-24.1,,-20.0,,38.0,,0.0,,0.0,,3.4,,1.6,,53,,,,,
2010-02-03,2010,02,03,,-16.6,,-19.9,,-18.3,,36.3,,0.0,,0.0,,1.6,,0.8,,54,,,,,
2010-02-04,2010,02,04,,-13.5,,-22.5,,-18.0,,36.0,,0.0,,0.0,,0.0,T,0.0,T,54,,,,,
2010-02-05,2010,02,05,,-16.2,,-22.6,,-19.4,,37.4,,0.0,,0.0,,0.0,T,0.0,T,53,,,,,
2010-02-06,2010,02,06,,-12.9,,-17.7,,-15.3,,33.3,,0.0,,0.0,,0.0,T,0.0,T,53,,,,,
2010-02-07,2010,02,07,,-8.9,,-18.2,,-13.6,,31.6,,0.0,,0.0,,0.0,,0.0,,53,,,,,
2010-02-08,2010,02,08,,-7.5,,-21.3,,-14.4,,32.4,,0.0,,0.0,,0.0,,0.0,,52,,,,,
2010-02-09,2010,02,09,,-4.8,,-19.7,,-12.3,,30.3,,0.0,,0.0,,0.0,,0.0,,50,,,,,
2010-02-10,2010,02,10,,-4.5,,-20.2,,-12.4,,30.4,,0.0,,0.0,,0.0,,0.0,,49,,,,,
2010-02-11,2010,02,11,,-7.7,,-18.6,,-13.2,,31.2,,0.0,,0.0,,0.0,,0.0,,48,,,,,
2010-02-12,2010,02,12,,-11.6,,-19.4,,-15.5,,33.5,,0.0,,0.0,,0.0,T,0.0,T,48,,,,,
2010-02-13,2010,02,13,,-5.0,,-19.8,,-12.4,,30.4,,0.0,,0.0,,0.0,,0.0,,48,,,,,
2010-02-14,2010,02,14,,-6.0,,-16.4,,-11.2,,29.2,,0.0,,0.0,,0.0,T,0.0,T,47,,,,,
2010-02-15,2010,02,15,,-0.7,,-16.5,,-8.6,,26.6,,0.0,,0.0,,0.0,,0.0,,47,,,,,
2010-02-16,2010,02,16,,-6.1,,-17.4,,-11.8,,29.8,,0.0,,0.0,,0.0,,0.0,,46,,,,,
2010-02-17,2010,02,17,,1.4,,-16.4,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,44,,,,,
2010-02-18,2010,02,18,,3.6,,-11.9,,-4.2,,22.2,,0.0,,0.0,,0.0,,0.0,,42,,,,,
2010-02-19,2010,02,19,,1.9,,-14.8,,-6.5,,24.5,,0.0,,0.0,,0.0,,0.0,,41,,,,,
2010-02-20,2010,02,20,,3.9,,-15.0,,-5.6,,23.6,,0.0,,0.0,,0.0,,0.0,,41,,,,,
2010-02-21,2010,02,21,,-3.2,,-12.4,,-7.8,,25.8,,0.0,,0.0,,0.0,,0.0,,40,,,,,
2010-02-22,2010,02,22,,-8.9,,-13.4,,-11.2,,29.2,,0.0,,0.0,,2.6,,0.2,,40,,,,,
2010-02-23,2010,02,23,,-7.4,,-17.4,,-12.4,,30.4,,0.0,,0.0,,0.0,T,0.0,T,44,,,,,
2010-02-24,2010,02,24,,-9.7,,-15.0,,-12.4,,30.4,,0.0,,0.0,,0.4,,0.0,T,43,,,,,
2010-02-25,2010,02,25,,-10.8,,-14.8,,-12.8,,30.8,,0.0,,0.0,,2.0,,0.0,T,43,,,,,
2010-02-26,2010,02,26,,-5.8,,-13.2,,-9.5,,27.5,,0.0,,0.0,,0.4,,0.0,T,43,,,,,
2010-02-27,2010,02,27,,-3.8,,-15.2,,-9.5,,27.5,,0.0,,0.0,,0.2,,0.0,T,43,,,,,
2010-02-28,2010,02,28,,-1.0,,-20.0,,-10.5,,28.5,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-03-01,2010,03,01,,-0.5,,-13.9,,-7.2,,25.2,,0.0,,0.0,,0.0,,0.0,,43,,,,<31,
2010-03-02,2010,03,02,,8.7,,-9.0,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,42,,,,<31,
2010-03-03,2010,03,03,,9.4,,-5.5,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,38,,,,<31,
2010-03-04,2010,03,04,,6.0,,-9.0,,-1.5,,19.5,,0.0,,0.0,,0.0,,0.0,,36,,,,<31,
2010-03-05,2010,03,05,,6.7,,-8.2,,-0.8,,18.8,,0.0,,0.0,,0.0,,0.0,,36,,,,<31,
2010-03-06,2010,03,06,,3.4,,-5.7,,-1.2,,19.2,,0.0,,0.0,,0.0,,0.0,,35,,,,<31,
2010-03-07,2010,03,07,,4.0,,-7.2,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,34,,,,<31,
2010-03-08,2010,03,08,,3.1,,-8.5,,-2.7,,20.7,,0.0,,0.0,,0.0,,0.0,,38,,,,<31,
2010-03-09,2010,03,09,,6.8,,-12.8,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,38,,,,<31,
2010-03-10,2010,03,10,,5.2,,-7.5,,-1.2,,19.2,,0.0,,0.0,,0.0,,0.0,,38,,,,<31,
2010-03-11,2010,03,11,,5.8,,-8.9,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,37,,,,<31,
2010-03-12,2010,03,12,,4.7,,-9.5,,-2.4,,20.4,,0.0,,0.0,,0.0,,0.0,,36,,26,E,37,E
2010-03-13,2010,03,13,,8.5,,-8.9,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,36,,18,E,41,E
2010-03-14,2010,03,14,,6.9,,-8.3,,-0.7,,18.7,,0.0,,0.0,,0.0,,0.0,,35,,,,<31,
2010-03-15,2010,03,15,,13.1,,-2.0,,5.6,,12.4,,0.0,,0.4,,0.0,,0.4,,34,,22,E,37,E
2010-03-16,2010,03,16,,9.7,,-6.4,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,28,,,,<31,
2010-03-17,2010,03,17,,3.5,,-12.3,,-4.4,,22.4,,0.0,,0.0,,8.8,,7.8,,28,,34,E,41,E
2010-03-18,2010,03,18,,-5.0,,-18.5,,-11.8,,29.8,,0.0,,0.0,,0.4,,0.0,T,33,,,,<31,
