station_name,GERMANSEN LANDING
province,BRITISH COLUMBIA
latitude,55.79
longitude,-124.70
elevation,766.00
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,-14.6,,-26.2,,-20.4,,38.4,,0.0,,0.0,,1.4,,1.4,,56,,,,,
2010-01-02,2010,01,02,†,-13.0,,-17.4,,-15.2,,33.2,,0.0,,0.0,,1.8,,1.8,,56,,,,,
2010-01-03,2010,01,03,†,-18.6,,-28.0,,-23.3,,41.3,,0.0,,0.0,,0.0,,0.0,,55,,,,,
2010-01-04,2010,01,04,†,-22.2,,-31.1,,-26.7,,44.7,,0.0,,0.0,,0.0,,0.0,,56,,,,,
2010-01-05,2010,01,05,†,-24.0,,-33.9,,-29.0,,47.0,,0.0,,0.0,,0.0,,0.0,,55,,,,,
2010-01-06,2010,01,06,†,-15.6,,-33.2,,-24.4,,42.4,,0.0,,0.0,,0.0,T,0.0,T,55,,,,,
2010-01-07,2010,01,07,†,-8.6,,-21.4,,-15.0,,33.0,,0.0,,0.0,,2.0,,2.0,,54,,,,,
2010-01-08,2010,01,08,†,-4.8,,-11.3,,-8.1,,26.1,,0.0,,0.0,,1.6,,1.6,,57,,,,,
2010-01-09,2010,01,09,†,0.4,,-7.0,,-3.3,,21.3,,0.0,,1.9,,1.2,,3.1,,58,,,,,
2010-01-10,2010,01,10,†,2.9,,-6.0,,-1.6,,19.6,,0.0,,7.8,,0.0,,7.8,,57,,,,,
2010-01-11,2010,01,11,†,5.2,,0.2,,2.7,,15.3,,0.0,,3.9,,0.0,,3.9,,53,,,,,
2010-01-12,2010,01,12,†,3.5,,-0.5,,1.5,,16.5,,0.0,,0.0,T,0.0,,0.0,T,51,,,,,
2010-01-13,2010,01,13,†,1.0,,-2.1,,-0.6,,18.6,,0.0,,0.0,,0.0,,0.0,,47,,,,,
2010-01-14,2010,01,14,†,2.8,,-1.8,,0.5,,17.5,,0.0,,2.4,,1.5,,3.9,,46,,,,,
2010-01-15,2010,01,15,†,2.9,,0.0,,1.5,,16.5,,0.0,,0.0,,0.0,,0.0,,46,,,,,
2010-01-16,2010,01,16,†,1.2,,-8.1,,-3.5,,21.5,,0.0,,0.0,,0.0,,0.0,,45,,,,,
2010-01-17,2010,01,17,†,1.6,,-9.0,,-3.7,,21.7,,0.0,,0.0,,2.9,,2.9,,46,,,,,
2010-01-18,2010,01,18,†,-2.4,,-11.9,,-7.2,,25.2,,0.0,,0.0,,3.1,,2.1,,48,,,,,
