station_name,GLACIER NP ROGERS PASS
province,BRITISH COLUMBIA
latitude,51.30
longitude,-117.52
elevation,1330.00
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,-3.5,,-10.0,,-6.8,,24.8,,0.0,,0.0,,22.0,,22.0,,125,,,,,
2010-01-02,2010,01,02,†,-1.5,,-7.0,,-4.3,,22.3,,0.0,,0.0,,12.0,,12.0,,136,,,,,
2010-01-03,2010,01,03,†,-1.0,,-3.0,,-2.0,,20.0,,0.0,,0.0,,2.0,,2.0,,137,,,,,
2010-01-04,2010,01,04,†,-3.0,,-4.5,,-3.8,,21.8,,0.0,,0.0,,3.0,,3.0,,130,,,,,
2010-01-05,2010,01,05,†,-5.0,,-6.0,,-5.5,,23.5,,0.0,,0.0,,1.0,,1.0,,128,,,,,
2010-01-06,2010,01,06,†,-14.0,,-15.0,,-14.5,,32.5,,0.0,,0.0,,0.0,T,0.0,T,123,,,,,
2010-01-07,2010,01,07,†,-15.0,,-18.0,,-16.5,,34.5,,0.0,,0.0,,0.0,T,0.0,T,121,,,,,
2010-01-08,2010,01,08,†,-12.5,,-18.0,,-15.3,,33.3,,0.0,,0.0,,6.0,,6.0,,116,,,,,
2010-01-09,2010,01,09,†,-8.5,,-14.0,,-11.3,,29.3,,0.0,,0.0,,3.0,,3.0,,120,,,,,
2010-01-10,2010,01,10,†,-4.0,,-11.0,,-7.5,,25.5,,0.0,,0.0,,5.0,,5.0,,120,,,,,
2010-01-11,2010,01,11,†,0.0,,-6.5,,-3.3,,21.3,,0.0,,2.5,,10.0,,12.5,,124,,,,,
2010-01-12,2010,01,12,†,0.5,,-1.5,,-0.5,,18.5,,0.0,,1.5,,6.0,,7.5,,126,,,,,
2010-01-13,2010,01,13,†,1.0,,-1.0,,0.0,,18.0,,0.0,,0.0,,5.0,,5.0,,125,,,,,
2010-01-14,2010,01,14,†,0.0,,-1.0,,-0.5,,18.5,,0.0,,0.0,,18.0,,18.0,,126,,,,,
2010-01-15,2010,01,15,†,0.5,,-1.0,,-0.3,,18.3,,0.0,,0.0,,30.0,,30.0,,136,,,,,
2010-01-16,2010,01,16,†,-0.5,,-4.0,,-2.3,,20.3,,0.0,,0.0,,0.0,T,0.0,T,157,,,,,
2010-01-17,2010,01,17,†,-4.5,,-12.0,,-8.3,,26.3,,0.0,,0.0,,3.0,,3.0,,147,,,,,
2010-01-18,2010,01,18,†,-1.0,,-5.5,,-3.3,,21.3,,0.0,,0.0,,1.0,,1.0,,144,,,,,
2010-01-19,2010,01,19,†,-3.0,,-5.5,,-4.3,,22.3,,0.0,,0.0,,0.0,T,0.0,T,141,,,,,
2010-01-20,2010,01,20,†,-3.0,,-4.5,,-3.8,,21.8,,0.0,,0.0,,0.0,T,0.0,T,135,,,,,
2010-01-21,2010,01,21,†,-3.5,,-4.5,,-4.0,,22.0,,0.0,,0.0,,0.0,,0.0,,132,,,,,
2010-01-22,2010,01,22,†,-5.0,,-5.5,,-5.3,,23.3,,0.0,,0.0,,0.0,T,0.0,T,130,,,,,
2010-01-23,2010,01,23,†,-7.0,,-8.0,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,128,,,,,
2010-01-24,2010,01,24,†,-7.5,,-13.0,,-10.3,,28.3,,0.0,,0.0,,4.0,,4.0,,127,,,,,
2010-01-25,2010,01,25,†,-6.0,,-9.5,,-7.8,,25.8,,0.0,,0.0,,5.0,,5.0,,128,,,,,
2010-01-26,2010,01,26,†,-5.0,,-7.0,,-6.0,,24.0,,0.0,,0.0,,0.0,T,0.0,T,130,,,,,
2010-01-27,2010,01,27,†,-8.5,,-9.0,,-8.8,,26.8,,0.0,,0.0,,0.0,T,0.0,T,127,,,,,
2010-01-28,2010,01,28,†,-6.5,,-9.5,,-8.0,,26.0,,0.0,,0.0,,0.0,T,0.0,T,125,,,,,
2010-01-29,2010,01,29,†,-4.0,,-7.0,,-5.5,,23.5,,0.0,,0.0,,0.0,,0.0,,122,,,,,
2010-01-30,2010,01,30,†,-2.5,,-5.0,,-3.8,,21.8,,0.0,,0.0,,4.0,,4.0,,120,,,,,
