station_name,GOLDEN A
province,BRITISH COLUMBIA
latitude,51.30
longitude,-116.98
elevation,784.90
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,-3.6,,-8.9,,-6.3,,24.3,,0.0,,0.0,,6.2,,4.8,,27,,,,,
2010-01-02,2010,01,02,†,-0.5,,-6.6,,-3.6,,21.6,,0.0,,0.0,,0.4,,0.2,,29,,,,,
2010-01-03,2010,01,03,†,0.2,,-4.6,,-2.2,,20.2,,0.0,,0.0,,1.6,,1.0,,27,,,,,
2010-01-04,2010,01,04,†,-0.5,,-3.6,,-2.1,,20.1,,0.0,,0.0,,0.8,,0.2,,26,,,,,
2010-01-05,2010,01,05,†,-1.4,,-3.8,,-2.6,,20.6,,0.0,,0.0,,0.0,T,0.0,T,26,,,,,
2010-01-06,2010,01,06,†,-10.3,,-19.3,,-14.8,,32.8,,0.0,,0.0,,0.0,,0.0,,25,,,,,
2010-01-07,2010,01,07,†,-15.6,,-23.2,,-19.4,,37.4,,0.0,,0.0,,0.0,,0.0,,25,,,,,
2010-01-08,2010,01,08,†,-10.2,,-21.0,,-15.6,,33.6,,0.0,,0.0,,0.2,,0.0,T,25,,,,,
2010-01-09,2010,01,09,†,-7.9,,-14.4,,-11.2,,29.2,,0.0,,0.0,,1.0,,0.6,,25,,,,,
2010-01-10,2010,01,10,†,-4.1,,-9.4,,-6.8,,24.8,,0.0,,0.0,,1.2,,0.8,,24,,,,,
2010-01-11,2010,01,11,†,2.8,,-5.8,,-1.5,,19.5,,0.0,,1.6,,2.4,,3.6,,25,,,,,
2010-01-12,2010,01,12,†,3.7,,-0.7,,1.5,,16.5,,0.0,,1.4,,0.0,,1.4,,26,,,,,
2010-01-13,2010,01,13,†,3.1,,-0.2,,1.5,,16.5,,0.0,,0.2,,0.0,,0.2,,22,,,,,
2010-01-14,2010,01,14,†,5.2,,-0.4,,2.4,,15.6,,0.0,,0.0,,0.0,,0.0,,22,,,,,
2010-01-15,2010,01,15,†,4.0,,1.8,,2.9,,15.1,,0.0,,4.6,,0.0,T,4.6,,17,,,,,
2010-01-16,2010,01,16,†,1.0,,-0.6,,0.2,,17.8,,0.0,,0.0,,0.0,,0.0,,12,,,,,
2010-01-17,2010,01,17,†,-0.6,,-3.5,,-2.1,,20.1,,0.0,,0.0,,2.2,,1.8,,11,,,,,
2010-01-18,2010,01,18,†,3.6,,-2.6,,0.5,,17.5,,0.0,,0.0,T,0.2,,0.0,T,13,,,,,
2010-01-19,2010,01,19,†,1.1,,-1.9,,-0.4,,18.4,,0.0,,0.0,,0.0,,0.0,,11,,,,,
2010-01-20,2010,01,20,†,1.1,,-2.5,,-0.7,,18.7,,0.0,,0.0,,0.0,,0.0,,10,,,,,
2010-01-21,2010,01,21,†,0.0,,-4.2,,-2.1,,20.1,,0.0,,0.0,,0.0,,0.0,,10,,,,,
2010-01-22,2010,01,22,†,0.0,,-6.6,,-3.3,,21.3,,0.0,,0.0,,0.0,,0.0,,10,,,,,
2010-01-23,2010,01,23,†,-1.8,,-10.2,,-6.0,,24.0,,0.0,,0.0,,0.0,,0.0,,10,,,,,
2010-01-24,2010,01,24,†,-2.8,,-11.4,,-7.1,,25.1,,0.0,,0.0,,1.2,,0.6,,9,,,,,
2010-01-25,2010,01,25,†,-0.7,,-6.9,,-3.8,,21.8,,0.0,,0.0,,1.4,,0.4,,10,,,,,
2010-01-26,2010,01,26,†,-0.3,,-4.6,,-2.5,,20.5,,0.0,,0.0,,0.0,T,0.0,T,11,,,,,
