station_name,KAMLOOPS A
province,BRITISH COLUMBIA
latitude,50.70
longitude,-120.44
elevation,345.30
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,,3.6,,-4.0,,-0.2,,18.2,,0.0,,0.0,,0.8,,0.4,,5,,9,E,33,E
2010-01-02,2010,01,02,,3.6,,-4.9,,-0.7,,18.7,,0.0,,0.0,,0.0,,0.0,,4,,,,<31,
2010-01-03,2010,01,03,,1.7,,-0.1,,0.8,,17.2,,0.0,,0.0,T,0.0,T,0.0,T,4,,,,<31,
2010-01-04,2010,01,04,,0.6,,-0.7,,-0.1,,18.1,,0.0,,0.0,,8.2,,7.4,,4,,,,<31,
2010-01-05,2010,01,05,,1.1,,-12.4,,-5.7,,23.7,,0.0,,0.0,,0.0,,0.0,,9,,28,E,50,E
2010-01-06,2010,01,06,,-8.2,,-15.4,,-11.8,,29.8,,0.0,,0.0,,0.0,,0.0,,8,,,,<31,
2010-01-07,2010,01,07,,-7.2,,-11.7,,-9.5,,27.5,,0.0,,0.0,,0.0,,0.0,,8,,,,<31,
2010-01-08,2010,01,08,,0.1,,-7.3,,-3.6,,21.6,,0.0,,0.0,,0.2,,0.2,,8,,,,<31,
2010-01-09,2010,01,09,,3.8,,-1.4,,1.2,,16.8,,0.0,,0.0,,0.0,T,0.0,T,8,,7,E,46,E
2010-01-10,2010,01,10,,4.5,,1.8,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,6,,10,E,32,E
2010-01-11,2010,01,11,,7.5,,3.1,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,3,,,,<31,
2010-01-12,2010,01,12,,7.8,,4.3,,6.1,,11.9,,0.0,,0.0,,0.0,,0.0,,3,,6,E,46,E
2010-01-13,2010,01,13,,5.7,,2.3,,4.0,,14.0,,0.0,,3.4,,0.0,,3.4,,0,,,,<31,
2010-01-14,2010,01,14,,7.2,,1.3,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,0,,7,E,46,E
2010-01-15,2010,01,15,,11.5,,3.8,,7.7,,10.3,,0.0,,0.3,,0.0,,0.3,,0,,33,E,61,E
2010-01-16,2010,01,16,,4.1,,-3.3,,0.4,,17.6,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-17,2010,01,17,,7.2,,-1.3,,3.0,,15.0,,0.0,,0.3,,0.0,,0.3,,0,,11,E,52,E
2010-01-18,2010,01,18,,9.2,,2.0,,5.6,,12.4,,0.0,,1.0,,0.0,,1.0,,0,,,,<31,
2010-01-19,2010,01,19,,7.9,,0.4,,4.2,,13.8,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-20,2010,01,20,,8.5,,2.3,,5.4,,12.6,,0.0,,0.0,,0.0,,0.0,,0,,10,E,32,E
2010-01-21,2010,01,21,,6.0,,0.1,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-22,2010,01,22,,3.9,,-4.3,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-23,2010,01,23,,1.8,,-6.1,,-2.2,,20.2,,0.0,,0.0,,0.0,,0.0,,0,,28,E,37,E
2010-01-24,2010,01,24,,3.6,,-1.0,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-25,2010,01,25,,7.1,,1.3,,4.2,,13.8,,0.0,,0.0,T,0.0,,0.0,T,0,,,,<31,
2010-01-26,2010,01,26,,6.3,,0.1,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-27,2010,01,27,,3.7,,-1.6,,1.1,,16.9,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-28,2010,01,28,,5.7,,0.5,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,0,,10,E,33,E
2010-01-29,2010,01,29,,6.8,,2.5,,4.7,,13.3,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-30,2010,01,30,,3.7,,0.9,,2.3,,15.7,,0.0,,3.8,,0.8,,4.4,,0,,,,<31,
2010-01-31,2010,01,31,,5.5,,1.8,,3.7,,14.3,,0.0,,0.0,T,0.0,,0.0,T,0,,,,<31,
2010-02-01,2010,02,01,,5.1,,0.9,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-02,2010,02,02,,5.0,,1.7,,3.4,,14.6,,0.0,,0.6,,0.0,,0.6,,0,,,,<31,
2010-02-03,2010,02,03,,6.5,,2.5,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-04,2010,02,04,,9.3,,1.3,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-05,2010,02,05,,6.2,,3.6,,4.9,,13.1,,0.0,,0.6,,0.0,,0.6,,0,,,,<31,
2010-02-06,2010,02,06,,6.9,,0.8,,3.9,,14.1,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-07,2010,02,07,,4.7,,-0.2,,2.3,,15.7,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-08,2010,02,08,,5.5,,2.4,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-09,2010,02,09,,6.0,,-1.1,,2.5,,15.5,,0.0,,0.0,T,0.0,,0.0,T,0,,,,<31,
2010-02-10,2010,02,10,,6.3,,-3.2,,1.6,,16.4,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-11,2010,02,11,,6.5,,-2.4,,2.1,,15.9,,0.0,,0.4,,0.0,,0.4,,0,,,,<31,
2010-02-12,2010,02,12,,7.5,,2.0,,4.8,,13.2,,0.0,,0.0,T,0.0,,0.0,T,0,,10,E,44,E
2010-02-13,2010,02,13,,11.9,,1.6,,6.8,,11.2,,0.0,,0.0,,0.0,,0.0,,0,,11,E,32,E
2010-02-14,2010,02,14,,12.2,,2.7,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,0,,9,E,35,E
2010-02-15,2010,02,15,,8.1,,1.2,,4.7,,13.3,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-16,2010,02,16,,9.1,,4.5,,6.8,,11.2,,0.0,,0.6,,0.0,,0.6,,0,,11,E,32,E
2010-02-17,2010,02,17,,10.4,,0.1,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,,27,E,52,E
2010-02-18,2010,02,18,,7.1,,-3.5,,1.8,,16.2,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-19,2010,02,19,,5.2,,-4.3,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-20,2010,02,20,,3.9,,-4.3,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-21,2010,02,21,,2.3,,-5.8,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-22,2010,02,22,,2.2,,-3.4,,-0.6,,18.6,,0.0,,0.0,,0.0,T,0.0,T,0,,,,<31,
2010-02-23,2010,02,23,,4.7,,-4.9,,-0.1,,18.1,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-24,2010,02,24,,7.5,,1.6,,4.6,,13.4,,0.0,,2.2,,0.0,,2.2,,0,,,,<31,
2010-02-25,2010,02,25,,13.9,,2.0,,8.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0,,19,E,39,E
2010-02-26,2010,02,26,,8.4,,1.7,,5.1,,12.9,,0.0,,2.6,,0.0,,2.6,,0,,10,,37,
