station_name,MERRITT STP
province,BRITISH COLUMBIA
latitude,50.11
longitude,-120.80
elevation,609.00
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,3.0,,-5.0,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-02,2010,01,02,†,-1.0,,-6.0,,-3.5,,21.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-03,2010,01,03,†,-2.0,,-8.5,,-5.3,,23.3,,0.0,,0.0,,0.0,T,0.0,T,0,,,,,
2010-01-04,2010,01,04,†,-1.5,,-7.0,,-4.3,,22.3,,0.0,,0.0,,8.0,,8.0,,0,,,,,
2010-01-05,2010,01,05,†,-2.0,,-12.0,,-7.0,,25.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-06,2010,01,06,†,-12.0,,-18.0,,-15.0,,33.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-07,2010,01,07,†,-3.0,,-19.0,,-11.0,,29.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-08,2010,01,08,†,0.5,,-12.5,,-6.0,,24.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-09,2010,01,09,†,4.0,,-3.5,,0.3,,17.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-10,2010,01,10,†,6.5,,-1.0,,2.8,,15.2,,0.0,,3.0,,0.0,,3.0,,0,,,,,
2010-01-11,2010,01,11,†,8.0,,0.5,,4.3,,13.7,,0.0,,0.6,,0.0,,0.6,,0,,,,,
2010-01-12,2010,01,12,†,9.0,,1.0,,5.0,,13.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-13,2010,01,13,†,6.5,,-1.0,,2.8,,15.2,,0.0,,0.6,,0.0,,0.6,,0,,,,,
2010-01-14,2010,01,14,†,8.0,,-2.0,,3.0,,15.0,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
2010-01-15,2010,01,15,†,7.5,,4.0,,5.8,,12.2,,0.0,,2.0,,0.0,,2.0,,0,,,,,
2010-01-16,2010,01,16,†,3.0,,-5.0,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-17,2010,01,17,†,7.5,,-4.5,,1.5,,16.5,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
2010-01-18,2010,01,18,†,10.5,,0.0,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-19,2010,01,19,†,6.0,,-3.0,,1.5,,16.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-20,2010,01,20,†,8.0,,-2.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-21,2010,01,21,†,9.0,,0.0,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-22,2010,01,22,†,4.0,,-4.5,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-23,2010,01,23,†,1.0,,-6.0,,-2.5,,20.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-24,2010,01,24,†,0.0,,-4.0,,-2.0,,20.0,,0.0,,0.0,,1.0,,1.0,,0,,,,,
2010-01-25,2010,01,25,†,5.0,,-2.0,,1.5,,16.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-26,2010,01,26,†,6.0,,-2.0,,2.0,,16.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
