station_name,PRINCETON A
province,BRITISH COLUMBIA
latitude,49.47
longitude,-120.51
elevation,701.70
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,0.4,,-6.9,,-3.3,,21.3,,0.0,,0.0,,6.0,,7.4,,15,,,,,
2010-01-02,2010,01,02,†,2.2,,-4.9,,-1.4,,19.4,,0.0,,0.0,T,0.0,,0.0,T,21,,,,,
2010-01-03,2010,01,03,†,-0.1,,-1.5,,-0.8,,18.8,,0.0,,0.0,,4.0,,3.8,,19,,,,,
2010-01-04,2010,01,04,†,-0.9,,-2.7,,-1.8,,19.8,,0.0,,0.0,,10.0,,10.2,,23,,,,,
2010-01-05,2010,01,05,†,0.8,,-3.6,,-1.4,,19.4,,0.0,,0.0,,0.0,T,0.0,T,31,,,,,
2010-01-06,2010,01,06,†,-9.4,,-17.2,,-13.3,,31.3,,0.0,,0.0,,0.0,T,0.0,T,31,,,,,
2010-01-07,2010,01,07,†,-8.2,,-17.3,,-12.8,,30.8,,0.0,,0.0,,0.0,T,0.0,T,31,,,,,
2010-01-08,2010,01,08,†,-2.0,,-13.4,,-7.7,,25.7,,0.0,,0.6,,0.0,T,0.8,,31,,,,,
2010-01-09,2010,01,09,†,-0.7,,-6.9,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,28,,,,,
2010-01-10,2010,01,10,†,-0.2,,-4.1,,-2.2,,20.2,,0.0,,0.0,,0.0,,0.0,,28,,,,,
2010-01-11,2010,01,11,†,1.7,,-3.6,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,25,,,,,
2010-01-12,2010,01,12,†,4.2,,-2.4,,0.9,,17.1,,0.0,,0.0,,0.0,,0.0,,24,,,,,
2010-01-13,2010,01,13,†,1.9,,-0.8,,0.6,,17.4,,0.0,,2.6,,0.0,,2.6,,23,,,,,
2010-01-14,2010,01,14,†,3.1,,0.5,,1.8,,16.2,,0.0,,0.0,,0.0,,0.0,,22,,,,,
2010-01-15,2010,01,15,†,4.1,,-2.2,,1.0,,17.0,,0.0,,1.9,,0.0,,1.9,,22,,,,,
2010-01-16,2010,01,16,†,1.1,,-6.8,,-2.9,,20.9,,0.0,,0.0,,0.0,,0.0,,20,,,,,
2010-01-17,2010,01,17,†,-0.9,,-8.5,,-4.7,,22.7,,0.0,,0.0,,0.0,,0.0,,20,,,,,
2010-01-18,2010,01,18,†,3.9,,-5.8,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,20,,,,,
2010-01-19,2010,01,19,†,5.2,,-6.7,,-0.8,,18.8,,0.0,,0.0,,0.0,,0.0,,19,,,,,
2010-01-20,2010,01,20,†,5.2,,-4.2,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,19,,,,,
2010-01-21,2010,01,21,†,6.2,,-3.4,,1.4,,16.6,,0.0,,0.0,,0.0,,0.0,,19,,,,,
2010-01-22,2010,01,22,†,2.3,,-5.7,,-1.7,,19.7,,0.0,,0.0,,0.0,,0.0,,18,,,,,
2010-01-23,2010,01,23,†,-2.1,,-10.7,,-6.4,,24.4,,0.0,,0.0,,0.0,,0.0,,18,,,,,
2010-01-24,2010,01,24,†,-3.3,,-10.8,,-7.1,,25.1,,0.0,,0.0,,0.0,,0.0,,18,,,,,
2010-01-25,2010,01,25,†,2.4,,-7.9,,-2.8,,20.8,,0.0,,0.0,,0.0,,0.0,,18,,,,,
2010-01-26,2010,01,26,†,2.8,,-5.3,,-1.3,,19.3,,0.0,,0.0,,0.0,,0.0,,18,,,,,
2010-01-27,2010,01,27,†,-1.1,,-11.7,,-6.4,,24.4,,0.0,,0.0,,0.0,,0.0,,18,,,,,
