station_name,SALTSPRING ST MARY'S L
province,BRITISH COLUMBIA
latitude,48.89
longitude,-123.55
elevation,45.70
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,10.5,,4.0,,7.3,,10.7,,0.0,,5.4,,0.0,,5.4,,0,,,,,
2010-01-02,2010,01,02,†,9.0,,5.0,,7.0,,11.0,,0.0,,1.3,,0.0,,1.3,,0,,,,,
2010-01-03,2010,01,03,†,7.0,,3.5,,5.3,,12.7,,0.0,,14.0,,0.0,,14.0,,0,,,,,
2010-01-04,2010,01,04,†,6.0,,5.0,,5.5,,12.5,,0.0,,14.8,,0.0,,14.8,,0,,,,,
2010-01-05,2010,01,05,†,8.0,,5.5,,6.8,,11.2,,0.0,,0.2,,0.0,,0.2,,0,,,,,
2010-01-06,2010,01,06,†,6.0,,2.0,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-07,2010,01,07,†,5.0,,0.5,,2.8,,15.2,,0.0,,4.6,,0.0,,4.6,,0,,,,,
2010-01-08,2010,01,08,†,8.0,,1.0,,4.5,,13.5,,0.0,,5.8,,0.0,,5.8,,0,,,,,
2010-01-09,2010,01,09,†,10.0,,2.0,,6.0,,12.0,,0.0,,2.0,,0.0,,2.0,,0,,,,,
2010-01-10,2010,01,10,†,22.0,,5.0,,13.5,,4.5,,0.0,,29.0,,0.0,,29.0,,0,,,,,
2010-01-11,2010,01,11,†,11.0,,7.0,,9.0,,9.0,,0.0,,14.7,,0.0,,14.7,,0,,,,,
2010-01-12,2010,01,12,†,11.0,,8.0,,9.5,,8.5,,0.0,,5.0,,0.0,,5.0,,0,,,,,
2010-01-13,2010,01,13,†,8.5,,7.0,,7.8,,10.2,,0.0,,2.2,,0.0,,2.2,,0,,,,,
2010-01-14,2010,01,14,†,8.0,,6.5,,7.3,,10.7,,0.0,,51.0,,0.0,,51.0,,0,,,,,
2010-01-15,2010,01,15,†,9.0,,7.5,,8.3,,9.7,,0.0,,2.4,,0.0,,2.4,,0,,,,,
2010-01-16,2010,01,16,†,8.0,,3.0,,5.5,,12.5,,0.0,,3.4,,0.0,,3.4,,0,,,,,
2010-01-17,2010,01,17,†,10.5,,4.0,,7.3,,10.7,,0.0,,9.4,,0.0,,9.4,,0,,,,,
2010-01-18,2010,01,18,†,9.0,,7.0,,8.0,,10.0,,0.0,,0.8,,0.0,,0.8,,0,,,,,
2010-01-19,2010,01,19,†,10.5,,4.0,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-20,2010,01,20,†,11.0,,5.5,,8.3,,9.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-21,2010,01,21,†,9.0,,4.5,,6.8,,11.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-22,2010,01,22,†,8.5,,3.5,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-23,2010,01,23,†,7.5,,2.0,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-24,2010,01,24,†,7.5,,4.0,,5.8,,12.2,,0.0,,13.0,,0.0,,13.0,,0,,,,,
2010-01-25,2010,01,25,,,,,,,,,,,,,,,,,,,,,,,
2010-01-26,2010,01,26,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27,2010,01,27,†,8.0,,4.5,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-28,2010,01,28,†,8.0,,5.0,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-01-29,2010,01,29,†,9.0,,5.5,,7.3,,10.7,,0.0,,5.7,,0.0,,5.7,,0,,,,,
2010-01-30,2010,01,30,†,8.0,,6.0,,7.0,,11.0,,0.0,,4.8,,0.0,,4.8,,0,,,,,
