station_name,TOFINO A
province,BRITISH COLUMBIA
latitude,49.08
longitude,-125.77
elevation,24.50
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,9.6,,6.2,,7.9,,10.1,,0.0,,5.0,,0.0,,5.0,,0,,,,,
2010-01-02,2010,01,02,†,8.7,,6.6,,7.7,,10.3,,0.0,,3.6,,0.0,,3.6,,0,,,,,
2010-01-03,2010,01,03,†,8.4,,4.9,,6.7,,11.3,,0.0,,22.2,,0.0,,22.2,,0,,,,,
2010-01-04,2010,01,04,†,9.5,,5.8,,7.7,,10.3,,0.0,,3.2,,0.0,,3.2,,0,,,,,
2010-01-05,2010,01,05,†,9.6,,7.5,,8.6,,9.4,,0.0,,0.2,,0.0,,0.2,,0,,,,,
2010-01-06,2010,01,06,†,10.0,,7.8,,8.9,,9.1,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
2010-01-07,2010,01,07,†,12.1,,5.8,,9.0,,9.0,,0.0,,12.8,,0.0,,12.8,,0,,,,,
2010-01-08,2010,01,08,†,10.5,,8.0,,9.3,,8.7,,0.0,,34.6,,0.0,,34.6,,0,,,,,
2010-01-09,2010,01,09,†,11.2,,9.0,,10.1,,7.9,,0.0,,5.0,,0.0,,5.0,,0,,,,,
2010-01-10,2010,01,10,†,12.3,,9.2,,10.8,,7.2,,0.0,,45.6,,0.0,,45.6,,0,,,,,
2010-01-11,2010,01,11,†,11.0,,9.8,,10.4,,7.6,,0.0,,48.2,,0.0,,48.2,,0,,,,,
2010-01-12,2010,01,12,†,9.9,,9.0,,9.5,,8.5,,0.0,,11.2,,0.0,,11.2,,0,,,,,
2010-01-13,2010,01,13,†,11.0,,8.4,,9.7,,8.3,,0.0,,17.8,,0.0,,17.8,,0,,,,,
2010-01-14,2010,01,14,†,9.8,,7.5,,8.7,,9.3,,0.0,,82.4,,0.0,,82.4,,0,,,,,
2010-01-15,2010,01,15,†,9.3,,6.7,,8.0,,10.0,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
2010-01-16,2010,01,16,†,9.5,,0.4,,5.0,,13.0,,0.0,,14.4,,0.0,,14.4,,0,,,,,
2010-01-17,2010,01,17,†,10.0,,5.7,,7.9,,10.1,,0.0,,34.4,,0.0,,34.4,,0,,,,,
2010-01-18,2010,01,18,†,10.9,,6.8,,8.9,,9.1,,0.0,,8.4,,0.0,,8.4,,0,,,,,
2010-01-19,2010,01,19,†,9.3,,5.9,,7.6,,10.4,,0.0,,33.4,,0.0,,33.4,,0,,,,,
2010-01-20,2010,01,20,†,8.6,,6.3,,7.5,,10.5,,0.0,,8.2,,0.0,,8.2,,0,,,,,
2010-01-21,2010,01,21,†,8.6,,5.5,,7.1,,10.9,,0.0,,3.6,,0.0,,3.6,,0,,,,,
2010-01-22,2010,01,22,†,9.4,,2.4,,5.9,,12.1,,0.0,,0.8,,0.0,,0.8,,0,,,,,
2010-01-23,2010,01,23,†,8.6,,3.1,,5.9,,12.1,,0.0,,10.4,,0.0,,10.4,,0,,,,,
2010-01-24,2010,01,24,†,9.2,,6.3,,7.8,,10.2,,0.0,,18.4,,0.0,,18.4,,0,,,,,
2010-01-25,2010,01,25,†,9.6,,6.6,,8.1,,9.9,,0.0,,17.6,,0.0,,17.6,,0,,,,,
2010-01-26,2010,01,26,†,8.9,,3.5,,6.2,,11.8,,0.0,,0.6,,0.0,,0.6,,0,,,,,
2010-01-27,2010,01,27,†,7.3,,1.2,,4.3,,13.7,,0.0,,3.2,,0.0,,3.2,,0,,,,,
2010-01-28,2010,01,28,†,11.4,,5.6,,8.5,,9.5,,0.0,,3.0,,0.0,,3.0,,0,,,,,
2010-01-29,2010,01,29,†,9.0,,7.3,,8.2,,9.8,,0.0,,10.0,,0.0,,10.0,,0,,,,,
2010-01-30,2010,01,30,†,9.0,,8.0,,8.5,,9.5,,0.0,,5.0,,0.0,,5.0,,0,,,,,
2010-01-31,2010,01,31,†,10.1,,6.8,,8.5,,9.5,,0.0,,0.6,,0.0,,0.6,,0,,,,,
2010-02-01,2010,02,01,†,8.3,,5.9,,7.1,,10.9,,0.0,,9.2,,0.0,,9.2,,0,,,,,
2010-02-02,2010,02,02,†,8.9,,6.3,,7.6,,10.4,,0.0,,5.8,,0.0,,5.8,,0,,,,,
2010-02-03,2010,02,03,†,9.0,,6.0,,7.5,,10.5,,0.0,,3.8,,0.0,,3.8,,0,,,,,
2010-02-04,2010,02,04,†,11.4,,6.3,,8.9,,9.1,,0.0,,11.2,,0.0,,11.2,,0,,,,,
2010-02-05,2010,02,05,†,12.1,,8.3,,10.2,,7.8,,0.0,,20.4,,0.0,,20.4,,0,,,,,
2010-02-06,2010,02,06,†,9.7,,8.2,,9.0,,9.0,,0.0,,12.0,,0.0,,12.0,,0,,,,,
2010-02-07,2010,02,07,†,10.4,,4.5,,7.5,,10.5,,0.0,,0.4,,0.0,,0.4,,0,,,,,
2010-02-08,2010,02,08,†,9.4,,4.7,,7.1,,10.9,,0.0,,0.2,,0.0,,0.2,,0,,,,,
2010-02-09,2010,02,09,†,9.0,,2.0,,5.5,,12.5,,0.0,,3.8,,0.0,,3.8,,0,,,,,
2010-02-10,2010,02,10,†,8.5,,5.0,,6.8,,11.2,,0.0,,19.6,,0.0,,19.6,,0,,,,,
2010-02-11,2010,02,11,†,10.8,,5.3,,8.1,,9.9,,0.0,,29.8,,0.0,,29.8,,0,,,,,
2010-02-12,2010,02,12,†,9.7,,6.2,,8.0,,10.0,,0.0,,25.4,,0.0,,25.4,,0,,,,,
2010-02-13,2010,02,13,†,9.9,,6.4,,8.2,,9.8,,0.0,,47.6,,0.0,,47.6,,0,,,,,
2010-02-14,2010,02,14,†,10.5,,4.5,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-15,2010,02,15,†,10.3,,1.4,,5.9,,12.1,,0.0,,12.6,,0.0,,12.6,,0,,,,,
2010-02-16,2010,02,16,†,10.5,,5.2,,7.9,,10.1,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-17,2010,02,17,†,11.6,,0.0,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-18,2010,02,18,†,16.6,,-1.2,,7.7,,10.3,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-19,2010,02,19,†,11.8,,-0.2,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-20,2010,02,20,†,11.3,,0.1,,5.7,,12.3,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-21,2010,02,21,†,10.8,,0.5,,5.7,,12.3,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-02-22,2010,02,22,†,12.8,,-0.3,,6.3,,11.7,,0.0,,0.2,,0.0,,0.2,,0,,,,,
2010-02-23,2010,02,23,†,9.0,,5.1,,7.1,,10.9,,0.0,,38.4,,0.0,,38.4,,0,,,,,
2010-02-24,2010,02,24,†,10.2,,5.6,,7.9,,10.1,,0.0,,9.2,,0.0,,9.2,,0,,,,,
2010-02-25,2010,02,25,†,10.4,,7.8,,9.1,,8.9,,0.0,,15.0,,0.0,,15.0,,0,,,,,
2010-02-26,2010,02,26,†,11.4,,7.0,,9.2,,8.8,,0.0,,12.0,,0.0,,12.0,,0,,,,,
2010-02-27,2010,02,27,†,11.0,,7.0,,9.0,,9.0,,0.0,,8.2,,0.0,,8.2,,0,,,,,
2010-02-28,2010,02,28,†,9.8,,7.1,,8.5,,9.5,,0.0,,0.8,,0.0,,0.8,,0,,,,,
2010-03-01,2010,03,01,†,11.1,,6.8,,9.0,,9.0,,0.0,,8.4,,0.0,,8.4,,0,,,,,
2010-03-02,2010,03,02,†,9.6,,7.7,,8.7,,9.3,,0.0,,8.6,,0.0,,8.6,,0,,,,,
2010-03-03,2010,03,03,†,11.5,,1.8,,6.7,,11.3,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-03-04,2010,03,04,†,9.7,,3.8,,6.8,,11.2,,0.0,,17.4,,0.0,,17.4,,0,,,,,
2010-03-05,2010,03,05,†,13.4,,5.6,,9.5,,8.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-03-06,2010,03,06,†,13.3,,1.8,,7.6,,10.4,,0.0,,0.4,,0.0,,0.4,,0,,,,,
2010-03-07,2010,03,07,†,9.3,,4.2,,6.8,,11.2,,0.0,,7.8,,0.0,,7.8,,0,,,,,
2010-03-08,2010,03,08,†,9.3,,0.8,,5.1,,12.9,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
2010-03-09,2010,03,09,†,5.0,,1.0,,3.0,,15.0,,0.0,,29.6,,0.0,T,29.6,,0,,,,,
2010-03-10,2010,03,10,†,7.2,,-0.5,,3.4,,14.6,,0.0,,44.6,,0.0,,44.6,,0,T,,,,
2010-03-11,2010,03,11,,,,,,,,,,,,,,,,,,,,,,,
2010-03-12,2010,03,12,†,8.3,,0.8,,4.6,,13.4,,0.0,,27.2,,0.0,,27.2,,0,,,,,
2010-03-13,2010,03,13,†,8.8,,2.3,,5.6,,12.4,,0.0,,19.4,,0.0,,19.4,,0,,,,,
2010-03-14,2010,03,14,†,6.3,,3.6,,5.0,,13.0,,0.0,,26.4,,0.0,,26.4,,0,,,,,
2010-03-15,2010,03,15,†,9.4,,3.6,,6.5,,11.5,,0.0,,17.0,,0.0,,17.0,,0,,,,,
2010-03-16,2010,03,16,†,10.8,,3.8,,7.3,,10.7,,0.0,,29.0,,0.0,,29.0,,0,,,,,
2010-03-17,2010,03,17,†,9.8,,2.0,,5.9,,12.1,,0.0,,0.4,,0.0,,0.4,,0,,,,,
2010-03-18,2010,03,18,†,10.2,,-0.6,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-03-19,2010,03,19,†,11.3,,-0.2,,5.6,,12.4,,0.0,,0.0,,0.0,,0.0,,0,,,,,
2010-03-20,2010,03,20,†,15.8,,0.8,,8.3,,9.7,,0.0,,14.8,,0.0,,14.8,,0,,,,,
2010-03-21,2010,03,21,†,10.5,,5.0,,7.8,,10.2,,0.0,,10.2,,0.0,,10.2,,0,,,,,
2010-03-22,2010,03,22,†,9.3,,5.4,,7.4,,10.6,,0.0,,0.8,,0.0,,0.8,,0,,,,,
2010-03-23,2010,03,23,†,10.7,,5.7,,8.2,,9.8,,0.0,,0.4,,0.0,,0.4,,0,,,,,
2010-03-24,2010,03,24,†,16.0,,3.0,,9.5,,8.5,,0.0,,2.2,,0.0,,2.2,,0,,,,,
2010-03-25,2010,03,25,†,10.8,,7.6,,9.2,,8.8,,0.0,,16.8,,0.0,,16.8,,0,,,,,
2010-03-26,2010,03,26,†,10.8,,6.2,,8.5,,9.5,,0.0,,1.8,,0.0,,1.8,,0,,,,,
2010-03-27,2010,03,27,†,13.4,,6.3,,9.9,,8.1,,0.0,,10.6,,0.0,,10.6,,0,,,,,
2010-03-28,2010,03,28,†,10.4,,6.5,,8.5,,9.5,,0.0,,26.8,,0.0,,26.8,,0,,,,,
2010-03-29,2010,03,29,†,9.0,,5.4,,7.2,,10.8,,0.0,,15.0,,0.0,,15.0,,0,,,,,
2010-03-30,2010,03,30,†,6.8,,2.2,,4.5,,13.5,,0.0,,3.8,,0.0,,3.8,,0,,,,,
2010-03-31,2010,03,31,†,10.4,,1.5,,6.0,,12.0,,0.0,,0.8,,0.0,,0.8,,0,,,,,
2010-04-01,2010,04,01,†,8.4,,2.4,,5.4,,12.6,,0.0,,52.4,,0.0,,52.4,,0,,,,,
2010-04-02,2010,04,02,†,7.0,,4.2,,5.6,,12.4,,0.0,,25.8,,0.0,,25.8,,0,,,,,
2010-04-03,2010,04,03,†,7.0,,2.6,,4.8,,13.2,,0.0,,9.6,,0.0,,9.6,,0,,,,,
2010-04-04,2010,04,04,†,10.0,,2.9,,6.5,,11.5,,0.0,,16.8,,0.0,,16.8,,0,,,,,
2010-04-05,2010,04,05,†,10.5,,3.3,,6.9,,11.1,,0.0,,6.2,,0.0,,6.2,,0,,,,,
2010-04-06,2010,04,06,†,10.4,,4.0,,7.2,,10.8,,0.0,,11.0,,0.0,,11.0,,0,,,,,
2010-04-07,2010,04,07,†,8.7,,5.8,,7.3,,10.7,,0.0,,36.2,,0.0,,36.2,,0,,,,,
