station_name,WHISTLER
province,BRITISH COLUMBIA
latitude,50.13
longitude,-122.95
elevation,657.80
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,†,0.0,,-5.3,,-2.7,,20.7,,0.0,,1.8,,19.0,,19.2,,53,,,,,
2010-01-02,2010,01,02,†,2.0,,-2.5,,-0.3,,18.3,,0.0,,2.5,,0.0,,2.5,,65,,,,,
2010-01-03,2010,01,03,†,3.1,,-0.1,,1.5,,16.5,,0.0,,0.0,T,1.7,,1.4,,59,,,,,
2010-01-04,2010,01,04,†,0.7,,-0.2,,0.3,,17.7,,0.0,,0.3,,2.3,,1.6,,53,,,,,
2010-01-05,2010,01,05,†,1.8,,-2.2,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,45,,,,,
2010-01-06,2010,01,06,†,-3.8,,-7.0,,-5.4,,23.4,,0.0,,0.0,,0.0,,0.0,,43,,,,,
2010-01-07,2010,01,07,†,-3.6,,-8.0,,-5.8,,23.8,,0.0,,0.0,T,1.0,,1.8,,43,,,,,
2010-01-08,2010,01,08,†,0.4,,-5.9,,-2.8,,20.8,,0.0,,11.4,,0.0,,11.4,,44,,,,,
2010-01-09,2010,01,09,†,4.8,,-2.2,,1.3,,16.7,,0.0,,5.7,,0.0,,5.7,,43,,,,,
2010-01-10,2010,01,10,†,3.1,,0.7,,1.9,,16.1,,0.0,,34.6,,0.0,,34.6,,42,,,,,
2010-01-11,2010,01,11,†,2.9,,1.4,,2.2,,15.8,,0.0,,42.0,,0.0,,42.0,,35,,,,,
2010-01-12,2010,01,12,†,5.0,,1.1,,3.1,,14.9,,0.0,,4.2,,0.0,,4.2,,31,,,,,
2010-01-13,2010,01,13,†,3.7,,-0.2,,1.8,,16.2,,0.0,,4.2,,0.0,,4.2,,29,,,,,
2010-01-14,2010,01,14,†,3.7,,0.8,,2.3,,15.7,,0.0,,5.0,,9.0,,32.6,,27,,,,,
