station_name,WILLIAMS LAKE A
province,BRITISH COLUMBIA
latitude,52.18
longitude,-122.05
elevation,939.70
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,01,01,,1.0,,-14.5,,-6.8,,24.8,,0.0,,0.0,,0.0,T,0.0,T,31,,,,<31,
2010-01-02,2010,01,02,,-1.4,,-10.2,,-5.8,,23.8,,0.0,,0.0,,3.2,,0.8,,30,,,,<31,
2010-01-03,2010,01,03,,-3.9,,-10.7,,-7.3,,25.3,,0.0,,0.0,,0.6,,0.6,,33,,,,<31,
2010-01-04,2010,01,04,,-9.0,,-14.0,,-11.5,,29.5,,0.0,,0.0,,0.0,,0.0,,31,,,,<31,
2010-01-05,2010,01,05,,-12.1,,-24.7,,-18.4,,36.4,,0.0,,0.0,,0.0,,0.0,,31,,,,<31,
2010-01-06,2010,01,06,,-9.4,,-23.4,,-16.4,,34.4,,0.0,,0.0,,0.0,,0.0,,30,,,,<31,
2010-01-07,2010,01,07,,-4.4,,-14.5,,-9.5,,27.5,,0.0,,0.0,,0.0,,0.0,,30,,14,E,43,E
2010-01-08,2010,01,08,,-0.7,,-5.4,,-3.1,,21.1,,0.0,,0.4,,0.0,T,0.4,,28,,16,E,37,E
2010-01-09,2010,01,09,,3.5,,-1.1,,1.2,,16.8,,0.0,,0.0,,0.0,,0.0,,28,,14,E,50,E
2010-01-10,2010,01,10,,4.2,,1.7,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,27,,15,E,65,E
2010-01-11,2010,01,11,,6.2,,4.0,,5.1,,12.9,,0.0,,0.0,,0.0,,0.0,,25,,14,E,74,E
2010-01-12,2010,01,12,,6.2,,2.6,,4.4,,13.6,,0.0,,0.0,,0.0,,0.0,,11,,14,E,83,E
2010-01-13,2010,01,13,,5.1,,1.3,,3.2,,14.8,,0.0,,0.0,T,0.0,,0.0,T,7,,14,E,37,E
2010-01-14,2010,01,14,,3.8,,-0.5,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,6,,15,E,63,E
2010-01-15,2010,01,15,,5.2,,-3.0,,1.1,,16.9,,0.0,,0.6,,0.2,,0.8,,6,,15,E,50,E
2010-01-16,2010,01,16,,1.9,,-5.5,,-1.8,,19.8,,0.0,,0.0,,0.0,,0.0,,4,,14,E,43,E
2010-01-17,2010,01,17,,5.9,,-1.6,,2.2,,15.8,,0.0,,0.0,,0.0,,0.0,,0,,14,E,56,E
2010-01-18,2010,01,18,,7.2,,1.7,,4.5,,13.5,,0.0,,0.0,T,0.0,T,0.0,T,4,,13,E,61,E
2010-01-19,2010,01,19,,6.6,,-1.5,,2.6,,15.4,,0.0,,0.0,,0.0,,0.0,,2,,13,E,59,E
2010-01-20,2010,01,20,,6.4,,0.1,,3.3,,14.7,,0.0,,0.0,,0.0,,0.0,,0,T,14,E,43,E
2010-01-21,2010,01,21,,5.9,,-2.5,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,0,,14,E,37,E
2010-01-22,2010,01,22,,1.5,,-6.8,,-2.7,,20.7,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-23,2010,01,23,,-4.4,,-12.0,,-8.2,,26.2,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-01-24,2010,01,24,,0.1,,-13.5,,-6.7,,24.7,,0.0,,0.0,,0.0,,0.0,,0,,11,E,32,E
2010-01-25,2010,01,25,,2.9,,-2.1,,0.4,,17.6,,0.0,,0.0,,1.8,,1.6,,2,,13,E,37,E
2010-01-26,2010,01,26,,0.7,,-8.3,,-3.8,,21.8,,0.0,,0.0,,0.0,T,0.0,T,1,,,,<31,
2010-01-27,2010,01,27,,1.8,,-6.6,,-2.4,,20.4,,0.0,,0.0,,0.0,,0.0,,1,,,,<31,
2010-01-28,2010,01,28,,2.5,,-1.8,,0.4,,17.6,,0.0,,0.0,,0.0,T,0.0,T,1,,13,E,41,E
2010-01-29,2010,01,29,,5.8,,-0.2,,2.8,,15.2,,0.0,,0.0,,0.0,T,0.0,T,0,T,15,E,37,E
2010-01-30,2010,01,30,,1.1,,-1.1,,0.0,,18.0,,0.0,,0.0,,8.8,,12.2,,0,,,,<31,
2010-01-31,2010,01,31,,0.5,,-3.7,,-1.6,,19.6,,0.0,,0.0,,0.6,,1.0,,11,,,,<31,
2010-02-01,2010,02,01,,0.5,,-1.1,,-0.3,,18.3,,0.0,,0.0,,0.2,,0.2,,10,,,,<31,
2010-02-02,2010,02,02,,0.0,,-2.1,,-1.1,,19.1,,0.0,,0.0,,0.4,,0.4,,10,,,,<31,
2010-02-03,2010,02,03,,1.0,,-2.2,,-0.6,,18.6,,0.0,,0.0,,0.2,,0.2,,10,,,,<31,
2010-02-04,2010,02,04,,4.4,,-3.4,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,10,,,,<31,
2010-02-05,2010,02,05,,3.5,,-0.9,,1.3,,16.7,,0.0,,0.0,T,0.0,T,0.0,T,8,,13,E,46,E
2010-02-06,2010,02,06,,4.8,,-2.2,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,8,,13,E,35,E
2010-02-07,2010,02,07,,0.8,,-5.0,,-2.1,,20.1,,0.0,,0.0,,0.0,,0.0,,7,,,,<31,
2010-02-08,2010,02,08,,2.7,,-5.8,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,7,,,,<31,
2010-02-09,2010,02,09,,-1.9,,-10.3,,-6.1,,24.1,,0.0,,0.0,,0.0,T,0.0,T,7,,,,<31,
2010-02-10,2010,02,10,,3.0,,-6.9,,-2.0,,20.0,,0.0,,0.0,,0.0,T,0.0,T,7,,,,<31,
2010-02-11,2010,02,11,,3.1,,-5.9,,-1.4,,19.4,,0.0,,0.0,,0.0,T,0.0,T,7,,14,E,46,E
2010-02-12,2010,02,12,,8.6,,0.9,,4.8,,13.2,,0.0,,0.0,T,0.0,,0.0,T,7,,14,E,50,E
2010-02-13,2010,02,13,,6.5,,-0.3,,3.1,,14.9,,0.0,,0.0,,0.0,,0.0,,6,,14,E,69,E
2010-02-14,2010,02,14,,9.0,,-2.6,,3.2,,14.8,,0.0,,0.0,T,0.0,,0.0,T,0,T,15,E,69,E
2010-02-15,2010,02,15,,4.2,,-5.1,,-0.5,,18.5,,0.0,,0.0,,0.0,,0.0,,0,,15,E,35,E
2010-02-16,2010,02,16,,3.5,,0.1,,1.8,,16.2,,0.0,,2.4,,0.0,T,2.4,,0,,14,E,44,E
2010-02-17,2010,02,17,,2.9,,-4.6,,-0.9,,18.9,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-18,2010,02,18,,-0.4,,-7.2,,-3.8,,21.8,,0.0,,0.0,,0.0,T,0.0,T,0,,,,<31,
2010-02-19,2010,02,19,,-3.4,,-5.3,,-4.4,,22.4,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-20,2010,02,20,,-2.9,,-5.4,,-4.2,,22.2,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-21,2010,02,21,,-2.3,,-5.2,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-22,2010,02,22,,3.8,,-7.0,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-23,2010,02,23,,4.3,,-5.8,,-0.8,,18.8,,0.0,,0.0,T,0.0,,0.0,T,0,,,,<31,
2010-02-24,2010,02,24,,4.7,,-3.7,,0.5,,17.5,,0.0,,0.0,,0.2,,0.2,,0,,12,E,32,E
2010-02-25,2010,02,25,,8.0,,0.1,,4.1,,13.9,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
2010-02-26,2010,02,26,,4.4,,-2.6,,0.9,,17.1,,0.0,,0.4,,1.0,,1.4,,0,,15,E,41,E
2010-02-27,2010,02,27,,4.0,,0.1,,2.1,,15.9,,0.0,,4.2,,0.8,,5.0,,0,,,,<31,
2010-02-28,2010,02,28,,7.8,,0.6,,4.2,,13.8,,0.0,,0.0,,0.0,,0.0,,0,,,,<31,
