"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*ABBOTSFORD A","BC"," 49°01'31.000"" N","122°21'36.000"" W","59.1 m","1100030","71108","YXX"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.6","5.0","7.2","9.8","13.0","15.7","18.1","18.2","15.3","10.5","6.0","2.9","10.4","A"
"Standard Deviation","2.1","1.7","1.3","1.0","1.2","1.1","1.2","0.9","1.1","1.0","1.9","1.8","0.7","A"
"Daily Maximum (°C)","6.7","9.0","11.6","14.7","18.1","20.8","24.0","24.4","21.3","15.0","9.3","5.9","15.1","A"
"Daily Minimum (°C)","0.4","1.1","2.7","4.8","7.8","10.5","12.2","12.0","9.3","5.9","2.7","-0.1","5.8","A"
"Extreme Maximum (°C)","18.1","20.6","24.9","29.8","36.0","34.7","38.0","36.3","37.5","29.3","20.6","18.2","",""
"Date (yyyy/dd)","2005/19","1968/27","1994/28","1998/30","1983/29","1982/18","2009/29","1977/17","1988/03","1987/01","1949/02","1980/26",""," "
"Extreme Minimum (°C)","-21.1","-18.9","-12.8","-4.4","-2.2","1.1","2.2","3.3","-1.7","-7.5","-16.7","-20.0","",""
"Date (yyyy/dd)","1950/18","1950/01","1955/04","1975/01","1954/01","1976/03","1945/04","1947/19","1972/27","1984/31","1985/27","1968/29",""," "
"Precipitation"
"Rainfall (mm)","193.6","123.4","144.9","117.1","99.8","74.8","43.2","45.9","75.5","152.7","241.5","170.9","1483.3","A"
"Snowfall (cm)","18.5","8.6","4.4","0.5","0.0","0.0","0.0","0.0","0.0","0.0","6.7","16.5","55.2","A"
"Precipitation (mm)","211.7","132.3","149.3","117.8","99.8","74.8","43.2","45.9","75.5","152.7","248.2","186.6","1537.8","A"
"Average Snow Depth (cm)","2","1","0","0","0","0","0","0","0","0","0","1","0","A"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","A"
"Snow Depth at Month-end (cm)","1","0","0","0","0","0","0","0","0","0","1","5","1","A"
"Extreme Daily Rainfall (mm)","78.2","83.1","78.2","59.9","53.8","49.5","70.1","48.2","77.2","93.8","95.0","89.6","",""
"Date (yyyy/dd)","1968/19","1982/13","2007/11","1946/10","1960/06","1971/24","1972/12","2001/22","2007/30","2003/16","1971/03","1979/17",""," "
"Extreme Daily Snowfall (cm)","49.8","26.4","33.0","10.0","0.4","0.0","0.0","0.0","0.2","1.0","44.1","43.8","",""
"Date (yyyy/dd)","1954/21","1982/23","1951/06","2007/02","1996/07","1945/01","1945/01","1945/01","2007/28","1956/30","2006/26","1990/30",""," "
"Extreme Daily Precipitation (mm)","89.7","83.1","78.2","59.9","53.8","49.5","70.1","48.2","77.2","93.8","95.0","89.6","",""
"Date (yyyy/dd)","1982/23","1982/13","2007/11","1946/10","1960/06","1971/24","1972/12","2001/22","2007/30","2003/16","1971/03","1979/17",""," "
"Extreme Snow Depth (cm)","64","41","30","3","0","0","0","0","0","0","38","69","",""
"Date (yyyy/dd)","1971/16","1969/01","1962/03","1966/12","1955/01","1955/01","1955/01","1955/01","1955/01","1955/01","2006/27","1996/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","2.1","0.52","0.17","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.86","2.1","5.8","A"
"> 0 °C","28.9","27.7","30.8","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.1","28.9","359.5","A"
"> 10 °C","6.3","10.7","20.6","27.0","30.8","30.0","31.0","31.0","30.0","29.0","13.0","3.4","262.8","A"
"> 20 °C","0.0","0.0","0.37","3.4","9.3","15.5","24.9","26.4","17.4","3.0","0.0","0.0","100.3","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.28","1.3","3.0","3.4","0.63","0.0","0.0","0.0","8.7","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.03","0.0","0.31","0.04","0.07","0.0","0.0","0.0","0.45","A"
"Days with Minimum Temperature"
"> 0 °C","18.6","17.5","24.9","28.5","31.0","30.0","31.0","31.0","30.0","29.8","22.8","17.2","312.3","A"
"<= 2 °C","18.4","15.8","12.5","5.7","0.59","0.0","0.0","0.0","0.30","4.3","11.8","20.5","89.8","A"
"<= 0 °C","12.4","10.7","6.1","1.5","0.03","0.0","0.0","0.0","0.0","1.2","7.2","13.8","52.9","A"
"< -2 °C","7.8","5.3","1.7","0.07","0.0","0.0","0.0","0.0","0.0","0.21","3.3","8.7","27.1","A"
"< -10 °C","0.75","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.43","0.72","2.2","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.2","15.4","18.6","16.3","14.4","13.0","7.3","7.1","9.6","15.8","20.2","18.2","174.1","A"
">= 5 mm","10.9","7.4","9.7","8.1","6.2","4.9","2.8","2.7","4.4","8.7","12.5","10.2","88.5","A"
">= 10 mm","6.7","4.2","5.2","4.0","3.5","2.3","1.2","1.4","2.6","5.4","8.9","5.7","51.1","A"
">= 25 mm","1.8","0.76","0.80","0.60","0.79","0.33","0.34","0.38","0.53","1.2","2.3","1.5","11.4","A"
"Days With Snowfall"
">= 0.2 cm","3.7","1.9","1.4","0.33","0.0","0.0","0.0","0.0","0.03","0.0","1.3","3.6","12.2","A"
">= 5 cm","1.2","0.48","0.30","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.34","1.0","3.4","A"
">= 10 cm","0.52","0.31","0.07","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.45","1.6","A"
">= 25 cm","0.10","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.14","0.34","A"
"Days with Precipitation"
">= 0.2 mm","20.1","16.2","19.1","16.3","14.4","13.0","7.3","7.1","9.6","15.8","20.8","19.8","179.5","A"
">= 5 mm","12.1","8.0","9.9","8.1","6.2","4.9","2.8","2.7","4.4","8.7","12.8","11.4","92.1","A"
">= 10 mm","7.4","4.5","5.3","4.1","3.5","2.3","1.2","1.4","2.6","5.4","9.1","6.2","53.0","A"
">= 25 mm","1.9","0.86","0.80","0.60","0.79","0.33","0.34","0.38","0.53","1.2","2.5","1.7","11.9","A"
"Days with Snow Depth"
">= 1 cm","5.3","2.3","0.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.71","3.5","12.5","A"
">= 5 cm","3.4","1.3","0.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.54","1.8","7.3","A"
">= 10 cm","2.2","0.63","0.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.43","0.97","4.4","A"
">= 20 cm","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.48","1.8","A"
"Wind"
"Speed (km/h)","9.2","9.7","9.6","9.1","8.4","8.2","7.5","6.6","6.1","7.3","9.2","9.4","8.3","A"
"Most Frequent Direction","NE","NE","NE","SW","SW","SW","SW","SW","SW","NE","NE","NE","SW","A"
"Maximum Hourly Speed (km/h)","72.0","80.0","71.0","80.0","56.0","45.0","48.0","53.0","56.0","89.0","76.0","80.0","89.0",""
"Date (yyyy/dd)","1957/15","1957/24","1964/11","1960/13","1965/16","1962/02","1965/07","1953/11","1961/01","1962/13","1960/19","1956/04","1962/13"," "
"Direction of Maximum Hourly Speed","NE","S","S","S","S","S","S","E","S","S","S","NE","S",""
"Maximum Gust Speed (km/h)","121.0","105.0","103.0","121.0","84.0","68.0","64.0","63.0","80.0","145.0","113.0","121.0","145.0",""
"Date (yyyy/dd)","1960/29","1963/04","1956/23","1960/13","1963/05","1962/02","1963/22","1969/24","1968/17","1962/13","1962/24","1964/15","1962/13"," "
"Direction of Maximum Gust","S","S","S","S","S","S","S","S","S","S","S","NE","S",""
"Days with Winds >= 52 km/h","0.6","0.3","0.5","0.1","0.1","0.0","0.0","0.0","0.0","0.2","0.6","0.7","3.2","A"
"Days with Winds >= 63 km/h","0.2","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.3","1.0","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.1","0.1","1.3","0.7","0.1","0.0","0.0","0.0","2.2","A"
"Above 18 °C","0.0","0.0","0.0","0.2","3.0","10.9","34.2","33.6","7.3","0.1","0.0","0.0","89.4","A"
"Above 15 °C","0.0","0.0","0.0","1.9","16.4","42.2","100.0","102.0","37.3","2.0","0.0","0.0","301.7","A"
"Above 10 °C","0.7","0.8","5.3","30.6","99.9","171.0","251.9","255.6","158.8","43.0","4.5","0.4","1022.6","A"
"Above 5 °C","27.2","36.0","77.2","144.1","249.4","321.0","406.9","410.6","308.5","171.6","59.2","18.8","2230.3","A"
"Above 0 °C","129.0","148.0","223.5","293.7","404.4","471.0","561.9","565.6","458.5","325.3","187.1","110.4","3878.3","A"
"Below 0 °C","17.6","5.4","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","6.6","16.7","47.3","A"
"Below 5 °C","70.7","34.4","9.7","0.5","0.0","0.0","0.0","0.0","0.0","1.4","28.6","80.1","225.4","A"
"Below 10 °C","199.3","140.3","92.8","37.0","5.5","0.0","0.0","0.0","0.4","27.8","124.0","216.7","843.7","A"
"Below 15 °C","353.6","280.5","242.5","158.2","77.0","21.2","3.1","1.5","28.8","141.8","269.5","371.3","1948.9","A"
"Below 18 °C","446.6","365.1","335.5","246.5","156.6","80.0","30.3","26.1","88.9","233.0","359.5","464.3","2832.2","A"
"Bright Sunshine"
"Total Hours","68.3","99.0","131.5","171.5","208.7","213.7","276.7","263.2","201.9","122.6","64.7","64.9","1886.7","D"
"Days with measurable","17.7","19.9","24.3","26.0","27.5","26.7","28.2","28.8","27.8","24.0","17.7","16.6","285.0","D"
"% of possible daylight hours","25.2","34.6","35.7","41.8","44.1","44.2","56.7","59.1","53.3","36.5","23.4","25.2","40.0","D"
