"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*ADDENBROKE ISLAND","BC"," 51°36'12.700"" N","127°51'49.900"" W","21.3 m","1060080","","WCZ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.7","4.9","6.1","8.0","10.6","13.0","14.9","15.2","13.0","9.6","6.2","4.7","9.2","A"
"Standard Deviation","1.5","1.5","1.2","1.0","1.2","0.9","0.7","0.9","0.8","0.8","1.8","1.5","1.1","A"
"Daily Maximum (°C)","7.0","7.6","9.0","11.2","13.9","16.1","17.9","18.3","15.9","12.0","8.5","7.0","12.0","A"
"Daily Minimum (°C)","2.2","2.2","3.2","4.7","7.3","9.9","11.8","12.1","10.1","7.1","3.8","2.3","6.4","A"
"Extreme Maximum (°C)","19.5","17.5","19.0","21.5","29.0","31.0","26.5","28.5","25.5","21.5","17.5","17.5","",""
"Date (yyyy/dd)","1986/12","1993/04","2004/29","2005/23","1983/29","2004/18","1987/18","2004/09","1988/03","1991/10","1980/04","2003/19",""," "
"Extreme Minimum (°C)","-10.5","-15.0","-7.5","-0.5","1.0","5.0","7.5","7.8","3.5","-7.0","-16.0","-10.5","",""
"Date (yyyy/dd)","1982/05","1989/01","2002/07","1982/11","1999/03","1999/01","1994/02","1999/31","1992/14","1984/31","1985/26","1984/29",""," "
"Precipitation"
"Rainfall (mm)","392.8","249.3","257.3","234.3","162.4","158.0","108.7","138.2","228.1","431.2","491.6","352.9","3204.7","A"
"Snowfall (cm)","13.0","16.8","5.9","1.8","0.0","0.0","0.0","0.0","0.0","0.7","4.8","14.5","57.5","A"
"Precipitation (mm)","405.7","266.1","263.2","236.1","162.4","158.0","108.7","138.2","228.1","432.0","496.4","367.4","3262.2","A"
"Average Snow Depth (cm)","1","1","0","0","0","0","0","0","0","0","0","0","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","1","0","C"
"Extreme Daily Rainfall (mm)","294.2","117.6","104.4","124.9","58.6","122.2","68.0","91.2","153.8","130.0","184.2","207.6","",""
"Date (yyyy/dd)","1996/10","2005/01","2001/12","1998/26","2005/22","1983/05","1995/24","1978/05","1980/05","1990/08","1993/01","1980/10",""," "
"Extreme Daily Snowfall (cm)","22.0","41.6","17.3","7.6","0.0","0.0","0.0","0.0","0.0","13.0","13.2","32.4","",""
"Date (yyyy/dd)","1989/13","1990/14","1987/01","1988/06","1978/01","1978/01","1978/01","1978/01","1978/01","1984/29","1990/28","1994/07",""," "
"Extreme Daily Precipitation (mm)","294.2","117.6","104.4","124.9","58.6","122.2","68.0","91.2","153.8","130.0","184.2","207.6","",""
"Date (yyyy/dd)","1996/10","2005/01","2001/12","1998/26","2005/22","1983/05","1995/24","1978/05","1980/05","1990/08","1993/01","1980/10",""," "
"Extreme Snow Depth (cm)","22","44","14","0","0","0","0","0","0","7","10","20","",""
"Date (yyyy/dd)","1982/06","1990/15","1991/03","1981/01","1981/01","1981/01","1981/01","1980/01","1981/01","1984/30","2006/29","1990/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.0","0.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.44","0.92","2.9","A"
"> 0 °C","30.0","27.8","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.6","30.1","362.3","A"
"> 10 °C","4.4","4.7","9.7","17.9","28.4","29.9","31.0","31.0","30.0","24.1","7.5","4.8","223.4","A"
"> 20 °C","0.0","0.0","0.0","0.08","0.85","1.8","4.7","5.8","1.2","0.08","0.0","0.0","14.5","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.04","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","22.9","21.9","27.8","29.6","31.0","30.0","31.0","31.0","30.0","30.7","26.8","24.3","337.0","A"
"<= 2 °C","14.2","13.3","10.4","4.0","0.35","0.0","0.0","0.0","0.0","0.77","7.7","14.1","65.0","A"
"<= 0 °C","8.0","6.3","3.2","0.35","0.0","0.0","0.0","0.0","0.0","0.35","3.2","6.7","28.1","A"
"< -2 °C","2.9","1.4","0.73","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.88","1.8","7.9","A"
"< -10 °C","0.04","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.04","0.35","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","22.3","18.5","22.0","20.9","18.3","17.4","14.5","15.9","17.5","23.5","24.1","23.0","237.8","A"
">= 5 mm","15.6","11.2","13.7","13.0","9.7","8.6","5.7","7.2","9.3","16.0","18.3","15.9","144.2","A"
">= 10 mm","11.7","7.6","9.5","8.2","5.7","5.3","3.7","4.9","7.0","12.8","14.8","11.5","102.5","A"
">= 25 mm","5.2","3.0","2.5","2.3","1.4","1.4","1.1","1.4","3.2","6.2","6.9","4.4","38.9","A"
"Days With Snowfall"
">= 0.2 cm","2.5","2.5","1.7","0.58","0.0","0.0","0.0","0.0","0.0","0.08","1.2","2.8","11.3","A"
">= 5 cm","1.1","1.3","0.46","0.15","0.0","0.0","0.0","0.0","0.0","0.08","0.28","1.2","4.6","A"
">= 10 cm","0.38","0.48","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.12","0.32","1.5","A"
">= 25 cm","0.0","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.11","A"
"Days with Precipitation"
">= 0.2 mm","22.8","19.3","22.3","20.9","18.3","17.4","14.5","15.9","17.5","23.5","24.2","23.5","240.1","A"
">= 5 mm","16.2","12.1","14.1","13.2","9.7","8.6","5.7","7.2","9.3","16.1","18.6","16.6","147.2","A"
">= 10 mm","12.2","8.4","9.7","8.4","5.7","5.3","3.7","4.9","7.0","12.8","14.9","12.0","104.7","A"
">= 25 mm","5.3","3.3","2.7","2.3","1.4","1.4","1.1","1.4","3.2","6.2","7.0","4.5","39.7","A"
"Days with Snow Depth"
">= 1 cm","2.6","2.2","0.74","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.48","1.3","7.4","D"
">= 5 cm","0.82","0.86","0.30","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.17","0.53","2.8","D"
">= 10 cm","0.06","0.41","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.73","D"
">= 20 cm","0.0","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","D"
"Wind"
"Maximum Hourly Speed (km/h)","97.0","93.0","74.0","97.0","87.0","64.0","52.0","55.0","74.0","84.0","93.0","93.0","97.0",""
"Date (yyyy/dd)","1981/22","2001/28","1970/06","1984/15","1976/27","1987/12","1996/14","1971/23","2000/17","1984/12","2001/15","1996/01","1981/22"," "
"Direction of Maximum Hourly Speed","S","SE","S","SE","SE","S","NW","S","SE","SE","SE","NW","S",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.2","0.7","0.9","1.4","0.1","0.0","0.0","0.0","3.2","C"
"Above 15 °C","0.0","0.0","0.0","0.0","1.2","4.8","16.9","22.4","3.0","0.1","0.0","0.0","48.5","C"
"Above 10 °C","0.8","0.5","0.5","7.0","37.5","90.4","150.8","161.7","91.7","19.5","2.0","0.6","563.1","C"
"Above 5 °C","33.6","28.7","48.5","91.3","174.3","239.7","305.8","316.7","240.8","142.7","54.1","29.7","1705.9","C"
"Above 0 °C","148.8","142.9","190.4","239.8","329.3","389.7","460.8","471.7","390.8","296.6","188.5","149.4","3398.8","C"
"Below 0 °C","6.2","3.4","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.2","3.4","4.7","18.2","C"
"Below 5 °C","45.9","30.3","13.6","1.5","0.0","0.0","0.0","0.0","0.0","1.3","19.0","39.9","151.4","C"
"Below 10 °C","168.2","143.2","120.6","67.2","18.2","0.6","0.0","0.0","0.9","33.2","116.8","165.8","834.7","C"
"Below 15 °C","322.4","283.8","275.0","210.2","136.9","65.1","21.1","15.7","62.2","168.8","264.8","320.3","2146.3","C"
"Below 18 °C","415.4","368.5","368.0","300.2","228.9","150.9","98.1","87.6","149.3","261.6","354.8","413.3","3196.6","C"
"Humidex"
"Extreme Humidex","14.8","15.2","15.0","19.0","22.4","26.5","28.3","32.3","26.0","21.0","15.4","16.4","",""
"Date (yyyy/dd)","2001/02","1998/15","1994/28","1997/22","1998/01","1995/29","1998/27","1997/10","1994/16","2001/04","1995/15","1997/12",""," "
"Wind Chill"
"Extreme Wind Chill","-13.5","-11.3","-7.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-11.4","-16.5","",""
"Date (yyyy/dd)","1996/28","1994/23","1995/05","1994/01","1994/01","1994/01","1994/01","1994/01","1994/01","1994/01","1996/21","1996/29",""," "

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","March     13","C"
"Average Date of First Fall Frost","November  19","C"
"Average Length of Frost-Free Period","250 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Apr 09","Mar 27","Mar 23","Mar 13","Mar 05","Feb 28","Feb 16"
