"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*BLUE RIVER A","BC"," 52°07'44.500"" N","119°17'22.300"" W","690.4 m","1160899","","YCP"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-7.3","-4.4","0.5","5.2","10.2","14.0","16.4","16.0","11.0","4.5","-1.9","-7.1","4.8","A"
"Standard Deviation","3.6","2.9","1.8","1.2","1.4","1.3","1.2","1.1","1.5","1.0","2.8","3.1","2.2","A"
"Daily Maximum (°C)","-3.5","0.4","6.1","11.9","17.6","21.1","24.0","24.2","18.3","9.2","0.9","-3.7","10.5","A"
"Daily Minimum (°C)","-11.0","-9.1","-5.2","-1.6","2.8","6.9","8.8","7.7","3.7","-0.2","-4.6","-10.5","-1.0","A"
"Extreme Maximum (°C)","8.6","11.0","19.4","28.0","33.0","34.1","37.5","37.8","33.6","25.5","16.1","10.0","",""
"Date (yyyy/dd)","1989/30","2005/27","1994/29","1977/25","1983/29","2006/27","1979/20","1971/01","2003/03","1980/05","1975/04","1980/26",""," "
"Extreme Minimum (°C)","-44.0","-37.8","-30.0","-15.6","-6.8","-2.7","-0.6","-3.5","-7.2","-20.0","-36.9","-44.8","",""
"Date (yyyy/dd)","1996/30","1996/02","1976/03","1975/01","2002/08","1984/02","2002/06","1992/24","1972/27","1984/31","1985/28","1984/30",""," "
"Precipitation"
"Rainfall (mm)","21.3","17.6","35.8","52.7","75.6","98.8","107.3","82.4","71.3","94.0","49.5","13.5","719.7","A"
"Snowfall (cm)","113.5","49.5","38.3","7.0","0.4","0.0","0.0","0.0","0.0","10.0","82.4","103.4","404.4","A"
"Precipitation (mm)","105.4","53.8","64.7","58.7","75.8","98.8","107.3","82.4","71.3","102.5","115.2","88.4","1024.4","A"
"Average Snow Depth (cm)","72","78","62","13","0","0","0","0","0","0","14","43","24","A"
"Median Snow Depth (cm)","71","77","64","9","0","0","0","0","0","0","13","44","23","A"
"Snow Depth at Month-end (cm)","81","76","40","1","0","0","0","0","0","2","26","53","23","C"
"Extreme Daily Rainfall (mm)","30.6","17.8","22.0","31.6","29.2","44.4","44.9","35.1","40.4","47.4","38.8","35.8","",""
"Date (yyyy/dd)","1992/31","1971/14","1993/06","2003/25","2002/20","1999/09","2006/09","1975/21","1978/02","2003/16","1983/15","1980/14",""," "
"Extreme Daily Snowfall (cm)","56.1","29.7","33.2","10.8","3.0","0.0","0.0","0.0","3.8","34.8","33.3","51.8","",""
"Date (yyyy/dd)","1972/21","1975/10","1993/14","2003/03","1999/07","1970/01","1970/01","1970/01","1972/23","1975/29","1972/30","2000/16",""," "
"Extreme Daily Precipitation (mm)","41.8","22.9","26.2","32.0","29.2","44.4","44.9","35.1","40.4","47.4","42.4","45.6","",""
"Date (yyyy/dd)","1986/18","1972/27","1993/14","2003/25","2002/20","1999/09","2006/09","1975/21","1978/02","2003/16","1998/12","1980/14",""," "
"Extreme Snow Depth (cm)","175","155","157","107","15","0","0","0","3","21","69","115","",""
"Date (yyyy/dd)","1972/22","1974/04","1972/05","1975/03","1982/01","1970/01","1970/01","1970/01","1972/28","2004/23","1973/28","1984/21",""," "
"Days with Maximum Temperature"
"<= 0 °C","19.4","10.7","2.3","0.04","0.0","0.0","0.0","0.0","0.0","0.50","9.3","22.3","64.6","A"
"> 0 °C","11.6","17.6","28.7","30.0","31.0","30.0","31.0","31.0","30.0","30.5","20.7","8.7","300.7","A"
"> 10 °C","0.0","0.15","5.4","17.9","29.0","29.9","31.0","31.0","28.2","11.7","0.19","0.0","184.3","A"
"> 20 °C","0.0","0.0","0.0","2.0","9.5","16.8","22.4","22.8","11.5","0.65","0.0","0.0","85.7","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.50","1.4","5.2","5.5","0.46","0.0","0.0","0.0","13.1","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.38","0.31","0.0","0.0","0.0","0.0","0.69","A"
"Days with Minimum Temperature"
"> 0 °C","0.78","1.4","3.3","10.3","22.5","29.1","31.0","30.6","24.7","14.7","4.9","0.40","173.5","C"
"<= 2 °C","31.0","28.2","31.0","26.7","12.6","2.4","0.23","1.5","10.0","21.3","28.7","31.0","224.6","C"
"<= 0 °C","30.2","26.9","27.7","19.7","8.5","0.88","0.04","0.42","5.4","16.3","25.2","30.6","191.7","C"
"< -2 °C","25.6","21.9","19.7","12.6","3.9","0.04","0.0","0.12","2.2","9.0","17.0","27.2","139.4","C"
"< -10 °C","13.5","10.7","5.0","0.42","0.0","0.0","0.0","0.0","0.0","0.50","4.3","13.5","47.9","C"
"< -20 °C","5.5","3.2","0.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.81","3.9","13.9","C"
"< - 30 °C","1.9","0.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.19","1.0","3.6","C"
"Days with Rainfall"
">= 0.2 mm","5.0","5.4","10.3","14.5","16.7","18.9","17.7","15.1","14.3","16.9","9.5","3.4","147.7","A"
">= 5 mm","1.4","1.4","2.3","3.5","5.9","7.1","7.0","5.8","4.9","6.5","3.4","0.88","49.9","A"
">= 10 mm","0.48","0.26","0.85","1.2","2.2","3.0","3.3","2.7","2.3","2.9","1.4","0.31","20.9","A"
">= 25 mm","0.11","0.0","0.0","0.04","0.04","0.20","0.46","0.23","0.08","0.46","0.19","0.0","1.8","A"
"Days With Snowfall"
">= 0.2 cm","16.6","11.5","9.3","3.2","0.27","0.0","0.0","0.0","0.04","2.8","13.3","17.3","74.2","A"
">= 5 cm","7.7","3.6","2.5","0.27","0.0","0.0","0.0","0.0","0.0","0.73","5.7","7.0","27.5","A"
">= 10 cm","4.3","1.2","1.2","0.04","0.0","0.0","0.0","0.0","0.0","0.19","2.9","3.1","12.8","A"
">= 25 cm","0.41","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.31","0.46","1.2","A"
"Days with Precipitation"
">= 0.2 mm","17.9","14.2","15.9","15.8","16.7","18.9","17.7","15.1","14.3","18.0","19.5","18.0","201.9","A"
">= 5 mm","7.3","4.2","4.5","4.0","5.9","7.1","7.0","5.8","4.9","7.0","8.3","6.2","72.0","A"
">= 10 mm","3.3","1.0","1.7","1.3","2.2","3.0","3.3","2.7","2.3","3.2","3.9","2.5","30.3","A"
">= 25 mm","0.37","0.0","0.04","0.04","0.04","0.20","0.46","0.23","0.08","0.46","0.31","0.15","2.4","A"
"Days with Snow Depth"
">= 1 cm","31.0","28.2","31.0","12.8","0.28","0.0","0.0","0.0","0.0","2.1","20.2","30.8","156.3","D"
">= 5 cm","31.0","28.2","31.0","11.5","0.20","0.0","0.0","0.0","0.0","1.0","16.8","30.5","150.2","D"
">= 10 cm","31.0","28.2","30.4","9.4","0.16","0.0","0.0","0.0","0.0","0.41","13.5","29.5","142.6","D"
">= 20 cm","30.8","28.2","29.2","6.8","0.0","0.0","0.0","0.0","0.0","0.05","7.8","26.7","129.5","D"
"Wind"
"Speed (km/h)","1.6","2.7","2.4","3.1","3.9","3.5","3.1","2.7","2.2","1.7","2.2","1.9","2.6","D"
"Most Frequent Direction","N","N","N","NE","N","NE","NE","NE","NE","N","N","N","N","D"
"Maximum Hourly Speed (km/h)","78.0","63.0","50.0","46.0","52.0","46.0","44.0","63.0","48.0","48.0","77.0","85.0","85.0",""
"Date (yyyy/dd)","1989/31","1990/16","1997/12","2003/13","1992/07","1979/05","1983/31","1991/09","1985/05","1991/27","1976/17","1992/27","1992/27"," "
"Direction of Maximum Hourly Speed","N","N","N","SW","NE","SW","SW","SW","NE","N","SW","N","N",""
"Maximum Gust Speed (km/h)","","0.0","","","","","","","","","","","",""
"Date (yyyy/dd)","","1979/20","","","","","","","","","","",""," "
"Direction of Maximum Gust","CALM","N","CALM","CALM","CALM","CALM","CALM","CALM","CALM","CALM","CALM","CALM","CALM",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.6","3.5","17.2","14.9","0.4","0.0","0.0","0.0","36.5","C"
"Above 15 °C","0.0","0.0","0.0","0.0","4.9","21.5","62.3","56.4","5.3","0.0","0.0","0.0","150.4","C"
"Above 10 °C","0.0","0.0","0.0","1.9","46.6","122.9","199.1","185.5","59.3","2.5","0.0","0.0","617.9","C"
"Above 5 °C","0.0","0.0","1.7","36.6","163.8","270.6","354.1","339.7","183.1","35.0","1.0","0.0","1385.5","C"
"Above 0 °C","5.9","13.5","54.9","155.7","317.1","420.6","509.1","494.7","331.2","147.5","25.6","3.6","2479.2","C"
"Below 0 °C","232.6","136.2","40.9","1.1","0.0","0.0","0.0","0.0","0.0","7.5","81.1","226.5","725.9","C"
"Below 5 °C","381.7","263.8","142.7","31.9","1.8","0.0","0.0","0.0","1.9","50.0","206.6","377.9","1458.3","C"
"Below 10 °C","536.7","404.9","296.0","147.3","39.5","2.4","0.1","0.8","28.1","172.4","355.5","532.9","2516.7","C"
"Below 15 °C","691.7","546.0","451.0","295.4","152.8","51.0","18.2","26.8","124.1","325.0","505.5","687.9","3875.4","C"
"Below 18 °C","784.7","630.7","544.0","385.4","241.5","122.9","66.2","78.2","209.1","418.0","595.5","780.9","4857.1","C"
"Evaporation"
"Lake Evaporation (mm)","","","","","3.1","3.3","3.5","3.0","1.8","1.4","","","",""
"Bright Sunshine"
"Total Hours","39.3","63.0","102.4","153.2","195.5","191.3","216.6","216.2","161.3","82.0","33.5","29.5","1483.8","C"
"Days with measurable","13.5","18.1","23.8","26.8","29.0","28.1","29.3","29.1","26.8","22.2","14.2","12.2","273.1","C"
