"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*BOAT BLUFF","BC"," 52°38'35.050"" N","128°31'26.070"" W","10.7 m","1060901","","WZM"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.6","3.9","5.3","7.4","10.4","12.9","14.7","15.1","12.8","9.0","5.2","3.6","8.7","A"
"Standard Deviation","1.6","1.5","1.4","1.1","1.5","1.1","0.9","0.9","0.9","0.9","1.8","1.7","1.0","A"
"Daily Maximum (°C)","6.0","6.6","8.3","10.9","14.1","16.6","18.7","19.0","16.2","11.7","7.6","5.8","11.8","A"
"Daily Minimum (°C)","1.2","1.2","2.2","3.9","6.6","9.0","10.8","11.1","9.4","6.4","2.9","1.4","5.5","A"
"Extreme Maximum (°C)","18.0","17.0","20.0","25.5","31.5","33.5","32.5","33.0","30.0","21.0","16.5","15.5","",""
"Date (yyyy/dd)","2003/06","1993/08","1994/28","1989/30","1983/29","2004/18","1990/20","1993/03","1989/07","1992/01","1979/21","2005/20",""," "
"Extreme Minimum (°C)","-16.0","-17.5","-14.0","-1.0","-1.0","4.0","5.5","6.5","4.0","-7.6","-20.2","-14.0","",""
"Date (yyyy/dd)","1989/31","1989/01","2003/08","2000/14","2003/15","1999/01","1979/01","1983/18","1983/27","1984/31","1985/26","1996/28",""," "
"Precipitation"
"Rainfall (mm)","574.5","400.3","414.6","386.9","257.7","226.2","179.8","231.4","366.0","630.0","670.1","606.2","4943.6","A"
"Snowfall (cm)","27.4","28.3","13.9","2.3","0.0","0.0","0.0","0.0","0.0","1.9","7.6","21.9","103.2","A"
"Precipitation (mm)","601.9","428.5","428.4","389.1","257.7","226.2","179.8","231.4","366.0","631.8","677.8","628.1","5046.8","A"
"Average Snow Depth (cm)","1","1","0","0","0","0","0","0","0","0","0","0","0","D"
"Median Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Snow Depth at Month-end (cm)","1","3","0","0","0","0","0","0","0","1","0","0","0","C"
"Extreme Daily Rainfall (mm)","204.2","190.9","153.4","134.8","78.0","146.0","113.4","94.2","158.9","210.0","256.9","195.7","",""
"Date (yyyy/dd)","1984/26","1993/27","1993/04","1986/18","1985/12","1987/11","1988/24","1984/13","1992/28","1990/23","1992/12","1989/23",""," "
"Extreme Daily Snowfall (cm)","49.0","80.0","27.2","10.0","0.2","0.0","0.0","0.0","0.0","28.5","18.8","44.2","",""
"Date (yyyy/dd)","1998/04","1986/19","1987/01","1988/06","2003/15","1974/25","1974/01","1974/01","1974/01","1984/29","1997/24","1990/29",""," "
"Extreme Daily Precipitation (mm)","204.2","190.9","153.4","134.8","78.0","146.0","113.4","94.2","158.9","210.0","256.9","195.7","",""
"Date (yyyy/dd)","1984/26","1993/27","1993/04","1986/18","1985/12","1987/11","1988/24","1984/13","1992/28","1990/23","1992/12","1989/23",""," "
"Extreme Snow Depth (cm)","33","78","12","8","0","0","0","0","0","31","46","25","",""
"Date (yyyy/dd)","1982/24","1982/27","1982/25","1988/07","1981/01","1981/01","1981/01","1980/01","1981/01","1984/30","1984/02","1995/05",""," "
"Days with Maximum Temperature"
"<= 0 °C","2.4","0.81","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.92","1.5","6.1","C"
"> 0 °C","28.6","27.4","30.6","30.0","31.0","30.0","31.0","31.0","30.0","30.9","29.1","29.5","359.2","C"
"> 10 °C","2.1","1.9","7.3","14.6","25.2","29.8","31.0","31.0","29.9","22.8","5.1","2.0","202.8","C"
"> 20 °C","0.0","0.0","0.0","0.64","2.8","4.8","10.0","11.0","3.1","0.04","0.0","0.0","32.4","C"
