"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CAMPBELL RIVER A","BC"," 49°57'07.000"" N","125°16'23.000"" W","108.8 m","1021261","","YBL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","2.4","3.2","5.2","8.0","11.6","14.7","17.3","17.2","13.7","8.6","4.4","2.1","9.0","A"
"Standard Deviation","1.9","1.5","1.2","1.1","1.3","1.3","1.1","1.0","1.2","0.9","1.8","1.8","1.3","A"
"Daily Maximum (°C)","5.5","7.2","9.7","13.2","17.0","20.1","23.0","23.3","19.8","13.1","7.7","4.9","13.7","A"
"Daily Minimum (°C)","-0.8","-0.7","0.7","2.8","6.2","9.3","11.5","11.1","7.6","4.0","1.0","-0.8","4.3","A"
"Extreme Maximum (°C)","16.1","17.5","20.6","28.5","33.2","36.9","37.2","37.8","31.6","24.2","17.8","15.1","",""
"Date (yyyy/dd)","1968/20","1991/26","1965/11","1998/30","1983/29","1982/18","1965/31","1971/10","1988/03","1992/01","1975/03","2005/24",""," "
"Extreme Minimum (°C)","-23.9","-17.8","-12.8","-5.6","-2.2","-0.6","2.2","1.7","-2.8","-9.7","-20.4","-18.5","",""
"Date (yyyy/dd)","1969/30","1972/01","1976/03","1972/03","1966/27","1977/02","1971/06","1966/29","1972/27","1984/31","1985/26","1980/07",""," "
"Precipitation"
"Rainfall (mm)","194.6","135.5","128.4","91.6","68.4","62.9","39.4","44.6","55.2","161.0","222.1","204.2","1407.8","A"
"Snowfall (cm)","23.3","14.4","11.7","0.5","0.0","0.0","0.0","0.0","0.0","1.2","10.5","22.6","84.3","A"
"Precipitation (mm)","217.5","149.5","140.0","92.1","68.4","62.9","39.4","44.6","55.2","162.2","231.9","225.7","1489.3","A"
"Average Snow Depth (cm)","4","2","1","0","0","0","0","0","0","0","1","2","1","A"
"Median Snow Depth (cm)","3","1","0","0","0","0","0","0","0","0","0","0","0","A"
"Snow Depth at Month-end (cm)","3","0","0","0","0","0","0","0","0","0","3","6","1","A"
"Extreme Daily Rainfall (mm)","76.7","76.5","63.6","44.5","42.2","37.3","43.7","49.2","53.4","80.0","75.9","87.8","",""
"Date (yyyy/dd)","1968/17","1983/22","1997/17","1969/03","1977/27","1972/10","1974/16","1984/05","1997/16","1999/27","1971/08","1993/12",""," "
"Extreme Daily Snowfall (cm)","53.3","26.0","42.0","11.4","0.0","0.0","0.0","0.0","0.0","29.0","43.2","46.0","",""
"Date (yyyy/dd)","1978/03","1995/14","1996/03","1972/11","1965/01","1965/01","1965/01","1965/01","1965/01","1984/31","1975/29","2000/15",""," "
"Extreme Daily Precipitation (mm)","76.7","76.5","63.8","44.5","42.2","37.3","43.7","49.2","53.4","80.0","75.9","87.8","",""
"Date (yyyy/dd)","1968/17","1983/22","1999/02","1969/03","1977/27","1972/10","1974/16","1984/05","1997/16","1999/27","1971/08","1993/12",""," "
"Extreme Snow Depth (cm)","54","50","37","2","0","0","0","0","0","0","34","50","",""
"Date (yyyy/dd)","1982/23","1990/01","1996/04","1982/02","1981/01","1981/01","1981/01","1980/01","1981/01","1981/01","2006/30","2000/16",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.7","0.46","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.85","1.7","4.7","A"
"> 0 °C","29.3","27.7","30.9","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.2","29.4","360.5","A"
"> 10 °C","2.0","4.1","14.4","24.3","30.4","30.0","31.0","31.0","30.0","25.6","5.9","0.58","229.1","A"
