"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CASTLEGAR A","BC"," 49°17'47.000"" N","117°37'57.000"" W","495.6 m","1141455","","YCG"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-1.6","-0.1","4.4","8.8","13.3","16.8","20.2","20.0","14.7","8.0","2.1","-2.1","8.7","A"
"Standard Deviation","1.9","2.0","1.2","1.0","1.4","1.4","1.8","1.1","1.6","1.0","2.2","2.0","2.1","A"
"Daily Maximum (°C)","0.5","3.2","9.4","15.3","20.0","23.6","28.1","28.2","22.0","12.9","4.7","0.0","14.0","A"
"Daily Minimum (°C)","-3.7","-3.5","-0.7","2.3","6.5","10.0","12.2","11.7","7.3","3.0","-0.6","-4.2","3.4","A"
"Extreme Maximum (°C)","10.0","14.3","23.1","28.2","34.5","36.8","39.9","40.0","36.8","27.2","19.4","11.6","",""
"Date (yyyy/dd)","1974/16","1988/21","2004/30","1980/27","2006/18","1992/23","2003/30","1967/17","2003/03","1980/07","1975/04","1980/27",""," "
"Extreme Minimum (°C)","-25.7","-21.0","-16.0","-7.5","-2.5","1.9","4.1","2.5","-4.3","-11.3","-20.2","-30.6","",""
"Date (yyyy/dd)","1979/01","1996/03","1989/03","1979/01","2002/08","2000/01","1979/03","1992/25","1984/28","2002/31","1977/21","1968/30",""," "
"Precipitation"
"Rainfall (mm)","26.2","28.1","50.1","57.1","70.1","72.3","48.1","30.4","42.4","49.4","58.7","31.3","564.3","A"
"Snowfall (cm)","55.4","25.7","13.2","2.0","0.2","0.0","0.0","0.0","0.0","1.9","37.5","64.8","200.6","A"
"Precipitation (mm)","75.5","51.2","62.9","59.3","70.3","72.3","48.1","30.4","42.4","51.3","96.7","90.3","750.9","A"
"Average Snow Depth (cm)","24","16","3","0","0","0","0","0","0","0","3","14","5","C"
"Median Snow Depth (cm)","23","16","2","0","0","0","0","0","0","0","1","13","5","C"
"Snow Depth at Month-end (cm)","22","10","0","0","0","0","0","0","0","0","10","22","5","C"
"Extreme Daily Rainfall (mm)","25.4","26.2","34.4","31.6","32.8","44.2","56.0","42.9","29.2","30.5","34.1","39.1","",""
"Date (yyyy/dd)","1983/26","1979/25","1993/22","1992/16","1998/26","1986/28","1998/10","1977/24","1986/23","1971/19","1988/05","2002/14",""," "
"Extreme Daily Snowfall (cm)","43.7","27.7","20.0","10.8","2.6","0.0","0.0","0.0","0.0","12.7","37.9","46.0","",""
"Date (yyyy/dd)","1969/09","1969/08","1995/08","1989/01","1985/11","1966/01","1966/01","1966/01","1966/01","1975/25","1984/01","1965/24",""," "
"Extreme Daily Precipitation (mm)","32.0","30.5","34.4","31.6","32.8","44.2","56.0","42.9","29.2","30.5","37.9","41.6","",""
"Date (yyyy/dd)","1969/10","1979/25","1993/22","1992/16","1998/26","1986/28","1998/10","1977/24","1986/23","1971/19","1984/01","1998/12",""," "
"Extreme Snow Depth (cm)","130","114","102","4","0","0","0","0","0","8","45","79","",""
"Date (yyyy/dd)","1969/11","1969/09","1969/01","1989/02","1966/01","1966/01","1966/01","1966/01","1966/01","1996/18","1996/28","1965/28",""," "
"Days with Maximum Temperature"
"<= 0 °C","11.9","5.1","0.46","0.0","0.0","0.0","0.0","0.0","0.0","0.04","2.8","13.7","33.9","A"
"> 0 °C","19.1","23.2","30.5","30.0","31.0","30.0","31.0","31.0","30.0","31.0","27.2","17.4","331.3","A"
