"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CHATHAM POINT","BC"," 50°19'59.500"" N","125°26'44.000"" W","22.9 m","1021480","","WFM"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.1","4.6","6.3","8.7","11.8","14.1","16.0","16.0","13.3","9.3","5.8","3.8","9.5","A"
"Standard Deviation","1.5","1.4","1.0","0.9","1.0","0.9","0.7","0.8","0.7","0.7","1.6","1.6","1.1","A"
"Daily Maximum (°C)","5.6","6.5","8.7","11.9","15.4","17.9","19.9","19.6","16.3","11.3","7.3","5.3","12.1","A"
"Daily Minimum (°C)","2.5","2.6","3.7","5.5","8.1","10.4","12.1","12.3","10.3","7.3","4.2","2.4","6.8","A"
"Extreme Maximum (°C)","13.3","13.8","17.4","24.7","31.2","32.0","33.3","31.1","26.4","19.3","15.6","14.0","",""
"Date (yyyy/dd)","1968/20","1995/08","2004/29","1998/30","1983/29","2004/18","1961/12","1960/08","1989/08","1987/01","1970/02","2005/24",""," "
"Extreme Minimum (°C)","-10.6","-11.5","-6.1","-0.6","0.0","4.4","6.7","7.2","1.7","-3.9","-13.0","-15.0","",""
"Date (yyyy/dd)","1969/22","1989/02","1976/03","1972/03","1969/03","1976/12","1971/05","1973/18","1972/27","1984/31","1985/27","1968/28",""," "
"Precipitation"
"Rainfall (mm)","282.6","199.0","209.3","170.7","133.0","122.1","70.2","83.6","100.6","280.6","342.4","274.0","2268.1","A"
"Snowfall (cm)","14.0","9.6","4.0","0.1","0.0","0.0","0.0","0.0","0.0","0.7","6.2","13.7","48.4","A"
"Precipitation (mm)","296.6","208.7","213.4","170.8","133.0","122.1","70.2","83.6","100.6","281.3","348.5","287.8","2316.4","A"
"Average Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","1","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","1","3","0","C"
