"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*COMOX A","BC"," 49°43'00.000"" N","124°54'00.000"" W","25.6 m","1021830","71893","YQQ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.9","4.3","6.1","8.8","12.4","15.5","18.0","17.9","14.5","9.5","5.7","3.5","10.0","A"
"Standard Deviation","1.4","1.3","1.0","0.9","1.1","1.1","1.0","0.8","0.9","0.7","1.5","1.5","0.5","A"
"Daily Maximum (°C)","6.4","7.4","9.6","12.9","16.6","19.8","22.8","22.7","19.0","12.9","8.5","5.9","13.7","A"
"Daily Minimum (°C)","1.4","1.2","2.5","4.6","8.0","11.1","13.3","13.0","9.9","6.0","2.9","0.9","6.2","A"
"Extreme Maximum (°C)","16.7","16.3","19.0","26.8","31.7","34.4","35.2","33.6","30.6","22.9","17.8","17.4","",""
"Date (yyyy/dd)","1968/20","1986/27","2004/29","1998/30","1983/29","1969/09","2009/28","1981/08","1949/05","1992/01","1944/04","2005/24",""," "
"Extreme Minimum (°C)","-21.1","-16.1","-13.9","-4.4","-2.8","0.5","5.0","3.3","-1.7","-4.8","-13.3","-15.0","",""
"Date (yyyy/dd)","1950/31","1949/05","1951/10","1948/01","1954/01","1988/05","1952/06","1997/29","1972/27","1984/31","1985/27","1968/28",""," "
"Precipitation"
"Rainfall (mm)","159.1","107.8","95.7","64.4","45.6","42.8","26.7","29.2","41.8","122.7","191.9","168.9","1096.5","A"
"Snowfall (cm)","11.9","6.0","9.9","0.2","0.0","0.0","0.0","0.0","0.0","0.1","8.2","18.7","55.0","A"
"Precipitation (mm)","171.9","114.3","105.7","64.6","45.6","42.8","26.7","29.2","41.8","122.8","200.5","187.9","1153.6","A"
"Average Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","1","0","A"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","A"
"Snow Depth at Month-end (cm)","1","0","0","0","0","0","0","0","0","0","1","3","0","A"
"Extreme Daily Rainfall (mm)","77.0","80.2","66.8","40.9","29.2","39.4","41.2","69.1","42.2","59.4","78.8","113.0","",""
"Date (yyyy/dd)","1968/18","1983/11","1997/17","1950/11","1973/23","1992/29","2009/06","1957/11","1973/20","1956/19","1998/24","1957/22",""," "
"Extreme Daily Snowfall (cm)","60.2","27.7","66.2","15.2","0.3","0.0","0.0","0.0","0.0","3.3","35.8","59.7","",""
"Date (yyyy/dd)","1978/04","1975/12","1996/03","1962/27","1974/14","1945/01","1944/01","1944/01","1944/01","1975/29","1984/01","1967/21",""," "
