"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*COWICHAN LAKE FORESTRY","BC"," 48°49'28.000"" N","124°08'00.000"" W","176.8 m","1012040","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.4","4.0","5.9","8.5","12.0","14.9","17.7","18.2","15.2","10.1","5.5","2.9","9.8","A"
"Standard Deviation","1.5","1.4","1.3","1.0","1.4","1.4","1.2","1.1","1.2","1.0","1.6","1.4","1.3","A"
"Daily Maximum (°C)","6.1","7.6","10.1","13.3","17.2","20.2","23.9","24.7","21.3","14.2","8.3","5.4","14.3","A"
"Daily Minimum (°C)","0.6","0.4","1.7","3.6","6.7","9.4","11.5","11.7","9.1","5.9","2.6","0.4","5.3","A"
"Extreme Maximum (°C)","14.0","18.5","22.0","28.0","33.0","35.0","37.2","38.0","36.0","28.5","18.3","16.0","",""
"Date (yyyy/dd)","1986/13","1991/26","1994/28","1998/30","1983/28","1969/17","1965/30","1981/08","1988/03","1987/01","1970/02","2005/24",""," "
"Extreme Minimum (°C)","-17.8","-16.7","-14.4","-5.6","-3.9","0.6","1.7","3.9","-1.1","-5.5","-15.0","-15.0","",""
"Date (yyyy/dd)","1950/14","1950/01","1955/04","1951/20","1954/01","1950/06","1974/14","1955/26","1950/30","1984/31","1985/23","1968/29",""," "
"Precipitation"
"Rainfall (mm)","331.8","222.3","213.9","139.8","86.2","58.0","36.6","45.1","55.4","221.9","378.9","319.9","2109.7","A"
"Snowfall (cm)","27.2","26.1","10.6","1.4","0.3","0.0","0.0","0.0","0.0","0.8","11.1","19.8","97.2","A"
"Precipitation (mm)","359.0","248.3","224.5","141.2","86.5","58.0","36.6","45.1","55.4","222.7","390.0","339.7","2206.9","A"
"Average Snow Depth (cm)","3","2","0","0","0","0","0","0","0","0","1","2","1","A"
"Median Snow Depth (cm)","1","1","0","0","0","0","0","0","0","0","0","1","0","A"
"Snow Depth at Month-end (cm)","3","0","0","0","0","0","0","0","0","0","3","3","1","C"
"Extreme Daily Rainfall (mm)","145.5","114.4","140.4","76.7","57.7","57.9","51.6","93.9","57.2","117.8","134.2","121.9","",""
"Date (yyyy/dd)","1961/14","1991/01","1997/17","1970/05","1973/23","1956/08","1974/16","1991/29","1953/27","2003/16","1995/07","1993/09",""," "
"Extreme Daily Snowfall (cm)","48.3","40.6","29.2","15.2","6.0","0.0","0.0","0.0","0.0","15.6","23.0","50.8","",""
"Date (yyyy/dd)","1975/11","1969/07","1962/04","1975/02","1986/12","1949/01","1949/09","1949/01","1949/01","1984/31","1985/26","1964/31",""," "
"Extreme Daily Precipitation (mm)","149.4","114.4","140.4","76.7","57.7","57.9","51.6","93.9","57.2","117.8","134.2","121.9","",""
"Date (yyyy/dd)","1999/28","1991/01","1997/17","1970/05","1973/23","1956/08","1974/16","1991/29","1953/27","2003/16","1995/07","1993/09",""," "
"Extreme Snow Depth (cm)","48","50","22","1","0","0","0","0","0","2","34","47","",""
"Date (yyyy/dd)","2000/12","1990/08","1991/02","1982/14","1981/01","1981/01","1981/01","1980/01","1981/01","1991/29","1985/27","1996/29",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.0","0.22","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.68","1.5","3.6","C"
"> 0 °C","30.0","28.0","30.9","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.3","29.5","361.6","C"
"> 10 °C","2.6","4.9","13.5","21.6","29.7","30.0","31.0","31.0","30.0","26.7","8.3","1.5","230.7","C"
"> 20 °C","0.0","0.0","0.19","3.2","8.0","13.2","22.9","25.1","16.7","2.3","0.0","0.0","91.6","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.27","1.4","3.2","3.5","0.56","0.0","0.0","0.0","9.0","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.31","0.23","0.04","0.0","0.0","0.0","0.58","C"
"Days with Minimum Temperature"
"> 0 °C","17.5","14.8","20.8","25.9","30.6","30.0","31.0","31.0","30.0","29.7","22.2","16.0","299.5","A"
"<= 2 °C","19.6","19.0","18.3","10.8","2.5","0.0","0.0","0.0","0.20","4.0","13.8","22.1","110.3","A"
"<= 0 °C","13.5","13.4","10.2","4.1","0.38","0.0","0.0","0.0","0.0","1.4","7.8","15.0","65.7","A"
"< -2 °C","5.7","5.4","2.4","0.15","0.0","0.0","0.0","0.0","0.0","0.35","2.5","6.3","22.9","A"
"< -10 °C","0.37","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.23","0.31","1.1","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.7","15.7","19.6","17.1","14.4","12.2","7.1","6.8","8.1","16.0","20.0","19.0","174.6","A"
">= 5 mm","12.3","8.8","10.6","8.1","5.5","4.1","2.2","2.6","3.3","9.5","14.6","11.7","93.2","A"
">= 10 mm","9.5","6.6","6.7","4.8","2.8","1.5","1.1","1.3","2.0","6.7","10.9","9.1","63.0","A"
">= 25 mm","4.3","3.0","2.4","1.1","0.46","0.24","0.23","0.48","0.48","3.0","5.5","5.0","26.2","A"
"Days With Snowfall"
">= 0.2 cm","4.8","3.6","2.6","0.62","0.08","0.0","0.0","0.0","0.0","0.08","1.9","3.9","17.6","A"
">= 5 cm","1.9","1.9","0.58","0.08","0.04","0.0","0.0","0.0","0.0","0.08","0.85","1.7","7.1","A"
">= 10 cm","0.81","1.0","0.27","0.08","0.0","0.0","0.0","0.0","0.0","0.04","0.38","0.65","3.3","A"
">= 25 cm","0.11","0.07","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.26","A"
"Days with Precipitation"
">= 0.2 mm","21.0","17.3","20.2","17.1","14.4","12.2","7.1","6.8","8.1","16.1","20.8","21.0","182.1","A"
">= 5 mm","13.9","10.3","11.1","8.2","5.5","4.1","2.2","2.6","3.3","9.5","15.1","13.0","98.7","A"
">= 10 mm","10.4","7.5","7.1","4.8","2.8","1.5","1.1","1.3","2.0","6.8","11.2","9.9","66.4","A"
">= 25 mm","4.8","3.3","2.6","1.1","0.46","0.24","0.23","0.48","0.48","3.0","5.5","5.1","27.3","A"
"Days with Snow Depth"
">= 1 cm","6.4","5.3","2.0","0.13","0.0","0.0","0.0","0.0","0.0","0.04","2.0","6.5","22.3","D"
">= 5 cm","5.6","3.8","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","4.6","16.5","D"
">= 10 cm","3.6","2.6","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.88","2.2","9.5","D"
">= 20 cm","0.73","1.0","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.27","0.42","2.5","D"
"Degree Days"
