"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CRANBROOK A","BC"," 49°36'44.000"" N","115°46'55.000"" W","940.0 m","1152102","71880","YXC"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-6.1","-3.2","2.0","6.6","11.3","15.0","18.7","18.2","12.6","5.7","-1.3","-7.2","6.0","A"
"Standard Deviation","2.9","2.7","1.9","1.2","1.5","1.4","1.9","1.4","1.9","1.2","2.7","2.8","0.8","A"
"Daily Maximum (°C)","-1.9","1.9","7.5","12.9","17.9","21.6","26.2","26.0","19.9","11.7","2.7","-3.4","11.9","A"
"Daily Minimum (°C)","-10.2","-8.3","-3.5","0.3","4.7","8.4","11.2","10.3","5.3","-0.3","-5.2","-11.0","0.1","A"
"Extreme Maximum (°C)","13.9","13.5","22.4","28.0","34.2","35.9","36.7","36.3","33.7","29.2","19.5","12.2","",""
"Date (yyyy/dd)","2005/24","1995/24","2004/30","1977/25","1986/30","1987/14","2003/23","2008/18","1988/03","1980/07","1981/01","1975/09",""," "
"Extreme Minimum (°C)","-35.9","-31.8","-28.3","-15.6","-4.4","-1.3","1.0","-1.3","-6.9","-17.1","-31.8","-40.0","",""
"Date (yyyy/dd)","1979/01","1996/01","1976/02","1975/01","1973/01","1984/01","1979/03","1992/24","2000/22","2002/30","1985/28","1968/30",""," "
"Precipitation"
"Rainfall (mm)","4.5","4.2","10.8","19.9","44.1","62.1","38.3","28.0","30.8","16.5","14.5","5.8","279.5","A"
"Snowfall (cm)","25.3","18.2","12.5","5.4","1.5","0.0","0.0","0.0","0.6","3.8","23.7","34.4","125.3","A"
"Precipitation (mm)","25.5","18.9","22.2","24.6","46.1","62.2","38.3","28.0","31.3","20.1","35.3","32.7","385.3","A"
"Average Snow Depth (cm)","17","12","2","0","0","0","0","0","0","0","3","11","4","A"
"Median Snow Depth (cm)","16","13","1","0","0","0","0","0","0","0","1","12","3","A"
"Snow Depth at Month-end (cm)","16","7","0","0","0","0","0","0","0","0","7","19","4","A"
"Extreme Daily Rainfall (mm)","12.8","14.4","12.0","31.5","53.1","52.6","42.2","23.9","43.4","23.0","17.5","12.7","",""
"Date (yyyy/dd)","1997/01","1981/19","1998/22","1978/28","1968/22","2005/28","1992/23","1974/10","2005/10","1980/21","1974/20","1968/10",""," "
"Extreme Daily Snowfall (cm)","21.8","25.8","21.0","19.6","15.0","0.6","0.0","0.0","20.3","14.2","20.2","30.2","",""
"Date (yyyy/dd)","1971/10","1986/15","1991/25","1972/17","1996/08","1999/06","1968/01","1968/01","1972/26","2009/26","1980/29","1996/29",""," "
"Extreme Daily Precipitation (mm)","31.4","24.9","24.5","31.5","53.1","52.6","42.2","23.9","43.4","23.0","19.1","27.8","",""
"Date (yyyy/dd)","1981/24","2002/23","1991/25","1978/28","1968/22","2005/28","1992/23","1974/10","2005/10","1980/21","1996/17","2007/03",""," "
"Extreme Snow Depth (cm)","79","66","48","15","8","0","0","0","18","12","44","80","",""
"Date (yyyy/dd)","1971/16","1975/13","1978/01","1972/17","1996/08","1969/01","1969/01","1969/01","1972/27","1996/18","1996/29","1996/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","17.2","8.0","1.8","0.03","0.04","0.0","0.0","0.0","0.0","0.52","8.0","21.7","57.4","A"
"> 0 °C","13.8","20.2","29.2","30.0","31.0","30.0","31.0","31.0","30.0","30.5","22.0","9.3","307.8","A"
"> 10 °C","0.17","0.73","9.1","20.9","29.5","29.7","31.0","30.9","29.0","19.8","2.0","0.0","202.9","A"
"> 20 °C","0.0","0.0","0.03","2.6","10.6","18.2","26.8","27.0","14.6","1.7","0.0","0.0","101.5","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.57","1.5","7.9","7.0","0.97","0.0","0.0","0.0","17.9","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.07","0.70","0.33","0.0","0.0","0.0","0.0","1.1","A"
"Days with Minimum Temperature"
"> 0 °C","1.6","1.7","5.3","15.6","27.4","29.9","31.0","30.9","27.3","14.5","5.2","0.97","191.2","A"
"<= 2 °C","30.6","27.8","29.3","21.1","7.8","0.67","0.0","0.17","5.9","21.6","27.9","30.8","203.6","A"
"<= 0 °C","29.4","26.6","25.7","14.5","3.6","0.13","0.0","0.07","2.8","16.5","24.8","30.0","174.0","A"
"< -2 °C","27.1","23.2","18.7","8.1","1.0","0.0","0.0","0.0","0.96","10.7","20.4","28.5","138.7","A"
"< -10 °C","13.5","9.7","2.3","0.07","0.0","0.0","0.0","0.0","0.0","0.59","5.5","15.9","47.6","A"
"< -20 °C","4.0","1.9","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.77","3.2","10.0","A"
"< - 30 °C","0.40","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.10","0.47","1.1","A"
"Days with Rainfall"
">= 0.2 mm","2.8","2.5","5.4","7.3","11.4","13.6","9.2","8.4","8.4","7.4","5.7","2.3","84.2","A"
">= 5 mm","0.20","0.13","0.43","1.3","2.5","4.1","2.6","2.0","2.0","0.83","1.0","0.27","17.2","A"
">= 10 mm","0.03","0.07","0.10","0.33","1.3","1.6","0.93","0.63","0.73","0.17","0.30","0.10","6.3","A"
">= 25 mm","0.0","0.0","0.0","0.0","0.14","0.27","0.10","0.0","0.07","0.0","0.0","0.0","0.58","A"
"Days With Snowfall"
">= 0.2 cm","10.4","7.2","5.6","2.7","0.69","0.03","0.0","0.0","0.13","1.2","7.6","12.2","47.8","A"
">= 5 cm","1.7","0.93","0.67","0.24","0.07","0.0","0.0","0.0","0.03","0.28","1.6","2.2","7.7","A"
">= 10 cm","0.23","0.23","0.07","0.03","0.0","0.0","0.0","0.0","0.03","0.07","0.40","0.47","1.5","A"
">= 25 cm","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.06","A"
"Days with Precipitation"
">= 0.2 mm","11.1","8.5","9.2","8.8","11.6","13.6","9.2","8.4","8.4","8.2","11.8","12.8","121.5","A"
">= 5 mm","1.4","0.83","1.1","1.6","2.6","4.1","2.6","2.0","2.0","1.2","2.4","1.7","23.4","A"
">= 10 mm","0.20","0.13","0.23","0.43","1.3","1.6","0.93","0.63","0.73","0.28","0.73","0.37","7.6","A"
">= 25 mm","0.03","0.0","0.0","0.0","0.14","0.27","0.10","0.0","0.07","0.0","0.0","0.03","0.64","A"
"Days with Snow Depth"
">= 1 cm","27.4","20.3","7.6","0.77","0.14","0.0","0.0","0.0","0.0","0.79","9.2","25.8","92.1","A"
">= 5 cm","25.2","17.3","4.4","0.13","0.03","0.0","0.0","0.0","0.0","0.38","4.9","22.3","74.7","A"
">= 10 cm","21.2","14.2","2.2","0.03","0.0","0.0","0.0","0.0","0.0","0.10","2.7","15.7","56.1","A"
">= 20 cm","11.3","6.7","0.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","6.0","25.7","A"
"Wind"
"Speed (km/h)","5.4","6.5","9.2","11.0","10.8","10.5","10.2","9.7","8.4","7.9","6.5","4.8","8.4","A"
"Most Frequent Direction","S","S","S","S","W","S","W","W","W","S","S","W","S","A"
"Maximum Hourly Speed (km/h)","42.0","51.0","50.0","60.0","52.0","53.0","64.0","69.0","48.0","59.0","46.0","56.0","69.0",""
"Date (yyyy/dd)","1972/16","1972/16","1974/21","1973/13","1978/21","1973/09","1969/25","1986/10","1968/20","2008/07","1977/01","1977/07","1986/10"," "
"Direction of Maximum Hourly Speed","S","S","N","N","SE","W","W","N","N","SW","SE","N","N",""
"Maximum Gust Speed (km/h)","67.0","67.0","77.0","93.0","83.0","100.0","89.0","89.0","72.0","78.0","80.0","74.0","100.0",""
"Date (yyyy/dd)","1991/18","1979/27","1974/21","1981/05","1981/25","2007/29","1969/25","1969/04","1972/09","1978/24","1986/24","1980/27","2007/29"," "
"Direction of Maximum Gust","N","S","N","W","S","SW","W","S","W","W","W","W","SW",""
"Days with Winds >= 52 km/h","0.0","0.0","0.0","0.2","0.2","0.1","0.0","0.2","0.0","0.1","0.1","0.0","0.9","A"
"Days with Winds >= 63 km/h","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.2","2.6","0.7","0.0","0.0","0.0","0.0","3.5","A"
"Above 18 °C","0.0","0.0","0.0","0.0","3.4","13.8","58.5","47.0","5.1","0.0","0.0","0.0","127.8","A"
"Above 15 °C","0.0","0.0","0.0","0.2","14.6","43.9","124.9","110.3","22.9","0.1","0.0","0.0","316.8","A"
"Above 10 °C","0.0","0.0","0.1","9.9","73.1","153.5","271.1","253.3","98.7","9.7","0.0","0.0","869.4","A"
"Above 5 °C","0.5","0.8","10.1","69.2","198.7","300.6","425.9","407.8","228.4","61.5","5.3","0.0","1708.8","A"
"Above 0 °C","13.2","22.1","89.7","198.6","352.3","450.6","580.9","562.8","377.1","184.4","45.0","7.5","2883.9","A"
"Below 0 °C","201.4","112.7","26.8","1.1","0.0","0.0","0.0","0.0","0.0","5.9","80.9","231.4","660.3","A"
"Below 5 °C","343.7","232.6","102.3","21.8","1.4","0.1","0.0","0.0","1.4","38.1","191.2","378.9","1311.3","A"
"Below 10 °C","498.2","373.0","247.3","112.5","30.8","3.0","0.2","0.6","21.6","141.3","335.9","533.9","2298.2","A"
"Below 15 °C","653.2","514.1","402.2","252.7","127.3","43.3","9.1","12.5","95.9","286.7","485.9","688.9","3571.7","A"
"Below 18 °C","746.2","598.8","495.2","342.6","209.1","103.3","35.6","42.2","168.1","379.6","575.9","781.9","4478.4","A"
"Bright Sunshine"
"Total Hours","63.5","106.9","163.2","215.0","256.7","267.8","315.1","302.7","218.2","159.5","69.8","51.9","2190.5","C"
"Days with measurable","20.4","23.6","28.0","28.9","29.8","29.1","30.3","30.5","28.6","29.1","19.8","16.7","314.5","C"
"% of possible daylight hours","23.7","37.5","44.4","52.2","54.0","55.0","64.2","67.7","57.5","47.6","25.5","20.4","45.8","C"
