"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CRESTON","BC"," 49°05'49.400"" N","116°31'04.200"" W","610.4 m","1142160","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-1.6","0.0","4.4","8.8","13.0","16.4","19.7","19.6","14.4","7.9","2.0","-2.3","8.5","A"
"Standard Deviation","1.9","2.0","1.3","1.0","1.4","1.4","1.8","1.3","1.7","1.1","2.2","2.2","2.0","A"
"Daily Maximum (°C)","1.1","3.7","9.3","15.0","19.6","22.9","27.2","27.4","21.4","13.2","5.0","0.3","13.9","A"
"Daily Minimum (°C)","-4.2","-3.7","-0.6","2.7","6.4","9.8","12.1","11.7","7.3","2.6","-1.1","-4.9","3.2","A"
"Extreme Maximum (°C)","12.2","14.0","24.0","30.0","36.7","37.8","39.4","38.0","35.6","27.0","17.8","13.3","",""
"Date (yyyy/dd)","1953/31","1988/21","2004/30","1926/29","1936/30","1926/26","1941/16","1998/05","1938/03","2003/06","1975/03","1933/21",""," "
"Extreme Minimum (°C)","-32.8","-31.1","-21.7","-15.0","-6.7","-1.7","1.7","-0.6","-7.2","-20.0","-23.3","-30.6","",""
"Date (yyyy/dd)","1924/03","1933/09","1955/05","1936/01","1954/01","1933/01","1935/09","1922/29","1926/24","1935/31","1946/21","1968/30",""," "
"Precipitation"
"Rainfall (mm)","30.3","26.0","41.8","44.8","64.6","70.9","39.9","31.0","41.5","43.5","59.0","31.2","524.5","A"
"Snowfall (cm)","38.3","17.7","7.5","1.6","0.0","0.0","0.0","0.0","0.0","1.6","25.0","46.3","137.9","A"
"Precipitation (mm)","68.6","43.7","49.4","46.4","64.6","70.9","39.9","31.0","41.5","45.1","84.0","77.5","662.4","A"
"Average Snow Depth (cm)","12","5","1","0","0","0","0","0","0","0","2","9","2","A"
"Median Snow Depth (cm)","11","4","1","0","0","0","0","0","0","0","0","8","2","A"
"Snow Depth at Month-end (cm)","9","2","0","0","0","0","0","0","0","0","5","16","3","A"
"Extreme Daily Rainfall (mm)","22.9","26.7","38.8","35.8","49.4","46.5","28.7","49.6","56.4","27.4","39.6","37.6","",""
"Date (yyyy/dd)","1919/17","1921/14","2003/12","1992/16","1998/26","1967/21","1963/18","1993/20","1927/11","1924/03","1974/20","1995/12",""," "
"Extreme Daily Snowfall (cm)","38.1","32.8","25.4","15.7","8.1","0.0","0.0","0.0","0.0","16.5","45.7","43.9","",""
