"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*DARFIELD","BC"," 51°17'50.400"" N","120°10'57.600"" W","412.0 m","1162265","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-4.5","-1.8","3.5","8.4","12.9","16.5","19.1","18.4","13.0","6.4","0.4","-4.0","7.4","A"
"Standard Deviation","3.5","2.8","1.8","1.0","1.4","1.3","1.4","1.2","1.5","0.8","2.8","3.0","2.2","A"
"Daily Maximum (°C)","-1.5","2.3","9.3","15.3","20.0","23.4","26.4","26.0","19.8","11.1","3.1","-1.4","12.8","A"
"Daily Minimum (°C)","-7.5","-5.9","-2.3","1.4","5.8","9.6","11.7","10.7","6.1","1.5","-2.4","-6.6","1.8","A"
"Extreme Maximum (°C)","13.5","16.1","21.0","30.0","35.5","36.1","38.5","38.0","33.0","27.0","20.6","12.2","",""
"Date (yyyy/dd)","1989/30","1963/06","1991/31","1977/24","1983/29","1969/11","1979/19","2004/14","2003/03","1984/08","1975/03","1963/31",""," "
"Extreme Minimum (°C)","-41.1","-31.0","-26.7","-9.4","-3.9","0.0","3.3","-0.6","-5.6","-19.0","-31.0","-38.3","",""
"Date (yyyy/dd)","1969/29","1986/19","1976/03","1975/01","1964/14","1973/11","1971/02","1973/19","1972/27","1984/31","1985/27","1968/30",""," "
"Precipitation"
"Rainfall (mm)","10.3","9.7","19.7","28.0","45.5","54.1","52.1","41.8","35.2","38.7","29.1","8.4","372.5","A"
"Snowfall (cm)","32.4","13.1","5.3","0.6","0.0","0.0","0.0","0.0","0.0","1.3","22.4","37.5","112.6","A"
