"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*DAWSON CREEK A","BC"," 55°44'30.000"" N","120°10'55.000"" W","654.7 m","1182285","71471","YDQ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-13.2","-10.2","-5.0","3.5","9.3","13.6","15.5","14.4","9.8","3.3","-6.8","-11.1","1.9","A"
"Standard Deviation","6.2","4.4","4.8","2.1","1.7","1.0","0.9","1.3","1.7","1.5","4.6","5.6","2.6","A"
"Daily Maximum (°C)","-7.2","-3.9","0.9","10.0","16.4","20.1","22.2","21.5","16.2","9.0","-1.5","-5.3","8.2","A"
"Daily Minimum (°C)","-19.0","-16.5","-10.9","-3.1","2.1","6.9","8.9","7.2","3.3","-2.4","-12.2","-16.8","-4.4","A"
"Extreme Maximum (°C)","16.6","15.5","18.9","29.0","32.2","33.3","35.0","34.5","32.0","27.5","18.9","13.8","",""
"Date (yyyy/dd)","2003/06","1992/28","1994/30","1977/25","1983/29","1970/03","2006/22","1981/09","1981/07","1988/04","1969/02","1997/13",""," "
"Extreme Minimum (°C)","-48.3","-45.0","-44.4","-31.4","-13.8","-5.0","-1.7","-7.1","-16.7","-30.9","-39.8","-49.2","",""
"Date (yyyy/dd)","1969/26","1975/12","1972/01","2002/02","2002/07","1969/12","1999/16","1992/23","1974/30","1984/31","1985/26","1992/29",""," "
"Precipitation"
"Rainfall (mm)","0.8","0.4","0.6","9.4","29.8","67.4","84.9","54.2","38.8","15.9","4.2","0.8","307.2","A"
"Snowfall (cm)","34.2","22.8","26.6","11.2","5.1","0.0","0.0","0.0","2.4","15.2","29.1","26.0","172.7","A"
"Precipitation (mm)","29.1","18.6","22.6","19.8","34.4","67.4","84.9","54.2","41.2","29.9","29.0","22.2","453.2","A"
"Extreme Daily Rainfall (mm)","4.0","5.8","5.8","11.8","41.4","75.2","65.0","57.4","30.4","18.6","13.0","4.4","",""
"Date (yyyy/dd)","2005/27","2000/07","1968/05","1986/16","1976/31","1990/11","2001/17","1976/03","2002/03","1977/01","1971/20","2004/18",""," "
"Extreme Daily Snowfall (cm)","24.0","23.6","20.0","23.4","35.2","0.5","0.2","35.3","22.1","19.2","32.5","26.0","",""
"Date (yyyy/dd)","2003/19","1999/02","2004/11","1993/04","1986/13","1976/01","1999/04","1973/17","1972/18","2004/18","1996/09","1980/09",""," "
"Extreme Daily Precipitation (mm)","24.0","14.6","18.0","24.8","42.4","75.2","65.0","57.4","30.4","22.1","32.5","26.0","",""
"Date (yyyy/dd)","2003/19","1999/02","1981/31","1993/04","1976/31","1990/11","2001/17","1976/03","2002/03","1972/08","1996/09","1980/09",""," "
"Extreme Snow Depth (cm)","83","86","70","38","33","0","0","0","3","8","54","66","",""
"Date (yyyy/dd)","1982/29","1982/06","1997/13","1982/01","1986/14","1981/01","1981/01","1981/01","1996/28","1992/19","1995/30","1995/16",""," "
"Days with Maximum Temperature"
"<= 0 °C","20.0","16.4","11.8","2.0","0.19","0.0","0.0","0.0","0.0","3.4","13.5","18.8","86.1","C"
"> 0 °C","11.0","11.9","19.2","28.0","30.8","30.0","31.0","31.0","30.0","27.6","16.5","12.2","279.2","C"
