"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*DRYAD POINT","BC"," 52°11'06.002"" N","128°06'44.008"" W","3.5 m","1062544","","WAU"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.2","4.7","6.0","8.1","11.0","13.5","15.4","15.9","13.6","9.8","6.1","4.4","9.4","A"
"Standard Deviation","1.5","1.5","1.2","1.1","1.2","0.9","0.6","0.8","0.9","0.8","1.8","1.6","1.1","A"
"Daily Maximum (°C)","6.5","7.3","9.0","11.5","14.5","17.0","19.0","19.4","16.7","12.3","8.3","6.5","12.3","A"
"Daily Minimum (°C)","2.0","2.1","3.0","4.6","7.3","9.9","11.8","12.3","10.3","7.3","3.9","2.2","6.4","A"
"Extreme Maximum (°C)","17.5","16.4","22.5","25.0","31.3","31.5","30.5","31.5","27.5","22.0","17.5","17.5","",""
"Date (yyyy/dd)","2003/06","1981/24","1994/28","1998/30","1983/29","2004/18","1987/18","1993/03","1989/08","2001/04","1979/20","1997/12",""," "
"Extreme Minimum (°C)","-14.0","-16.5","-10.0","-2.8","1.5","4.5","6.4","7.5","2.4","-7.0","-19.0","-13.0","",""
"Date (yyyy/dd)","1980/09","1989/01","2003/08","1981/12","1998/01","1982/01","1979/01","1985/19","1983/19","1984/30","1985/26","1996/28",""," "
"Precipitation"
"Rainfall (mm)","269.0","194.6","205.6","201.8","156.8","143.3","117.1","145.4","208.0","333.3","344.9","263.9","2583.6","A"
"Snowfall (cm)","10.7","16.0","3.7","1.5","0.1","0.0","0.0","0.0","0.0","0.3","2.3","10.6","45.1","A"
"Precipitation (mm)","279.7","210.5","209.2","203.3","156.9","143.3","117.1","145.4","208.0","333.5","347.2","274.5","2628.7","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Extreme Daily Rainfall (mm)","186.0","103.4","99.4","81.8","54.4","88.8","104.2","70.4","113.6","83.2","105.0","99.8","",""
"Date (yyyy/dd)","1984/26","2005/01","2001/12","1998/26","2000/20","1983/05","2005/30","1978/05","1980/05","2000/22","2001/08","1984/08",""," "
"Extreme Daily Snowfall (cm)","23.0","85.6","10.0","9.0","1.0","0.0","0.0","0.0","0.0","4.0","8.0","21.8","",""
"Date (yyyy/dd)","2001/28","1986/19","1987/01","1999/08","1999/02","1978/01","1978/01","1978/01","1978/01","1984/31","2001/30","2000/14",""," "
"Extreme Daily Precipitation (mm)","186.0","103.4","99.4","81.8","54.4","88.8","104.2","70.4","113.6","83.2","105.0","99.8","",""
"Date (yyyy/dd)","1984/26","2005/01","2001/12","1998/26","2000/20","1983/05","2005/30","1978/05","1980/05","2000/22","2001/08","1984/08",""," "
"Extreme Snow Depth (cm)","12","17","4","0","0","0","0","0","0","0","3","18","",""
"Date (yyyy/dd)","2000/22","1999/10","2003/09","1981/01","1981/01","1981/01","1981/01","1981/01","1981/01","1981/01","2006/29","2000/16",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.8","0.58","0.42","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.85","1.2","4.9","A"
"> 0 °C","29.2","27.7","30.6","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.2","29.8","360.4","A"
"> 10 °C","3.2","3.9","9.8","17.8","28.5","30.0","31.0","31.0","30.0","24.9","7.4","2.9","220.3","A"
"> 20 °C","0.0","0.0","0.04","0.54","2.2","4.5","9.8","11.5","3.0","0.16","0.0","0.0","31.7","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.04","0.08","0.04","0.08","0.0","0.0","0.0","0.0","0.24","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","23.0","21.5","27.8","29.6","31.0","30.0","31.0","31.0","30.0","30.7","27.5","24.7","337.7","A"
"<= 2 °C","14.9","13.5","11.6","4.5","0.31","0.0","0.0","0.0","0.0","0.85","7.0","13.9","66.4","A"
"<= 0 °C","8.0","6.7","3.2","0.42","0.0","0.0","0.0","0.0","0.0","0.27","2.5","6.3","27.5","A"
"< -2 °C","3.7","1.9","0.77","0.04","0.0","0.0","0.0","0.0","0.0","0.08","1.2","2.4","10.0","A"
