"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*DUNCAN LAKE DAM","BC"," 50°14'19.200"" N","116°58'17.500"" W","548.6 m","1142574","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-2.9","-1.5","2.7","7.2","11.6","15.0","17.7","17.1","12.1","6.5","1.3","-2.7","7.0","A"
"Standard Deviation","2.3","2.1","1.4","1.0","1.3","1.2","1.3","1.1","1.5","1.1","2.2","1.9","2.0","A"
"Daily Maximum (°C)","0.1","2.7","8.1","13.9","18.7","21.9","25.5","25.3","19.4","11.9","4.4","-0.1","12.7","A"
"Daily Minimum (°C)","-6.0","-5.6","-2.6","0.5","4.4","8.1","9.8","8.8","4.8","1.0","-1.9","-5.3","1.3","A"
"Extreme Maximum (°C)","10.0","12.0","21.0","29.4","34.0","35.0","36.5","35.5","32.2","24.0","18.3","9.5","",""
"Date (yyyy/dd)","1989/30","1988/21","1994/31","1977/24","1983/29","1992/23","1979/18","2003/01","1967/01","1992/02","1975/04","1980/26",""," "
"Extreme Minimum (°C)","-29.0","-26.0","-20.0","-12.2","-4.0","-1.1","2.0","0.5","-6.0","-10.5","-24.0","-31.7","",""
"Date (yyyy/dd)","1979/01","1985/03","1976/04","1975/01","1982/05","1973/11","1999/17","2000/28","1984/28","1991/29","1985/29","1968/31",""," "
"Precipitation"
"Rainfall (mm)","37.3","31.7","45.2","51.0","57.5","70.7","55.9","52.1","53.2","65.6","76.2","33.4","629.8","A"
"Snowfall (cm)","55.7","24.5","10.3","1.7","0.1","0.0","0.0","0.0","0.0","0.6","26.0","58.1","177.0","A"
"Precipitation (mm)","93.1","56.2","55.5","52.7","57.6","70.7","55.9","52.1","53.2","66.2","102.2","91.6","806.8","A"
"Average Snow Depth (cm)","24","19","7","0","0","0","0","0","0","0","3","13","6","C"
"Median Snow Depth (cm)","22","19","6","0","0","0","0","0","0","0","1","12","5","C"
"Snow Depth at Month-end (cm)","23","15","0","0","0","0","0","0","0","0","7","22","6","C"
"Extreme Daily Rainfall (mm)","28.7","35.0","25.0","26.7","42.4","34.2","30.0","34.8","37.0","35.8","46.2","27.2","",""
"Date (yyyy/dd)","1971/29","1982/14","2003/12","1974/26","2002/21","1986/28","1981/13","1976/24","1985/05","2003/20","1990/09","1979/03",""," "
"Extreme Daily Snowfall (cm)","34.0","33.6","30.0","15.0","1.5","0.0","0.0","0.0","0.5","6.4","31.0","56.9","",""
"Date (yyyy/dd)","1975/11","1986/15","1991/01","2000/14","1996/07","1963/01","1963/01","1963/01","1972/27","1971/31","1984/01","1971/16",""," "
"Extreme Daily Precipitation (mm)","34.0","41.0","30.0","26.7","42.4","34.2","30.0","34.8","37.0","35.8","50.2","56.9","",""
"Date (yyyy/dd)","1975/11","1982/14","1991/01","1974/26","2002/21","1986/28","1981/13","1976/24","1985/05","2003/20","1990/09","1971/16",""," "
"Extreme Snow Depth (cm)","84","77","68","6","2","0","0","0","0","6","38","86","",""
"Date (yyyy/dd)","1982/24","1997/13","1993/02","1996/01","1996/08","1981/01","1981/01","1981/01","1981/01","1991/27","1995/12","1996/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","14.0","6.2","0.92","0.0","0.0","0.0","0.0","0.0","0.0","0.08","3.0","15.6","39.8","C"
"> 0 °C","17.0","22.1","30.1","30.0","31.0","30.0","31.0","31.0","30.0","30.9","27.0","15.4","325.5","C"
"> 10 °C","0.0","0.26","8.4","23.6","30.2","29.9","31.0","31.0","29.8","20.4","1.3","0.0","205.8","C"
"> 20 °C","0.0","0.0","0.04","2.4","10.5","18.5","26.0","25.9","12.7","0.72","0.0","0.0","96.8","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.52","1.1","5.7","3.5","0.08","0.0","0.0","0.0","10.9","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.19","0.04","0.0","0.0","0.0","0.0","0.23","C"
"Days with Minimum Temperature"
"> 0 °C","2.2","2.7","6.2","15.7","27.1","29.8","31.0","31.0","27.1","17.4","9.9","2.5","202.6","A"
"<= 2 °C","30.8","28.0","29.5","21.0","8.4","0.88","0.04","0.27","6.3","18.6","25.0","30.4","199.3","A"
"<= 0 °C","28.7","25.4","24.7","14.2","3.8","0.16","0.0","0.0","2.9","13.5","20.1","28.5","162.1","A"
"< -2 °C","20.3","17.7","15.1","5.8","0.77","0.0","0.0","0.0","0.88","6.4","12.5","20.6","100.1","A"
"< -10 °C","6.6","5.6","0.84","0.0","0.0","0.0","0.0","0.0","0.0","0.04","1.4","4.8","19.4","A"
"< -20 °C","0.89","0.70","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.19","0.28","2.1","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","8.8","8.3","13.6","14.5","16.2","17.5","13.6","12.6","12.4","15.0","15.0","6.9","154.3","A"
">= 5 mm","2.6","2.3","3.2","3.3","3.6","4.6","3.9","3.3","3.7","4.7","5.0","2.3","42.3","A"
