"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*ESTEVAN POINT","BC"," 49°22'59.914"" N","126°32'35.193"" W","5.8 m","1032730","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","5.9","5.9","6.9","8.2","10.7","12.8","14.4","14.7","13.4","10.3","7.3","5.7","9.7","A"
"Standard Deviation","1.2","1.2","1.0","0.8","1.0","0.7","0.7","0.6","0.8","0.8","1.5","1.3","1.0","A"
"Daily Maximum (°C)","8.2","8.6","9.8","11.3","13.7","15.5","17.2","17.6","16.4","13.0","9.9","8.1","12.4","A"
"Daily Minimum (°C)","3.6","3.2","3.9","5.1","7.7","10.0","11.6","11.8","10.3","7.5","4.8","3.1","6.9","A"
"Extreme Maximum (°C)","17.2","17.2","18.0","22.0","26.0","26.7","28.9","27.5","26.5","21.1","17.8","15.0","",""
"Date (yyyy/dd)","1935/31","1939/28","1981/18","1989/25","1993/24","1958/05","1961/12","1993/04","1989/09","1944/11","1928/02","2003/19",""," "
"Extreme Minimum (°C)","-13.9","-10.6","-7.8","-3.3","0.0","2.8","4.4","5.0","-1.1","-4.4","-9.5","-11.7","",""
"Date (yyyy/dd)","1950/14","1956/15","1951/06","1936/01","1932/10","1929/20","1929/11","1935/18","1934/24","1935/31","1985/27","1968/29",""," "
"Precipitation"
"Rainfall (mm)","453.5","310.1","301.6","273.0","163.0","143.8","73.7","97.6","133.5","330.5","466.7","427.5","3174.4","A"
"Snowfall (cm)","2.0","3.5","1.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4","1.7","10.1","A"
"Precipitation (mm)","455.5","313.6","303.0","273.1","163.0","143.8","73.7","97.6","133.5","330.5","468.0","429.2","3184.4","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Extreme Daily Rainfall (mm)","218.9","152.8","120.1","113.6","81.3","94.4","108.0","101.0","120.7","131.8","191.0","145.8","",""
"Date (yyyy/dd)","1944/18","1999/11","1940/03","1996/04","1973/23","1987/11","1997/07","1991/07","1957/05","1963/12","1978/06","1962/29",""," "
"Extreme Daily Snowfall (cm)","25.9","51.8","30.7","14.0","1.0","0.0","0.0","0.0","0.0","0.7","15.7","25.9","",""
"Date (yyyy/dd)","1969/28","1937/20","1935/06","1972/11","1964/01","1909/01","1908/13","1908/01","1908/01","1984/31","1964/27","1934/27",""," "
"Extreme Daily Precipitation (mm)","218.9","152.8","120.1","113.6","81.3","94.4","108.0","101.0","120.7","131.8","191.0","145.8","",""
"Date (yyyy/dd)","1944/18","1999/11","1940/03","1996/04","1973/23","1987/11","1997/07","1991/07","1957/05","1963/12","1978/06","1962/29",""," "
"Extreme Snow Depth (cm)","51","23","13","5","0","0","0","0","0","0","14","18","",""
"Date (yyyy/dd)","1969/29","1969/01","1971/05","1966/12","1955/01","1955/01","1955/01","1955/01","1955/01","1955/01","1985/27","1965/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","0.19","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.20","0.65","A"
"> 0 °C","30.8","28.1","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.9","30.8","364.6","A"
"> 10 °C","4.8","4.9","11.9","20.5","29.7","30.0","31.0","31.0","30.0","28.9","13.9","4.2","240.9","A"
"> 20 °C","0.0","0.0","0.0","0.08","0.48","0.65","1.5","1.9","1.4","0.04","0.0","0.0","6.1","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","25.0","22.4","28.0","29.7","31.0","30.0","31.0","31.0","30.0","30.7","27.2","24.6","340.7","A"
"<= 2 °C","10.9","11.3","9.2","4.5","0.38","0.0","0.0","0.0","0.0","1.2","7.3","12.4","57.3","A"
"<= 0 °C","6.0","5.8","2.8","0.31","0.0","0.0","0.0","0.0","0.0","0.28","2.8","6.4","24.3","A"
"< -2 °C","1.4","0.93","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.73","1.2","4.4","A"
"< -10 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","23.4","19.0","22.0","19.5","16.4","14.7","10.4","11.1","12.5","19.6","23.9","23.0","215.4","A"
">= 5 mm","17.0","12.8","14.5","12.4","8.7","7.4","3.6","4.5","5.5","13.4","17.7","16.5","133.9","A"
">= 10 mm","13.9","10.0","10.8","9.0","5.8","4.7","2.2","3.0","4.0","10.2","13.9","12.8","100.2","A"
">= 25 mm","6.2","4.3","3.7","3.4","1.7","1.5","0.65","1.2","1.8","4.8","6.5","5.8","41.6","A"
"Days With Snowfall"
">= 0.2 cm","0.85","1.1","0.62","0.04","0.0","0.0","0.0","0.0","0.0","0.04","0.31","0.76","3.7","A"
">= 5 cm","0.15","0.26","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.12","0.69","A"
">= 10 cm","0.0","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.11","A"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Precipitation"
">= 0.2 mm","23.7","19.2","22.1","19.5","16.4","14.7","10.4","11.1","12.5","19.6","24.0","23.3","216.4","A"
">= 5 mm","17.1","13.0","14.7","12.4","8.7","7.4","3.6","4.5","5.5","13.4","17.7","16.6","134.5","A"
">= 10 mm","14.0","10.2","10.8","9.0","5.8","4.7","2.2","3.0","4.0","10.2","14.0","12.8","100.5","A"
">= 25 mm","6.2","4.3","3.7","3.4","1.7","1.5","0.65","1.2","1.8","4.8","6.5","5.8","41.6","A"
"Days with Snow Depth"
">= 1 cm","0.50","0.38","0.05","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.25","1.2","C"
">= 5 cm","0.0","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.10","0.29","C"
">= 10 cm","0.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.05","C"
">= 20 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Wind"
"Maximum Hourly Speed (km/h)","116.0","116.0","115.0","105.0","98.0","100.0","74.0","81.0","83.0","93.0","111.0","132.0","132.0",""
"Date (yyyy/dd)","1973/18","1958/18","1977/09","1969/23","1977/27","1988/02","1976/26","1978/24","1978/09","1977/22","1968/30","1976/08","1976/08"," "
"Direction of Maximum Hourly Speed","NW","S","NW","S","SE","SE","NW","SE","SE","SE","S","NW","NW",""
"Maximum Gust Speed (km/h)","132.0","148.0","154.0","128.0","138.0","101.0","103.0","144.0","133.0","143.0","167.0","180.0","180.0",""
"Date (yyyy/dd)","1973/18","1977/20","1977/07","1977/08","1976/29","1974/26","1976/07","1978/24","1978/09","1977/24","1977/12","1976/08","1976/08"," "
"Direction of Maximum Gust","W","SE","S","SE","E","SE","SE","SE","SE","SE","SE","W","W",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.0","0.1","0.3","0.3","0.1","0.0","0.0","0.0","0.9","A"
"Above 15 °C","0.0","0.0","0.0","0.0","0.6","2.2","8.6","11.9","3.6","0.1","0.0","0.0","26.8","A"
"Above 10 °C","0.6","0.4","0.7","4.8","36.3","83.7","135.7","146.7","101.7","30.0","4.5","0.5","545.4","A"
"Above 5 °C","50.7","43.1","62.9","97.4","176.5","233.3","290.7","301.7","251.2","164.5","79.7","43.8","1795.6","A"
"Above 0 °C","184.6","168.7","212.5","246.9","331.5","383.3","445.7","456.7","401.2","319.1","221.3","176.8","3548.2","A"
"Below 0 °C","0.9","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","1.7","4.7","A"
"Below 5 °C","22.1","16.5","5.5","0.6","0.0","0.0","0.0","0.0","0.0","0.4","9.7","23.6","78.2","A"
"Below 10 °C","127.0","114.8","98.2","57.9","14.8","0.3","0.0","0.0","0.5","20.9","84.5","135.3","654.2","A"
"Below 15 °C","281.4","255.5","252.5","203.1","134.1","68.8","27.9","20.2","52.4","146.0","229.9","289.8","1961.7","A"
"Below 18 °C","374.4","340.2","345.5","293.1","226.6","156.8","112.6","101.6","138.9","238.9","319.9","382.8","3031.4","A"
"Bright Sunshine"
"Total Hours","61.9","83.1","115.7","158.3","206.2","205.6","232.9","200.5","170.5","114.8","62.1","57.6","1669.2","D"
"Days with measurable","15.4","16.8","21.1","22.7","25.0","24.1","26.2","25.1","23.0","19.8","15.8","14.5","249.5","D"
"% of possible daylight hours","23.0","29.1","31.5","38.5","43.4","42.3","47.6","44.9","45.0","34.2","22.6","22.5","35.4","D"
"Extreme Daily","8.9","10.4","11.5","13.8","15.2","15.6","15.6","14.4","13.0","10.9","9.2","8.2","",""
"Date (yyyy/dd)","1963/30","1970/27","1971/30","1976/26","1991/21","1970/12","1968/02","1963/02","1995/01","1988/01","1990/01","1990/09",""," "
"Humidex"
"Extreme Humidex","13.3","16.1","15.0","18.3","23.6","29.6","31.0","27.3","32.4","20.4","17.7","13.9","",""
"Date (yyyy/dd)","1958/06","1963/07","1965/09","1960/27","1963/20","1958/05","1961/12","1974/29","1953/18","1963/14","1976/10","1969/19",""," "
"Wind Chill"
"Extreme Wind Chill","-16.3","-11.5","-12.2","-5.7","0.0","0.0","0.0","0.0","0.0","-5.3","-11.9","-18.4","",""
"Date (yyyy/dd)","1969/30","1956/15","1955/03","1968/12","1953/01","1953/01","1953/01","1953/01","1953/01","1971/28","1955/14","1968/27",""," "


