"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FAUQUIER","BC"," 49°52'19.000"" N","118°04'03.000"" W","490.0 m","1142820","","WFS"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-1.7","-0.6","3.4","7.8","12.2","15.8","18.7","18.2","13.1","7.2","2.0","-1.7","7.9","A"
"Standard Deviation","2.0","1.9","1.2","0.9","1.3","1.4","1.5","1.2","1.5","0.7","2.1","1.9","1.8","A"
"Daily Maximum (°C)","0.6","2.7","8.0","13.9","18.8","22.5","26.1","25.6","19.4","11.4","4.7","0.5","12.8","A"
"Daily Minimum (°C)","-4.0","-3.8","-1.3","1.7","5.5","9.1","11.2","10.7","6.8","2.9","-0.6","-3.8","2.9","A"
"Extreme Maximum (°C)","13.0","15.0","20.0","31.1","36.1","35.5","38.9","38.3","35.0","25.0","19.4","12.2","",""
"Date (yyyy/dd)","1984/28","1986/25","1930/31","1926/28","1928/21","1992/26","1924/04","1927/16","1967/01","1952/01","1975/04","1941/02",""," "
"Extreme Minimum (°C)","-31.7","-27.8","-21.1","-11.1","-4.4","-1.1","1.7","0.6","-6.7","-12.5","-20.0","-29.4","",""
"Date (yyyy/dd)","1950/26","1950/01","1960/03","1935/02","1913/04","1933/01","1933/20","1924/30","1926/24","1984/31","1959/16","1968/30",""," "
"Precipitation"
"Rainfall (mm)","24.9","24.7","48.5","61.3","76.1","90.1","66.6","47.4","56.3","63.5","61.7","26.2","647.2","A"
"Snowfall (cm)","48.9","19.6","8.4","0.3","0.0","0.0","0.0","0.0","0.0","0.4","19.4","47.2","144.1","A"
"Precipitation (mm)","73.8","44.3","56.9","61.6","76.1","90.1","66.6","47.4","56.3","63.8","81.1","73.4","791.3","A"
"Average Snow Depth (cm)","21","17","5","0","0","0","0","0","0","0","2","9","5","C"
"Median Snow Depth (cm)","20","17","4","0","0","0","0","0","0","0","0","8","4","C"
"Snow Depth at Month-end (cm)","22","12","0","0","0","0","0","0","0","0","5","19","5","C"
"Extreme Daily Rainfall (mm)","27.4","19.6","21.4","25.1","33.5","48.5","45.2","51.6","55.6","40.1","25.8","26.4","",""
"Date (yyyy/dd)","1958/17","1958/24","1993/22","1952/27","1958/31","1958/27","1982/01","2004/21","1927/11","1933/23","1990/09","1998/12",""," "
"Extreme Daily Snowfall (cm)","43.0","30.5","20.3","13.5","0.0","0.0","0.0","0.0","0.0","5.1","34.0","38.1","",""
"Date (yyyy/dd)","1982/07","1937/01","1934/06","1922/15","1913/01","1913/01","1913/01","1913/01","1913/01","1933/22","1984/01","1936/07",""," "
"Extreme Daily Precipitation (mm)","43.0","30.5","21.4","25.1","33.5","48.5","45.2","51.6","55.6","40.1","34.0","38.1","",""
"Date (yyyy/dd)","1982/07","1937/01","1993/22","1952/27","1958/31","1958/27","1982/01","2004/21","1927/11","1933/23","1984/01","1936/07",""," "
"Extreme Snow Depth (cm)","80","68","52","2","0","0","0","0","0","2","37","53","",""
"Date (yyyy/dd)","1982/26","1982/01","1982/02","1996/01","1981/01","1981/01","1981/01","1981/01","1981/01","1991/31","1984/02","1990/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","12.5","6.1","0.81","0.0","0.0","0.0","0.0","0.0","0.0","0.08","2.9","13.1","35.4","C"
"> 0 °C","18.5","22.2","30.2","30.0","31.0","30.0","31.0","31.0","30.0","30.9","27.1","17.9","329.8","C"
"> 10 °C","0.04","0.22","8.5","24.1","30.1","30.0","31.0","31.0","29.9","17.7","1.7","0.0","204.1","C"
"> 20 °C","0.0","0.0","0.0","1.3","11.4","20.3","26.9","27.0","12.7","0.31","0.0","0.0","99.8","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.27","1.7","6.4","4.0","0.08","0.0","0.0","0.0","12.6","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.04","0.32","0.15","0.0","0.0","0.0","0.0","0.51","C"
"Days with Minimum Temperature"
"> 0 °C","3.4","3.7","9.0","19.6","29.3","29.9","30.9","31.0","29.0","24.0","12.3","3.4","225.4","A"
"<= 2 °C","30.8","28.0","28.5","17.4","5.0","0.15","0.0","0.0","2.2","12.2","23.9","30.7","178.8","A"
"<= 0 °C","27.6","24.6","22.0","10.3","1.7","0.0","0.0","0.0","1.0","7.0","17.7","27.7","139.4","A"
"< -2 °C","17.2","14.5","10.0","2.8","0.04","0.0","0.0","0.0","0.0","1.6","7.4","17.3","70.8","A"
"< -10 °C","3.3","2.6","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.81","2.5","9.7","A"
"< -20 °C","0.11","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.27","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","7.7","7.8","13.5","14.7","15.8","16.4","11.2","10.4","10.5","15.0","15.0","6.7","144.6","A"
">= 5 mm","1.6","1.5","3.1","4.6","5.4","6.1","4.4","3.2","4.1","4.3","4.3","1.9","44.5","A"
">= 10 mm","0.33","0.37","1.0","1.4","2.2","3.0","2.3","1.3","1.8","1.6","1.3","0.42","17.0","A"
">= 25 mm","0.0","0.0","0.0","0.04","0.08","0.19","0.27","0.12","0.12","0.08","0.08","0.04","1.0","A"
"Days With Snowfall"
">= 0.2 cm","10.8","6.3","2.7","0.38","0.0","0.0","0.0","0.0","0.0","0.31","4.9","11.3","36.7","A"
">= 5 cm","4.1","1.4","0.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","3.4","10.8","A"
">= 10 cm","1.2","0.30","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.46","1.3","3.4","A"
">= 25 cm","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.08","0.19","A"
"Days with Precipitation"
">= 0.2 mm","16.5","12.8","15.0","14.7","15.8","16.4","11.2","10.4","10.5","15.1","18.5","16.3","173.2","A"
">= 5 mm","5.8","3.1","3.7","4.6","5.4","6.1","4.4","3.2","4.1","4.3","6.1","5.4","56.3","A"
">= 10 mm","1.6","0.67","1.2","1.4","2.2","3.0","2.3","1.3","1.8","1.7","1.8","1.7","20.7","A"
">= 25 mm","0.07","0.0","0.0","0.04","0.08","0.19","0.27","0.12","0.12","0.08","0.12","0.12","1.2","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.1","0.7","0.4","0.0","0.0","0.0","0.0","1.1","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.9","14.2","48.2","37.4","1.8","0.0","0.0","0.0","103.4","C"
"Above 15 °C","0.0","0.0","0.0","0.0","12.2","53.8","117.4","104.1","14.9","0.2","0.0","0.0","302.5","C"
"Above 10 °C","0.0","0.0","0.1","8.0","81.8","181.4","267.5","253.1","101.6","8.5","0.1","0.0","902.0","C"
"Above 5 °C","0.2","0.3","12.0","90.1","223.0","330.9","422.4","408.1","244.1","82.0","10.2","0.1","1823.4","C"
"Above 0 °C","22.6","34.0","111.9","235.1","377.8","480.9","577.4","563.1","394.1","224.8","83.7","21.8","3127.3","C"
"Below 0 °C","76.6","49.9","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","21.4","72.8","230.0","C"
"Below 5 °C","209.2","157.4","63.0","5.0","0.2","0.0","0.0","0.0","0.0","13.5","97.9","206.1","752.2","C"
"Below 10 °C","364.1","298.2","206.1","73.0","14.0","0.5","0.1","0.0","7.5","95.0","237.8","361.0","1656.9","C"
"Below 15 °C","519.1","439.3","361.0","214.9","99.4","22.9","5.0","5.9","70.7","241.6","387.7","516.0","2883.5","C"
"Below 18 °C","612.1","524.0","454.0","304.9","182.1","73.2","28.8","32.2","147.6","334.4","477.7","609.0","3780.1","C"
"Bright Sunshine"
"Extreme Daily","5.9","8.8","10.4","12.1","13.6","13.8","13.6","12.8","9.9","8.8","6.1","5.6","",""
"Date (yyyy/dd)","1994/31","1995/26","1994/28","1995/22","1996/26","1994/27","1994/05","1994/02","2008/07","2008/14","2008/19","2008/02",""," "

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","May       03","D"
"Average Date of First Fall Frost","October   10","D"
