"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FORT NELSON A","BC"," 58°50'11.000"" N","122°35'50.000"" W","381.9 m","1192940","71945","YYE"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-20.3","-15.2","-7.6","3.0","9.7","15.1","17.1","15.1","9.2","0.5","-12.8","-18.7","-0.4","A"
"Standard Deviation","4.4","3.2","4.0","2.0","1.6","1.0","1.0","1.2","1.7","1.8","3.5","3.9","0.9","A"
"Daily Maximum (°C)","-16.1","-9.5","-1.1","9.6","16.4","21.5","23.2","21.4","15.3","5.2","-8.8","-14.6","5.2","A"
"Daily Minimum (°C)","-24.6","-20.8","-14.2","-3.6","3.0","8.6","10.9","8.8","3.1","-4.2","-16.7","-22.8","-6.0","A"
"Extreme Maximum (°C)","10.7","15.0","17.8","27.3","32.1","33.9","36.7","34.4","32.8","26.7","18.3","10.7","",""
"Date (yyyy/dd)","1981/19","1968/29","1966/29","1977/24","1983/29","1950/17","1942/01","1981/08","1938/02","1993/02","1969/02","1985/25",""," "
"Extreme Minimum (°C)","-51.7","-48.3","-39.4","-34.4","-15.0","-1.1","1.1","-4.5","-16.7","-28.6","-41.1","-47.8","",""
"Date (yyyy/dd)","1947/30","1947/02","1951/11","1954/01","1961/03","1957/10","1953/28","1992/22","1974/30","1984/30","1963/22","1938/28",""," "
"Precipitation"
"Rainfall (mm)","0.3","0.1","0.3","7.4","42.4","62.9","78.4","70.7","37.4","12.1","0.7","0.2","312.6","A"
"Snowfall (cm)","28.6","22.4","27.2","15.7","7.5","0.1","0.0","0.6","3.4","23.3","35.3","26.8","190.8","A"
"Precipitation (mm)","21.5","14.9","18.8","18.9","49.0","63.0","78.4","71.3","40.2","32.6","25.6","18.0","452.1","A"
"Average Snow Depth (cm)","42","51","48","18","0","0","0","0","0","3","19","32","18","A"
"Median Snow Depth (cm)","42","51","49","16","0","0","0","0","0","1","19","31","17","A"
"Snow Depth at Month-end (cm)","47","52","40","0","0","0","0","0","0","10","26","35","18","A"
"Extreme Daily Rainfall (mm)","4.1","5.1","5.0","20.3","42.0","52.1","71.4","80.5","38.8","19.2","5.6","1.4","",""
"Date (yyyy/dd)","1971/06","1945/26","2010/30","1949/20","1977/12","1945/09","2008/04","1964/27","2007/16","1996/11","1986/02","1985/19",""," "
"Extreme Daily Snowfall (cm)","24.6","19.6","27.8","32.2","33.8","2.6","0.0","5.0","20.3","35.3","28.4","35.3","",""
"Date (yyyy/dd)","1962/29","1951/24","2007/31","1988/30","1986/13","2003/12","1938/01","1991/27","1974/26","1964/15","1944/08","1947/27",""," "
"Extreme Daily Precipitation (mm)","20.6","19.6","21.1","25.8","42.0","52.1","71.4","80.5","38.8","35.3","28.4","35.3","",""
"Date (yyyy/dd)","2003/26","1951/24","1952/18","1988/30","1977/12","1945/09","2008/04","1964/27","2007/16","1964/15","1944/08","1947/27",""," "
"Extreme Snow Depth (cm)","135","142","137","101","32","0","0","1","30","35","64","73","",""
