"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FORT ST JOHN A","BC"," 56°14'17.000"" N","120°44'25.000"" W","694.9 m","1183000","71943","YXJ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-12.8","-9.6","-4.6","3.9","9.8","14.1","16.2","14.9","10.1","3.6","-6.6","-11.4","2.3","A"
"Standard Deviation","5.7","4.0","4.1","2.1","1.7","1.1","1.1","1.4","1.8","1.9","4.3","5.3","1.1","A"
"Daily Maximum (°C)","-8.7","-5.1","0.1","9.1","15.5","19.6","21.7","20.5","15.2","7.7","-2.9","-7.4","7.1","A"
"Daily Minimum (°C)","-16.9","-14.0","-9.2","-1.3","4.0","8.6","10.7","9.2","4.9","-0.6","-10.2","-15.3","-2.5","A"
"Extreme Maximum (°C)","12.9","12.8","18.0","27.9","31.8","31.7","33.5","33.6","30.0","25.8","18.3","11.4","",""
"Date (yyyy/dd)","2003/06","1943/17","1994/30","1977/25","1983/29","1969/17","2006/22","1981/09","1944/09","2008/01","1949/02","1980/15",""," "
"Extreme Minimum (°C)","-47.2","-42.2","-36.7","-28.9","-13.1","-0.6","0.7","-2.9","-12.8","-25.0","-39.2","-44.6","",""
"Date (yyyy/dd)","1947/30","1947/01","1951/05","1954/01","2002/03","1951/25","1999/04","1992/22","1974/30","1984/31","1985/26","1992/29",""," "
"Precipitation"
"Rainfall (mm)","0.4","0.4","0.7","9.7","31.9","65.6","75.2","51.1","40.0","13.3","3.4","0.7","292.4","A"
"Snowfall (cm)","32.7","25.3","28.7","12.7","6.4","0.0","0.0","0.1","4.8","19.6","32.5","26.8","189.6","A"
"Precipitation (mm)","25.4","19.0","23.7","20.0","37.9","65.6","75.2","51.2","44.7","30.8","29.2","22.0","444.7","A"
"Average Snow Depth (cm)","28","30","25","6","0","0","0","0","0","1","11","20","10","A"
"Median Snow Depth (cm)","27","28","24","4","0","0","0","0","0","0","10","20","9","A"
"Snow Depth at Month-end (cm)","30","25","14","0","0","0","0","0","0","4","15","22","9","A"
"Extreme Daily Rainfall (mm)","8.1","4.0","6.6","28.9","49.8","80.3","60.2","58.4","37.3","15.2","12.7","5.8","",""
"Date (yyyy/dd)","1965/20","1995/01","1944/16","1994/22","1979/27","1965/27","1972/09","1972/10","1984/06","1970/04","1952/03","1989/27",""," "
"Extreme Daily Snowfall (cm)","21.4","27.3","31.5","28.2","47.8","11.7","0.4","18.5","21.8","34.5","24.0","28.7","",""
"Date (yyyy/dd)","1988/27","1990/11","1954/10","2002/14","1960/22","1976/01","1999/04","1973/17","2004/18","1957/04","1996/09","1955/11",""," "
"Extreme Daily Precipitation (mm)","18.5","17.4","31.5","28.9","49.8","80.3","60.2","58.4","37.3","34.5","24.9","28.7","",""
"Date (yyyy/dd)","1968/20","1990/11","1954/10","1994/22","1979/27","1965/27","1972/09","1972/10","1984/06","1957/04","1957/22","1955/11",""," "
"Extreme Snow Depth (cm)","99","107","112","99","23","0","0","5","25","61","67","90","",""
"Date (yyyy/dd)","1967/30","1967/06","1974/28","1974/01","1960/23","1955/01","1955/01","1973/18","2004/19","1957/06","1995/30","1995/16",""," "
"Days with Maximum Temperature"
"<= 0 °C","22.3","17.8","12.9","2.1","0.24","0.0","0.0","0.0","0.03","4.3","17.0","22.0","98.8","A"
"> 0 °C","8.7","10.4","18.1","27.9","30.8","30.0","31.0","31.0","30.0","26.7","13.0","9.0","266.5","A"
"> 10 °C","0.17","0.20","1.6","14.1","26.9","29.6","30.9","30.5","25.3","11.6","0.50","0.07","171.4","A"
"> 20 °C","0.0","0.0","0.0","0.62","6.0","14.1","20.6","16.6","5.5","0.76","0.0","0.0","64.2","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.03","0.07","0.53","0.47","0.0","0.0","0.0","0.0","1.1","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","1.1","1.4","3.6","12.8","26.3","30.0","31.0","30.9","25.7","15.1","2.4","1.3","181.7","A"
"<= 2 °C","30.7","27.5","29.9","23.0","9.1","0.17","0.07","0.47","7.6","21.3","29.0","30.3","209.1","A"
"<= 0 °C","29.9","26.8","27.4","17.2","4.7","0.03","0.0","0.10","4.3","15.9","27.6","29.7","183.6","A"
"< -2 °C","28.3","25.6","23.6","10.1","1.8","0.0","0.0","0.03","1.5","10.5","25.0","28.2","154.6","A"
"< -10 °C","22.1","17.9","12.9","1.8","0.07","0.0","0.0","0.0","0.0","1.7","13.9","20.7","91.0","A"
"< -20 °C","12.2","7.5","4.0","0.10","0.0","0.0","0.0","0.0","0.0","0.10","4.1","10.8","38.8","A"
"< - 30 °C","3.6","1.2","0.20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.37","2.2","7.6","A"
"Days with Rainfall"
">= 0.2 mm","0.63","0.43","0.73","3.8","7.9","11.1","12.9","10.4","10.0","5.5","2.1","0.57","66.0","A"
">= 5 mm","0.0","0.0","0.0","0.69","2.0","3.9","4.4","3.4","2.3","0.82","0.17","0.03","17.7","A"
">= 10 mm","0.0","0.0","0.0","0.14","0.90","2.0","2.3","1.5","1.0","0.04","0.07","0.0","8.0","A"
">= 25 mm","0.0","0.0","0.0","0.03","0.14","0.43","0.40","0.30","0.23","0.0","0.0","0.0","1.5","A"
"Days With Snowfall"
">= 0.2 cm","10.8","9.0","8.8","4.0","1.5","0.0","0.03","0.03","0.97","5.4","10.3","9.5","60.3","A"
">= 5 cm","2.0","1.5","2.3","0.76","0.55","0.0","0.0","0.0","0.40","1.5","2.0","1.6","12.6","A"
