"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FRASER LAKE NORTH SHORE","BC"," 54°04'42.000"" N","124°50'50.000"" W","674.0 m","109C0LF","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-9.5","-6.4","-1.6","4.1","9.4","13.1","15.4","14.9","10.4","4.7","-2.5","-7.9","3.7","A"
"Standard Deviation","4.1","3.3","2.4","1.3","1.7","1.6","1.0","1.1","1.4","1.2","3.3","4.1","2.2","A"
"Daily Maximum (°C)","-5.2","-1.1","4.2","10.5","16.1","19.7","22.2","21.9","16.8","9.4","0.8","-4.0","9.3","A"
"Daily Minimum (°C)","-13.8","-11.7","-7.4","-2.3","2.6","6.5","8.5","7.9","4.1","-0.1","-5.7","-11.6","-1.9","A"
"Extreme Maximum (°C)","11.0","11.0","17.0","23.9","32.5","32.5","34.0","35.0","32.0","23.0","16.5","12.0","",""
"Date (yyyy/dd)","1993/30","1991/04","1994/30","1977/24","1983/29","2004/21","2006/22","1981/09","1988/04","1987/01","1978/01","1980/15",""," "
"Extreme Minimum (°C)","-46.1","-42.0","-38.9","-20.5","-7.2","-3.0","-1.5","-2.5","-7.0","-24.0","-39.0","-47.5","",""
"Date (yyyy/dd)","1972/26","1979/14","1976/02","2002/02","1971/09","1985/10","1979/01","1992/22","1983/29","1984/31","1985/27","1984/30",""," "
"Precipitation"
"Rainfall (mm)","5.4","4.3","5.4","16.6","40.9","57.0","57.4","46.5","47.9","46.2","19.3","3.9","350.7","A"
"Snowfall (cm)","42.5","25.2","20.3","6.5","1.1","0.0","0.0","0.0","0.0","8.7","29.5","41.3","175.1","A"
"Precipitation (mm)","47.9","29.5","25.7","23.1","42.0","57.0","57.4","46.5","47.9","54.8","48.8","45.2","525.8","A"
"Snow Depth at Month-end (cm)","42","41","21","0","0","0","0","0","0","2","12","30","12","D"
"Extreme Daily Rainfall (mm)","9.2","10.0","13.7","23.5","22.6","30.7","40.8","31.9","27.7","24.4","17.8","10.2","",""
"Date (yyyy/dd)","1987/10","1996/12","1972/15","1987/30","1989/17","1972/11","1999/01","1993/22","1986/23","1972/31","1993/01","1976/15",""," "
"Extreme Daily Snowfall (cm)","34.6","21.2","23.2","21.2","10.8","0.0","0.0","0.0","1.0","31.0","30.0","27.9","",""
"Date (yyyy/dd)","1994/16","1994/08","2002/14","2002/05","1979/04","1970/01","1970/01","1970/01","1992/14","2006/27","1970/23","1971/08",""," "
"Extreme Daily Precipitation (mm)","34.6","21.2","23.2","23.5","22.6","30.7","40.8","31.9","27.7","31.0","30.0","27.9","",""
"Date (yyyy/dd)","1994/16","1994/08","2002/14","1987/30","1989/17","1972/11","1999/01","1993/22","1986/23","2006/27","1970/23","1971/08",""," "
"Extreme Snow Depth (cm)","86","86","85","66","0","0","0","0","0","29","47","70","",""
