"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GERMANSEN LANDING","BC"," 55°47'07.900"" N","124°42'05.200"" W","766.0 m","1183090","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-13.1","-9.0","-3.4","2.8","7.9","12.2","14.3","13.3","8.6","2.1","-6.4","-11.9","1.5","A"
"Standard Deviation","4.6","3.6","2.6","1.2","1.7","1.4","1.0","1.2","1.2","1.1","3.6","4.3","2.3","A"
"Daily Maximum (°C)","-8.7","-3.5","3.1","9.3","15.0","18.9","21.2","20.5","14.9","6.2","-3.0","-7.9","7.2","A"
"Daily Minimum (°C)","-17.4","-14.5","-9.9","-3.7","0.8","5.3","7.4","6.0","2.2","-2.1","-9.8","-15.9","-4.3","A"
"Extreme Maximum (°C)","11.7","11.7","15.6","27.0","34.5","32.2","33.0","33.0","29.5","23.0","11.7","9.7","",""
"Date (yyyy/dd)","1963/06","1954/02","1962/30","1977/25","1983/29","1969/16","1994/24","1990/12","1988/04","1987/01","1969/02","1980/15",""," "
"Extreme Minimum (°C)","-48.8","-44.4","-41.1","-26.7","-12.8","-3.5","-2.2","-3.9","-12.5","-30.0","-39.5","-47.0","",""
"Date (yyyy/dd)","1979/15","1956/15","1976/02","1954/02","1954/01","1991/02","1963/27","1969/23","1983/28","1951/31","1985/27","1996/29",""," "
"Precipitation"
"Rainfall (mm)","2.9","1.5","4.7","16.5","44.6","67.4","58.2","46.8","45.4","34.1","7.5","2.2","331.7","A"
"Snowfall (cm)","48.4","30.1","25.9","9.6","3.2","0.4","0.0","0.0","1.2","17.5","47.0","47.9","231.2","A"
"Precipitation (mm)","50.2","30.1","28.9","25.9","47.5","67.7","58.2","46.8","46.6","50.9","52.1","48.4","553.2","A"
"Average Snow Depth (cm)","52","63","60","26","0","0","0","0","0","1","15","35","21","C"
"Median Snow Depth (cm)","52","63","61","27","0","0","0","0","0","0","15","35","21","C"
