"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GLACIER NP ROGERS PASS","BC"," 51°18'06.060"" N","117°31'00.000"" W","1330.0 m","1173191","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-8.3","-6.6","-2.1","2.1","5.8","10.3","13.1","12.8","8.0","1.8","-4.5","-9.1","1.9","A"
"Standard Deviation","2.6","2.4","1.7","1.1","1.6","1.3","1.5","1.3","1.9","1.2","2.5","2.5","2.0","A"
"Daily Maximum (°C)","-6.1","-3.5","1.9","6.6","11.1","16.4","19.8","19.7","13.5","4.9","-2.6","-7.0","6.2","A"
"Daily Minimum (°C)","-10.5","-9.7","-6.1","-2.5","0.4","4.2","6.3","5.8","2.5","-1.3","-6.3","-11.2","-2.4","A"
"Extreme Maximum (°C)","3.3","6.1","12.8","17.0","27.0","29.0","32.0","32.8","28.0","21.0","7.2","4.0","",""
"Date (yyyy/dd)","1974/15","1968/29","1966/28","2005/25","1983/29","1992/26","2004/18","1971/01","1998/06","1992/01","1975/05","2001/17",""," "
"Extreme Minimum (°C)","-34.5","-31.0","-26.7","-21.1","-8.0","-2.2","-2.2","-3.0","-8.9","-19.4","-34.5","-38.9","",""
"Date (yyyy/dd)","1996/30","1989/02","1976/03","1975/01","1999/09","1968/04","1972/02","1992/24","1972/28","1971/28","1985/27","1968/30",""," "
"Precipitation"
"Rainfall (mm)","10.1","4.7","20.9","40.2","67.6","89.7","94.7","87.8","89.0","89.3","32.6","3.4","630.0","A"
"Snowfall (cm)","210.1","128.8","88.6","40.9","7.8","0.2","0.0","0.0","1.9","48.9","164.2","173.4","864.7","A"
"Precipitation (mm)","220.2","133.6","109.5","81.1","75.4","89.9","94.7","87.8","90.9","138.1","196.8","176.8","1494.6","A"
"Average Snow Depth (cm)","133","157","161","133","45","0","0","0","0","5","43","88","64","C"
"Median Snow Depth (cm)","132","156","160","136","44","0","0","0","0","3","42","88","63","C"
"Snow Depth at Month-end (cm)","153","163","156","100","5","0","0","0","0","18","65","103","64","A"
"Extreme Daily Rainfall (mm)","48.5","38.0","37.0","34.9","47.6","51.6","82.0","78.5","60.0","48.5","78.2","31.2","",""
"Date (yyyy/dd)","1984/04","1986/24","2003/30","1981/28","1980/20","1972/11","1983/11","1984/26","2005/29","1967/30","1989/09","1980/15",""," "
"Extreme Daily Snowfall (cm)","64.0","74.0","44.0","28.0","17.0","3.0","0.0","0.0","22.0","52.0","50.0","52.0","",""
"Date (yyyy/dd)","1972/19","1982/12","2003/10","1988/05","2000/10","1976/01","1965/01","1965/01","1992/26","1985/26","1989/08","1990/04",""," "
"Extreme Daily Precipitation (mm)","64.0","74.0","44.0","35.6","47.6","51.6","82.0","78.5","60.0","52.6","81.1","52.0","",""
"Date (yyyy/dd)","1972/19","1982/12","2003/10","1966/11","1980/20","1972/11","1983/11","1984/26","2005/29","1967/30","1978/07","1990/04",""," "
"Extreme Snow Depth (cm)","240","233","245","219","164","30","0","0","22","77","120","183","",""
"Date (yyyy/dd)","1996/16","1990/10","1991/04","1991/05","1982/01","1982/01","1981/01","1980/01","1992/27","1985/27","1995/29","1990/18",""," "
"Days with Maximum Temperature"
"<= 0 °C","29.2","22.3","8.1","0.54","0.04","0.0","0.0","0.0","0.04","3.7","22.7","29.9","116.4","A"
"> 0 °C","1.9","6.0","22.9","29.5","31.0","30.0","31.0","31.0","30.0","27.3","7.3","1.1","248.8","A"
"> 10 °C","0.0","0.0","0.35","5.2","15.8","27.0","29.8","29.5","19.4","3.6","0.0","0.0","130.5","A"
"> 20 °C","0.0","0.0","0.0","0.0","1.6","7.2","15.2","15.3","3.8","0.08","0.0","0.0","43.2","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.42","0.04","0.0","0.0","0.0","0.0","0.46","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","0.11","0.0","0.81","5.1","16.4","28.0","31.0","30.4","23.1","9.5","1.2","0.0","145.6","A"
"<= 2 °C","31.0","28.2","31.0","30.0","25.1","7.0","1.6","2.5","13.9","27.5","29.9","31.0","258.6","A"
"<= 0 °C","30.9","28.2","30.2","24.9","14.6","1.9","0.04","0.50","6.8","21.4","28.8","31.0","219.2","A"
"< -2 °C","28.8","25.3","23.2","13.2","3.5","0.0","0.0","0.08","1.5","10.3","23.1","29.9","158.8","A"
