"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GOLD RIVER TOWNSITE","BC"," 49°46'44.002"" N","126°03'18.000"" W","119.0 m","1033232","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","2.1","3.3","5.6","8.5","12.1","15.1","17.9","18.1","14.8","9.4","4.4","1.6","9.4","A"
"Standard Deviation","1.7","1.5","1.4","1.0","1.4","1.4","1.2","1.1","1.2","1.1","1.7","1.6","1.4","A"
"Daily Maximum (°C)","4.7","7.2","10.4","14.2","18.3","21.3","24.9","25.4","21.8","13.8","7.1","3.9","14.4","A"
"Daily Minimum (°C)","-0.6","-0.7","0.8","2.7","5.9","8.9","10.9","10.8","7.8","4.9","1.7","-0.7","4.4","A"
"Extreme Maximum (°C)","16.0","19.0","24.0","31.5","37.0","37.0","38.5","39.0","37.0","27.0","17.0","12.8","",""
"Date (yyyy/dd)","1986/12","1992/27","1994/28","1998/30","1983/28","1995/30","2006/21","1981/09","1988/02","1980/05","1979/06","1976/14",""," "
"Extreme Minimum (°C)","-19.0","-14.0","-11.0","-5.0","-2.0","1.0","2.5","4.0","-2.0","-8.0","-17.0","-17.0","",""
"Date (yyyy/dd)","1980/28","1986/19","1989/02","1979/01","1978/05","1999/02","1985/01","1980/20","1983/28","1984/31","1985/27","1990/21",""," "
"Precipitation"
"Rainfall (mm)","396.9","258.0","256.3","185.1","120.2","90.9","55.5","71.1","109.2","357.8","482.7","362.8","2746.5","A"
"Snowfall (cm)","27.2","28.4","10.0","1.5","0.0","0.0","0.0","0.0","0.0","1.0","8.2","28.3","104.6","A"
"Precipitation (mm)","424.1","286.4","266.3","186.6","120.2","90.9","55.5","71.1","109.2","358.8","490.9","391.0","2851.1","A"
"Average Snow Depth (cm)","6","4","1","0","0","0","0","0","0","0","0","4","1","C"
"Median Snow Depth (cm)","5","2","0","0","0","0","0","0","0","0","0","3","1","C"
"Snow Depth at Month-end (cm)","5","3","0","0","0","0","0","0","0","0","2","8","2","C"
"Extreme Daily Rainfall (mm)","172.6","113.8","132.6","106.6","55.4","58.2","79.0","108.0","99.6","162.6","188.4","117.8","",""
"Date (yyyy/dd)","1987/10","1986/23","2003/12","2003/07","1997/04","1983/09","1997/07","1991/07","1980/28","1981/30","1995/07","1980/09",""," "
"Extreme Daily Snowfall (cm)","51.8","50.5","19.4","8.8","0.5","0.0","0.0","0.0","0.0","14.0","39.0","35.4","",""
"Date (yyyy/dd)","1978/03","1990/13","1999/27","1982/12","1985/03","1966/01","1966/01","1966/01","1966/01","1984/31","2006/29","1990/14",""," "
"Extreme Daily Precipitation (mm)","172.6","113.8","132.6","106.6","55.4","58.2","79.0","108.0","99.6","162.6","188.4","117.8","",""
"Date (yyyy/dd)","1987/10","1986/23","2003/12","2003/07","1997/04","1983/09","1997/07","1991/07","1980/28","1981/30","1995/07","1980/09",""," "
"Extreme Snow Depth (cm)","55","80","19","2","0","0","0","0","0","2","40","44","",""
"Date (yyyy/dd)","1991/09","1990/14","1991/03","2000/23","1981/01","1981/01","1981/01","1980/01","1981/01","1991/29","2006/30","1996/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.7","0.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.67","2.3","5.3","C"
"> 0 °C","29.3","27.6","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.3","28.7","359.9","C"
"> 10 °C","0.65","4.5","14.6","23.0","29.6","30.0","31.0","31.0","30.0","24.0","4.8","0.23","223.4","C"
"> 20 °C","0.0","0.0","0.41","4.2","10.2","15.0","23.9","25.1","18.1","2.8","0.0","0.0","99.8","C"
"> 30 °C","0.0","0.0","0.0","0.04","0.85","2.5","4.7","5.8","1.3","0.0","0.0","0.0","15.2","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.04","0.32","0.88","0.52","0.05","0.0","0.0","0.0","1.8","C"
"Days with Minimum Temperature"
"> 0 °C","13.5","12.0","17.0","22.9","30.2","29.9","30.9","31.0","29.3","27.5","19.8","12.1","276.0","C"
"<= 2 °C","25.0","22.9","21.3","13.2","3.2","0.15","0.0","0.0","2.2","7.0","16.1","25.6","136.7","C"
"<= 0 °C","17.5","16.2","14.0","7.0","0.85","0.0","0.0","0.0","0.68","3.5","10.2","18.9","88.8","C"
"< -2 °C","6.8","6.9","4.9","1.2","0.0","0.0","0.0","0.0","0.0","0.77","3.5","7.5","31.6","C"
"< -10 °C","1.1","0.74","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.38","0.54","2.8","C"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Rainfall"
">= 0.2 mm","20.4","16.2","20.2","19.0","17.7","15.5","9.5","10.3","11.7","19.7","22.4","19.7","202.3","A"
">= 5 mm","13.6","10.0","11.4","9.5","6.5","5.9","3.2","3.9","5.4","12.7","16.0","13.1","111.4","A"
">= 10 mm","10.7","7.4","8.2","5.4","3.5","2.8","1.6","2.2","3.9","9.3","12.8","9.7","77.3","A"
">= 25 mm","6.2","3.8","2.8","2.2","1.2","0.35","0.40","0.50","1.1","5.3","7.1","5.2","36.1","A"
"Days With Snowfall"
">= 0.2 cm","5.0","3.7","2.8","0.73","0.04","0.0","0.0","0.0","0.0","0.15","2.2","5.3","19.9","A"
">= 5 cm","2.0","1.5","0.76","0.08","0.0","0.0","0.0","0.0","0.0","0.08","0.50","1.7","6.6","A"
">= 10 cm","0.96","1.0","0.24","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.15","0.88","3.3","A"
">= 25 cm","0.07","0.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.16","0.60","A"
"Days with Precipitation"
">= 0.2 mm","22.2","17.2","20.6","19.0","17.7","15.5","9.5","10.3","11.7","19.7","22.8","21.5","207.8","A"
">= 5 mm","15.1","11.0","12.0","9.5","6.5","5.9","3.2","3.9","5.4","12.7","16.5","14.3","116.0","A"
">= 10 mm","11.8","8.3","8.4","5.4","3.5","2.8","1.6","2.2","3.9","9.3","13.0","10.8","81.0","A"
