"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GOLDEN A","BC"," 51°17'57.000"" N","116°58'56.000"" W","784.9 m","1173210","71173","YGE"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-7.9","-5.0","0.8","6.5","11.3","14.9","17.3","16.7","11.5","5.0","-2.0","-7.8","5.1","A"
"Standard Deviation","3.4","3.1","1.9","1.2","1.5","1.3","1.6","1.4","1.7","1.0","2.7","3.0","2.5","A"
"Daily Maximum (°C)","-4.3","-0.1","6.6","13.3","18.4","21.7","24.5","24.2","18.4","10.1","1.0","-4.8","10.7","A"
"Daily Minimum (°C)","-11.5","-9.8","-5.0","-0.5","4.1","8.0","10.0","9.1","4.6","-0.2","-5.0","-10.9","-0.6","A"
"Extreme Maximum (°C)","8.3","12.2","20.2","28.9","35.6","37.2","40.0","37.8","33.9","25.6","17.2","10.0","",""
"Date (yyyy/dd)","1906/25","1968/29","2004/30","1939/27","1936/30","1918/18","1941/17","1951/03","1967/01","1945/08","1975/04","1939/05",""," "
"Extreme Minimum (°C)","-46.1","-39.4","-31.7","-19.4","-9.4","-6.7","-2.2","-2.8","-9.4","-18.3","-32.8","-43.9","",""
"Date (yyyy/dd)","1907/15","1907/03","1960/03","1935/01","1954/01","1918/25","1946/17","1931/31","1919/28","1935/29","1911/11","1924/18",""," "
"Precipitation"
"Rainfall (mm)","6.4","5.5","14.1","21.9","33.3","49.7","50.6","45.3","38.0","32.3","21.6","6.4","325.2","A"
"Snowfall (cm)","45.3","20.7","12.1","2.5","1.1","0.0","0.0","0.0","0.0","2.8","31.8","42.5","158.7","A"
"Precipitation (mm)","45.9","24.1","24.4","24.4","34.5","49.7","50.6","45.3","38.0","34.9","51.1","43.9","466.8","A"
"Average Snow Depth (cm)","32","35","19","1","0","0","0","0","0","0","5","18","9","C"
"Median Snow Depth (cm)","31","34","19","0","0","0","0","0","0","0","3","19","9","C"
"Snow Depth at Month-end (cm)","37","32","4","0","0","0","0","0","0","1","10","26","9","C"
"Extreme Daily Rainfall (mm)","53.3","23.4","25.4","54.4","49.5","41.2","47.0","37.8","58.9","47.5","50.8","53.3","",""
"Date (yyyy/dd)","1918/03","1963/04","1909/31","1951/18","1966/06","2005/17","1915/14","1984/26","1903/22","1957/04","1902/30","1917/16",""," "
"Extreme Daily Snowfall (cm)","45.7","56.6","30.5","21.6","17.0","0.2","0.0","0.0","15.2","54.6","45.7","58.4","",""
"Date (yyyy/dd)","1920/17","1957/23","1903/10","1931/01","1996/06","2005/15","1902/01","1902/01","1915/12","1945/25","1955/03","1918/04",""," "
"Extreme Daily Precipitation (mm)","53.3","56.6","30.5","54.4","49.5","41.2","47.0","37.8","58.9","54.6","50.8","58.4","",""
"Date (yyyy/dd)","1918/03","1957/23","1903/10","1951/18","1966/06","2005/17","1915/14","1984/26","1903/22","1945/25","1902/30","1918/04",""," "
"Extreme Snow Depth (cm)","86","96","79","39","18","0","0","0","0","19","51","68","",""
"Date (yyyy/dd)","1982/26","1982/15","1982/16","1982/01","1996/08","1981/01","1981/01","1980/01","1981/01","1985/27","1995/12","1996/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","21.5","12.0","2.0","0.04","0.0","0.0","0.0","0.0","0.0","0.69","10.3","24.0","70.6","C"
"> 0 °C","9.5","16.3","29.0","30.0","31.0","30.0","31.0","31.0","30.0","30.3","19.7","7.0","294.7","C"
"> 10 °C","0.0","0.0","5.3","23.8","30.0","29.9","31.0","31.0","29.3","15.7","0.23","0.0","196.0","C"
"> 20 °C","0.0","0.0","0.04","2.0","10.2","18.7","25.3","23.9","10.8","0.46","0.0","0.0","91.4","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.58","1.1","4.8","3.6","0.21","0.0","0.0","0.0","10.3","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.12","0.0","0.0","0.0","0.0","0.24","C"
"Days with Minimum Temperature"
"> 0 °C","0.81","1.3","3.1","12.1","26.5","29.9","31.0","31.0","26.8","14.3","4.5","0.46","181.7","A"
"<= 2 °C","30.9","28.1","30.7","24.0","9.3","0.60","0.04","0.08","6.7","22.4","28.7","30.9","212.5","A"
"<= 0 °C","30.2","27.0","27.9","17.9","4.5","0.08","0.0","0.0","3.2","16.7","25.5","30.5","183.5","A"
"< -2 °C","27.4","24.4","22.3","9.5","1.0","0.0","0.0","0.0","1.3","9.6","19.1","28.9","143.5","A"
"< -10 °C","15.3","11.5","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.42","4.7","16.0","52.0","A"
"< -20 °C","5.4","3.1","0.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.65","3.2","12.7","A"
"< - 30 °C","0.88","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.46","1.8","A"
"Days with Rainfall"
">= 0.2 mm","2.4","2.8","6.3","9.9","12.4","15.4","13.7","13.2","10.6","11.3","6.8","1.9","106.5","A"
">= 5 mm","0.31","0.15","0.88","1.1","2.2","3.2","3.2","3.1","2.5","2.1","1.4","0.46","20.5","A"
">= 10 mm","0.12","0.07","0.12","0.38","0.50","0.84","1.1","1.0","0.80","0.54","0.42","0.08","6.0","A"
">= 25 mm","0.0","0.0","0.0","0.04","0.0","0.08","0.12","0.12","0.08","0.0","0.04","0.0","0.48","A"
"Days With Snowfall"
">= 0.2 cm","13.5","7.1","4.8","1.5","0.15","0.04","0.0","0.0","0.0","1.3","8.2","12.8","49.5","A"
