"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*GREEN ISLAND","BC"," 54°34'07.020"" N","130°42'29.020"" W","11.9 m","1063298","","WNJ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.2","3.8","5.1","7.4","10.2","12.9","14.6","14.8","12.4","8.9","5.3","3.9","8.5","A"
"Standard Deviation","2.1","1.6","1.1","0.9","1.2","0.9","0.7","0.8","0.7","0.8","1.9","1.7","1.1","A"
"Daily Maximum (°C)","4.9","5.5","7.0","9.8","12.8","15.6","17.3","17.4","14.5","10.6","7.0","5.6","10.7","A"
"Daily Minimum (°C)","1.5","2.1","3.2","4.9","7.5","10.0","11.8","12.1","10.2","7.1","3.6","2.2","6.4","A"
"Extreme Maximum (°C)","12.8","12.5","13.0","18.5","25.0","29.0","24.5","25.7","24.5","17.0","16.5","12.5","",""
"Date (yyyy/dd)","1981/20","1992/26","1994/29","1989/30","1993/13","2004/19","1998/27","1980/11","2000/22","1987/01","1999/16","2003/18",""," "
"Extreme Minimum (°C)","-11.5","-13.0","-11.5","-1.0","1.5","5.5","7.5","8.0","5.0","-5.6","-18.5","-10.7","",""
"Date (yyyy/dd)","1982/22","1989/02","2003/08","1996/01","1999/03","1987/05","1987/03","1980/29","1992/14","1984/31","1985/26","1984/28",""," "
"Precipitation"
"Rainfall (mm)","253.6","163.5","185.1","164.7","128.7","105.3","106.7","166.1","250.3","353.5","291.9","259.9","2429.4","A"
"Snowfall (cm)","12.6","10.8","4.4","0.8","0.0","0.0","0.0","0.0","0.0","0.4","4.8","11.1","44.9","A"
"Precipitation (mm)","266.2","174.3","189.5","165.6","128.7","105.3","106.7","166.1","250.3","353.9","296.8","270.9","2474.3","A"
"Average Snow Depth (cm)","1","1","0","0","0","0","0","0","0","0","0","0","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","1","1","0","0","0","0","0","0","0","0","1","0","0","C"
"Extreme Daily Rainfall (mm)","90.6","94.0","63.0","93.2","69.8","67.0","65.2","83.2","137.6","130.0","100.8","87.0","",""
