"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*HIXON","BC"," 53°31'53.001"" N","122°41'58.006"" W","551.0 m","1093474","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-6.7","-3.8","0.7","5.9","10.8","14.5","16.7","16.2","11.6","5.4","-1.6","-5.8","5.3","A"
"Standard Deviation","4.4","3.8","2.4","1.2","1.6","1.3","1.0","1.0","1.5","1.3","3.4","3.9","2.0","A"
"Daily Maximum (°C)","-2.9","0.9","6.8","13.0","18.2","21.6","24.1","23.9","18.4","10.5","1.7","-2.4","11.2","A"
"Daily Minimum (°C)","-10.5","-8.6","-5.3","-1.3","3.3","7.4","9.2","8.5","4.7","0.3","-4.9","-9.3","-0.5","A"
"Extreme Maximum (°C)","14.0","14.0","20.0","31.1","37.5","34.5","36.1","36.5","35.5","26.5","17.0","11.0","",""
"Date (yyyy/dd)","1981/22","1986/27","1994/29","1977/25","1983/29","1992/25","1971/31","1990/11","1988/04","1987/01","1981/11","2002/12",""," "
"Extreme Minimum (°C)","-44.0","-39.4","-30.0","-15.0","-6.1","-1.0","1.0","-2.5","-6.0","-26.5","-35.5","-40.5","",""
"Date (yyyy/dd)","1991/06","1979/14","1976/02","2002/02","1971/15","1982/06","1985/26","1992/23","1983/30","1984/31","1985/27","1984/30",""," "
"Precipitation"
"Rainfall (mm)","12.3","7.6","14.9","31.5","45.5","68.5","70.5","47.3","57.9","59.5","28.2","8.8","452.4","A"
"Snowfall (cm)","52.2","24.6","17.9","5.2","0.7","0.0","0.0","0.0","0.0","6.9","35.2","50.0","192.6","A"
"Precipitation (mm)","64.5","32.2","32.7","36.7","46.2","68.5","70.5","47.3","57.9","66.4","63.4","58.8","645.0","A"
